breed_ID,breed_name,avg_lifespan_years
1.0,Affenpinscher,12 to 14 yrs
2.0,Afghan Hound,12 to 14 yrs
,African Boerboels,9 to 11 yrs
3.0,Airedale Terrier,10 to 13 yrs
4.0,Akbash,10 to 11 yrs
5.0,Akita,10 to 13 yrs
,Alapaha Blue Blood Bulldogs,13 yrs
,Alaskan Klee Kai,14 yrs
6.0,Alaskan Malamute,10 to 13 yrs
7.0,American Bulldog,12 to 14 yrs
8.0,American Eskimo Dog,12 to 14 yrs
,American Foxhound,10 to 13 yrs
9.0,American Hairless Terrier,14 to 16 yrs
10.0,American Staffordshire Terrier,12 to 14 yrs
11.0,American Water Spaniel,10 to 12 yrs
12.0,Anatolian Shepherd,10 to 13 yrs
13.0,Appenzell Mountain Dog,12 to 14 yrs
14.0,Australian Cattle Dog/Blue Heeler,10 to 13 yrs
15.0,Australian Kelpie,12 yrs
16.0,Australian Shepherd,12 to 15 yrs
,Australian Silky Terrier,11 to 14 yrs
17.0,Australian Terrier,12 to 14 yrs
18.0,Basenji,12 to 14 yrs
19.0,Basset Hound,11 to 14 yrs
20.0,Beagle,12 to 14 yrs
21.0,Bearded Collie,12 to 14 yrs
22.0,Beauceron,10 to 12 yrs
23.0,Bedlington Terrier,12 to 14 yrs
,Belgian Malinois,10 to 12 yrs
24.0,Belgian Shepherd Dog Sheepdog,10 to 12 yrs
25.0,Belgian Shepherd Laekenois,12 to 14 yrs
26.0,Belgian Shepherd Malinois,12 to 14 yrs
27.0,Belgian Shepherd Tervuren,10 to 12 yrs
28.0,Bernese Mountain Dog,6 to 9 yrs
29.0,Bichon Frise,12 to 15 yrs 
30.0,Black and Tan Coonhound,10 to 12 yrs
31.0,Black Labrador Retriever,10 to 12 yrs
32.0,Black Mouth Cur,12 to 16 yrs
33.0,Black Russian Terrier,10 to 11 yrs
34.0,Bloodhound,10 to 12 yrs
35.0,Blue Lacy,12 to 16 yrs
36.0,Bluetick Coonhound,11 to 12 yrs
37.0,Boerboel,10 to 12 yrs
38.0,Bolognese,12 to 14 yrs
39.0,Border Collie,10 to 14 yrs
40.0,Border Terrier,12 to 15 yrs
41.0,Borzoi,10 to 12 yrs
42.0,Boston Terrier,14 yrs
43.0,Bouvier des Flanders,10 to 12 yrs
44.0,Boxer,8 to 10 yrs
45.0,Boykin Spaniel,14 to 16 yrs
46.0,Briard,10 to 12 yrs
47.0,Brittany Spaniel,12 to 13 yrs
48.0,Brussels Griffon,12 to 15 yrs
49.0,Bull Terrier,11 to 14 yrs 
50.0,Bullmastiff,8 to 10 yrs
51.0,Cairn Terrier,12 to 14 yrs
52.0,Canaan Dog,12 to 13 yrs
53.0,Cane Corso Mastiff,11 yrs
,Cardigan Welsh Corgi,12 to 14 yrs
54.0,Carolina Dog,13 yrs
55.0,Catahoula Leopard Dog,12 yrs
56.0,Cattle Dog,13 to 15 yrs
57.0,Caucasian Sheepdog (Caucasian Ovtcharka),
58.0,Cavalier King Charles Spaniel,9 to 14 yrs
,Central Asian Ovtcharkas,12 yrs
,Cesky Terrier,14 yrs
59.0,Chesapeake Bay Retriever,10 to 13 yrs
60.0,Chihuahua,14 to 18 yrs
61.0,Chinese Crested Dog,13 to 15 yrs
62.0,Chinese Foo Dog,11 yrs
,Chinese Shar-Pei,8 to 10 yrs
63.0,Chinook,13 to 15 yrs
,Chipoo,14 yrs
64.0,Chocolate Labrador Retriever,12 yrs
65.0,Chow Chow,8 to 12 yrs
