breed_ID,breed_name,avg_lifespan_years
1,Affenpinscher,12 to 14 yrs
2,Afghan Hound,12 to 14 yrs
3,Airedale Terrier,10 to 13 yrs
4,Akbash,10 to 11 yrs
5,Akita,10 to 13 yrs
6,Alaskan Malamute,10 to 13 yrs
7,American Bulldog,12 to 14 yrs
8,American Bully,8 to 13 yrs
9,American Eskimo Dog,12 to 14 yrs
10,American Foxhound,10 to 12 yrs
11,American Hairless Terrier,14 to 16 yrs
12,American Staffordshire Terrier,12 to 14 yrs
13,American Water Spaniel,10 to 12 yrs
14,Anatolian Shepherd,10 to 13 yrs
15,Appenzell Mountain Dog,12 to 14 yrs
16,Aussiedoodle,10 to 13 yrs
17,Australian Cattle Dog / Blue Heeler,10 to 13 yrs
18,Australian Kelpie,12 yrs
19,Australian Shepherd,12 to 15 yrs
20,Australian Terrier,12 to 14 yrs
21,Basenji,12 to 14 yrs
22,Basset Hound,11 to 14 yrs
23,Beagle,12 to 14 yrs
24,Bearded Collie,12 to 14 yrs
25,Beauceron,10 to 12 yrs
26,Bedlington Terrier,12 to 14 yrs
27,Belgian Shepherd / Laekenois,12 to 14 yrs
28,Belgian Shepherd / Malinois,12 to 14 yrs
29,Belgian Shepherd / Sheepdog,10 to 12 yrs
30,Belgian Shepherd / Tervuren,10 to 12 yrs
31,Bernedoodle,12 to 18 yrs
32,Bernese Mountain Dog,6 to 9 yrs
33,Bichon Frise,12 to 15 yrs 
34,Black and Tan Coonhound,10 to 12 yrs
35,Black Labrador Retriever,10 to 12 yrs
36,Black Mouth Cur,12 to 16 yrs
37,Black Russian Terrier,10 to 11 yrs
38,Bloodhound,10 to 12 yrs
39,Blue Lacy,12 to 16 yrs
40,Bluetick Coonhound,11 to 12 yrs
41,Boerboel,10 to 12 yrs
42,Bolognese,12 to 14 yrs
43,Border Collie,10 to 14 yrs
44,Border Terrier,12 to 15 yrs
45,Borzoi,10 to 12 yrs
46,Boston Terrier,14 yrs
47,Bouvier des Flandres,10 to 12 yrs
48,Boxer,8 to 10 yrs
49,Boykin Spaniel,14 to 16 yrs
50,Briard,10 to 12 yrs
51,Brittany Spaniel,12 to 13 yrs
52,Brussels Griffon,12 to 15 yrs
53,Bull Terrier,11 to 14 yrs 
54,Bullmastiff,8 to 10 yrs
55,Cairn Terrier,12 to 14 yrs
56,Canaan Dog,12 to 13 yrs
57,Cane Corso,10 to 12 yrs
58,Cardigan Welsh Corgi,12 to 15 yrs
59,Carolina Dog,13 yrs
60,Catahoula Leopard Dog,12 yrs
61,Cattle Dog,13 to 15 yrs
62,Caucasian Sheepdog / Caucasian Ovtcharka,10 to 12 yrs
63,Cavachon,10 to 15 yrs
64,Cavalier King Charles Spaniel,9 to 14 yrs
65,Cavapoo,10 to 15 yrs
66,Chesapeake Bay Retriever,10 to 13 yrs
67,Chihuahua,14 to 18 yrs
68,Chinese Crested Dog,13 to 15 yrs
69,Chinese Foo Dog,11 yrs
70,Chinook,13 to 15 yrs
71,Chiweenie,12 to 15 yrs
72,Chocolate Labrador Retriever,12 yrs
73,Chow Chow,8 to 12 yrs
74,Cirneco dell'Etna,12 to 14 yrs
75,Clumber Spaniel,10 to 12 yrs
76,Cockapoo,14 to 18 yrs
77,Cocker Spaniel,12 to 15 yrs
78,Collie,8 to 12 yrs
79,Coonhound,10 to 12 yrs
80,Corgi,12 to 15 yrs
81,Coton de Tulear,15 yrs
82,Curly-Coated Retriever,8 to 12 yrs
83,Dachshund,12 to 14 yrs
84,Dalmatian,12 to 14 yrs
85,Dandie Dinmont Terrier,11 to 13 yrs
86,Doberman Pinscher,10 to 12 yrs
87,Dogo Argentino,10 to 15 yrs
88,Dogue de Bordeaux,5 to 7 yrs
89,Dutch Shepherd,11 to 14 yrs
90,English Bulldog,8 to 12 yrs
91,English Cocker Spaniel,12 to 14 yrs
92,English Coonhound,11 to 12 yrs
93,English Foxhound,10 to 13 yrs
94,English Pointer,12 to 17 yrs
95,English Setter,10 to 12 yrs
96,English Shepherd,15 yrs
97,English Springer Spaniel,10 to 14 yrs
98,English Toy Spaniel,10 to 12 yrs
