id,organization_id,url,type,species,breeds/primary,breeds/secondary,breeds/mixed,breeds/unknown,colors/primary,colors/secondary,colors/tertiary,age,gender,size,coat,attributes/spayed_neutered,attributes/house_trained,attributes/declawed,attributes/special_needs,attributes/shots_current,environment/children,environment/dogs,environment/cats,name,description,organization_animal_id,photos/0/small,photos/0/medium,photos/0/large,photos/0/full,photos/1/small,photos/1/medium,photos/1/large,photos/1/full,primary_photo_cropped/small,primary_photo_cropped/medium,primary_photo_cropped/large,primary_photo_cropped/full,status,status_changed_at,published_at,distance,contact/email,contact/phone,contact/address/address1,contact/address/address2,contact/address/city,contact/address/state,contact/address/postcode,contact/address/country,_links/self/href,_links/type/href,_links/organization/href,tags/0,tags/1,tags/2,photos/2/small,photos/2/medium,photos/2/large,photos/2/full,photos/3/small,photos/3/medium,photos/3/large,photos/3/full,photos/4/small,photos/4/medium,photos/4/large,photos/4/full,photos/5/small,photos/5/medium,photos/5/large,photos/5/full,tags/3,tags/4,tags/5,primary_photo_cropped,videos/0/embed
52739412,TN353,https://www.petfinder.com/dog/lolita-52739412/tn/pegram/cheatham-county-animal-control-shelter-tn353/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Labrador Retriever,,false,false,Black,White / Cream,,Adult,Female,Large,,false,false,,false,true,,,,LOLITA,"E-mail animalcontrol@cheathamcountytn.gov for more information!

Please come visit! We are open Monday, Tuesday, Thursday, Friday and Saturday from from 9:00...",,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739412/1/?bust=1629581077&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739412/1/?bust=1629581077&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739412/1/?bust=1629581077&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739412/1/?bust=1629581077,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739412/2/?bust=1629581078&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739412/2/?bust=1629581078&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739412/2/?bust=1629581078&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739412/2/?bust=1629581078,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739412/1/?bust=1629581077&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739412/1/?bust=1629581077&width=450,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739412/1/?bust=1629581077&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739412/1/?bust=1629581077,adoptable,2021-08-21T21:24:39+0000,2021-08-21T21:24:39+0000,,animalcontrol@cheathamcountytn.gov,(615) 792-3647,2797 Sam's Creek Road,,Pegram,TN,37143,US,/v2/animals/52739412,/v2/types/dog,/v2/organizations/tn353,,,,,,,,,,,,,,,,,,,,,,,,
52739411,VA815,https://www.petfinder.com/dog/riley-52739411/va/fredericksburg/compassion-animal-rescue-va815/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Mixed Breed,,true,false,Black,White / Cream,,Baby,Female,Medium,Short,true,false,,false,true,true,true,true,Riley,My name is Riley and am one of the TWELVE  &quot;R Team&quot; puppies.  My mom is Rose and she had...,B172,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739411/1/?bust=1629581063&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739411/1/?bust=1629581063&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739411/1/?bust=1629581063&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739411/1/?bust=1629581063,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739411/2/?bust=1629581064&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739411/2/?bust=1629581064&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739411/2/?bust=1629581064&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739411/2/?bust=1629581064,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739411/1/?bust=1629581063&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739411/1/?bust=1629581063&width=450,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739411/1/?bust=1629581063&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739411/1/?bust=1629581063,adoptable,2021-08-21T21:24:27+0000,2021-08-21T21:24:27+0000,,Care@CompassionAnimalRescue.com,(540) 642-4359,,,Fredericksburg,VA,22408,US,/v2/animals/52739411,/v2/types/dog,/v2/organizations/va815,Affectionate,Gentle,Playful,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739411/3/?bust=1629581065&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739411/3/?bust=1629581065&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739411/3/?bust=1629581065&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739411/3/?bust=1629581065,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739411/4/?bust=1629581065&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739411/4/?bust=1629581065&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739411/4/?bust=1629581065&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739411/4/?bust=1629581065,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739411/5/?bust=1629581066&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739411/5/?bust=1629581066&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739411/5/?bust=1629581066&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739411/5/?bust=1629581066,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739411/6/?bust=1629581066&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739411/6/?bust=1629581066&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739411/6/?bust=1629581066&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739411/6/?bust=1629581066,,,,,
52739410,NY392,https://www.petfinder.com/cat/blanche-52739410/ny/syracuse/cny-cat-coalition-ny392/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Tuxedo,,false,false,Black & White / Tuxedo,,,Baby,Female,Medium,Short,true,true,false,false,true,true,true,true,Blanche,Blanche is a sweet and social 4-month-old girl who loves to be picked up and petted. She has a huge...,,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739410/1/?bust=1629581045&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739410/1/?bust=1629581045&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739410/1/?bust=1629581045&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739410/1/?bust=1629581045,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739410/2/?bust=1629581046&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739410/2/?bust=1629581046&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739410/2/?bust=1629581046&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739410/2/?bust=1629581046,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739410/1/?bust=1629581045&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739410/1/?bust=1629581045&width=450,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739410/1/?bust=1629581045&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739410/1/?bust=1629581045,adoptable,2021-08-21T21:24:09+0000,2021-08-21T21:24:09+0000,,cnycc@outlook.com,(315) 289-2287,PO Box 6182,,Syracuse,NY,13217,US,/v2/animals/52739410,/v2/types/cat,/v2/organizations/ny392,,,,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739410/3/?bust=1629581046&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739410/3/?bust=1629581046&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739410/3/?bust=1629581046&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739410/3/?bust=1629581046,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739410/4/?bust=1629581047&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739410/4/?bust=1629581047&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739410/4/?bust=1629581047&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739410/4/?bust=1629581047,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739410/5/?bust=1629581048&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739410/5/?bust=1629581048&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739410/5/?bust=1629581048&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739410/5/?bust=1629581048,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739410/6/?bust=1629581048&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739410/6/?bust=1629581048&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739410/6/?bust=1629581048&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739410/6/?bust=1629581048,,,,,
52739409,IA98,https://www.petfinder.com/dog/jax-52739409/ia/sioux-city/sioux-city-animal-adoption-and-rescue-ia98/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Labrador Retriever,,true,false,Red / Chestnut / Orange,,,Adult,Male,Large,Short,true,true,,false,true,true,,,Jax,Jax is a young guy surrendered by his owner due to life changes. He was raised with kids and loves...,,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739409/1/?bust=1629581025&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739409/1/?bust=1629581025&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739409/1/?bust=1629581025&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739409/1/?bust=1629581025,,,,,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739409/1/?bust=1629581025&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739409/1/?bust=1629581025&width=450,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739409/1/?bust=1629581025&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739409/1/?bust=1629581025,adoptable,2021-08-21T21:23:46+0000,2021-08-21T21:23:46+0000,,siouxcityshelter@gmail.com,(712) 279-6968,2400 Hawkeye Dr,,Sioux City,IA,51105,US,/v2/animals/52739409,/v2/types/dog,/v2/organizations/ia98,Friendly,Affectionate,Loyal,,,,,,,,,,,,,,,,,Smart,Playful,Athletic,,
52739408,FL1517,https://www.petfinder.com/dog/astrid-52739408/fl/wilton-manors/desis-den-senior-sanctuary-fl1517/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Maltipoo,,true,false,Apricot / Beige,,,Senior,Female,Small,Medium,true,true,,false,true,,true,true,Astrid,This amazing cutie thought to be 11-12 years young has survived the unimaginable. Found on the roadside in a box...,,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739408/1/?bust=1629580985&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739408/1/?bust=1629580985&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739408/1/?bust=1629580985&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739408/1/?bust=1629580985,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739408/2/?bust=1629580986&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739408/2/?bust=1629580986&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739408/2/?bust=1629580986&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739408/2/?bust=1629580986,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739408/1/?bust=1629580985&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739408/1/?bust=1629580985&width=450,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739408/1/?bust=1629580985&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739408/1/?bust=1629580985,adoptable,2021-08-21T21:23:21+0000,2021-08-21T21:23:21+0000,,robleroymiller@gmail.com,(516) 234-8392,,,Wilton Manors,FL,33334,US,/v2/animals/52739408,/v2/types/dog,/v2/organizations/fl1517,Friendly,Playful,Smart,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739408/3/?bust=1629580986&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739408/3/?bust=1629580986&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739408/3/?bust=1629580986&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739408/3/?bust=1629580986,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739408/4/?bust=1629580987&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739408/4/?bust=1629580987&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739408/4/?bust=1629580987&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739408/4/?bust=1629580987,,,,,,,,,Brave,Independent,Quiet,,
52739407,AZ180,https://www.petfinder.com/dog/moana-52739407/az/casa-grande/valley-humane-society-inc-az180/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Labrador Retriever,Beagle,true,false,Black,White / Cream,,Baby,Female,Medium,Medium,true,false,,false,true,,,,Moana,Moana is a gorgeous young (4 months) Black Lab/Beagle blend who could not be more playful and cuddly!  She is...,,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739407/1/?bust=1629580982&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739407/1/?bust=1629580982&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739407/1/?bust=1629580982&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739407/1/?bust=1629580982,,,,,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739407/1/?bust=1629580982&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739407/1/?bust=1629580982&width=450,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739407/1/?bust=1629580982&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739407/1/?bust=1629580982,adoptable,2021-08-21T21:23:03+0000,2021-08-21T21:23:03+0000,,vhsmail@valleyhumane.net,(520) 836-0904,15699 W. Aniceto Rd.,PO Box 10480,Casa Grande,AZ,85230,US,/v2/animals/52739407,/v2/types/dog,/v2/organizations/az180,,,,,,,,,,,,,,,,,,,,,,,,
52739404,TX268,https://www.petfinder.com/dog/spike-52739404/tx/el-paso/humane-society-of-el-paso-tx268/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Bull Terrier,,true,false,,,,Young,Male,Large,,true,false,,false,true,,,,Spike,Happiness Happens at the Humane Society of El Paso!,D2021383,,,,,,,,,,,,,adoptable,2021-08-21T21:22:41+0000,2021-08-21T21:22:41+0000,,,(915) 532-6971,4991 Fred Wilson,,El Paso,TX,79906,US,/v2/animals/52739404,/v2/types/dog,/v2/organizations/tx268,,,,,,,,,,,,,,,,,,,,,,,,
52739405,TX268,https://www.petfinder.com/dog/barry-52739405/tx/el-paso/humane-society-of-el-paso-tx268/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Labrador Retriever,,true,false,,,,Young,Male,Large,,true,false,,false,true,,,,Barry,Happiness Happens at the Humane Society of El Paso!,D2021331,,,,,,,,,,,,,adoptable,2021-08-21T21:22:41+0000,2021-08-21T21:22:41+0000,,,(915) 532-6971,4991 Fred Wilson,,El Paso,TX,79906,US,/v2/animals/52739405,/v2/types/dog,/v2/organizations/tx268,,,,,,,,,,,,,,,,,,,,,,,,
52739403,CA1654,https://www.petfinder.com/dog/mayer-52739403/ca/temecula/hope-ranch-animal-sanctuary-ca1654/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Yellow Labrador Retriever,American Staffordshire Terrier,true,false,Yellow / Tan / Blond / Fawn,,,Baby,Male,Medium,Short,true,true,,false,true,true,true,true,Mayer,"Mayer was approximately born on June 8, 2021. This absolutely handsome boy is such a joy and very well socialized...",,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739403/1/?bust=1629580931&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739403/1/?bust=1629580931&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739403/1/?bust=1629580931&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739403/1/?bust=1629580931,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739403/2/?bust=1629580932&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739403/2/?bust=1629580932&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739403/2/?bust=1629580932&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739403/2/?bust=1629580932,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739403/1/?bust=1629580931&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739403/1/?bust=1629580931&width=450,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739403/1/?bust=1629580931&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739403/1/?bust=1629580931,adoptable,2021-08-21T21:22:20+0000,2021-08-21T21:22:20+0000,,sandrahoperanch@gmail.com,,,,Temecula,CA,92592,US,/v2/animals/52739403,/v2/types/dog,/v2/organizations/ca1654,Friendly,Affectionate,Playful,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739403/3/?bust=1629580932&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739403/3/?bust=1629580932&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739403/3/?bust=1629580932&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739403/3/?bust=1629580932,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739403/4/?bust=1629580933&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739403/4/?bust=1629580933&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739403/4/?bust=1629580933&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739403/4/?bust=1629580933,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739403/5/?bust=1629580933&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739403/5/?bust=1629580933&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739403/5/?bust=1629580933&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52739403/5/?bust=1629580933,,,,,Curious,Funny,Loves kisses,,
52739400,MI799,https://www.petfinder.com/cat/annie-52739400/mi/saginaw/amazing-grace-animal-rescue-mi799/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,false,false,,,,Baby,Female,Medium,,false,false,false,false,true,,,,Annie,"Animals can be seen at 3365 Freeland Road, Saginaw, MI 48604

Visit us on Facebook!

Donations can be made via...",S2021402,,,,,,,,,,,,,adoptable,2021-08-21T21:22:04+0000,2021-08-21T21:22:04+0000,,profsir@aol.com,989-792-0346   ,3365 Freeland Road,,Saginaw,MI,48604,US,/v2/animals/52739400,/v2/types/cat,/v2/organizations/mi799,,,,,,,,,,,,,,,,,,,,,,,,
