id,organization_id,url,type,species,breeds/primary,breeds/secondary,breeds/mixed,breeds/unknown,colors/primary,colors/secondary,colors/tertiary,age,gender,size,coat,attributes/spayed_neutered,attributes/house_trained,attributes/declawed,attributes/special_needs,attributes/shots_current,environment/children,environment/dogs,environment/cats,name,description,organization_animal_id,photos/0/small,photos/0/medium,photos/0/large,photos/0/full,primary_photo_cropped/small,primary_photo_cropped/medium,primary_photo_cropped/large,primary_photo_cropped/full,status,status_changed_at,published_at,distance,contact/email,contact/phone,contact/address/address1,contact/address/address2,contact/address/city,contact/address/state,contact/address/postcode,contact/address/country,_links/self/href,_links/type/href,_links/organization/href,photos/1/small,photos/1/medium,photos/1/large,photos/1/full,photos/2/small,photos/2/medium,photos/2/large,photos/2/full,photos/3/small,photos/3/medium,photos/3/large,photos/3/full,photos/4/small,photos/4/medium,photos/4/large,photos/4/full,photos/5/small,photos/5/medium,photos/5/large,photos/5/full,tags/0,tags/1,tags/2,tags/3,tags/4,tags/5,tags/6,tags/7,tags/8,tags/9,primary_photo_cropped
52739193,CT309,https:\/\/www.petfinder.com\/dog\/ethan-52739193\/ct\/unionville\/double-dog-rescue-ct309\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Boxer,Labrador Retriever,,,,,,Baby,Male,Medium,,,,,,,,,,Ethan,"Breed: Boxer Lab Mix
Age: 4 months
Weight: 30 lbs
Good with dogs: Absolutely!
Good with cats: Unknown
Good with...",203,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739193\/1\/?bust=1629579529&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739193\/1\/?bust=1629579529&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739193\/1\/?bust=1629579529&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739193\/1\/?bust=1629579529,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739193\/1\/?bust=1629579529&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739193\/1\/?bust=1629579529&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739193\/1\/?bust=1629579529&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739193\/1\/?bust=1629579529,adoptable,2021-08-21T20:58:51+0000,2021-08-21T20:58:51+0000,,kateS@doubledogrescue.org,,,,Unionville,CT,06085,US,\/v2\/animals\/52739193,\/v2\/types\/dog,\/v2\/organizations\/ct309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52739192,GA978,https:\/\/www.petfinder.com\/cat\/fawn-52739192\/ga\/warner-robins\/the-rescue-ranch-ga978\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,,,Tabby (Brown \/ Chocolate),White,,Young,Female,Medium,Short,,,,,,,,,Fawn,"All pets are spayed\/neutered, combo tested, current on vaccinations, dewormed, and treated with a flea preventative.",991003911285163,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739192\/1\/?bust=1629579517&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739192\/1\/?bust=1629579517&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739192\/1\/?bust=1629579517&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739192\/1\/?bust=1629579517,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739192\/1\/?bust=1629579517&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739192\/1\/?bust=1629579517&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739192\/1\/?bust=1629579517&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739192\/1\/?bust=1629579517,adoptable,2021-08-21T20:58:38+0000,2021-08-21T20:58:38+0000,,kittycat6917@yahoo.com,,2730 Watson Blvd,,Warner Robins,GA,31093,US,\/v2\/animals\/52739192,\/v2\/types\/cat,\/v2\/organizations\/ga978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52739191,WA553,https:\/\/www.petfinder.com\/dog\/buddy-courtesy-posting-52739191\/wa\/gig-harbor\/chew-dog-rescue-canine-health-education-and-welfare-wa553\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Mixed Breed,,,,,,,Adult,Male,Medium,,,,,,,,,,Buddy - courtesy posting,"(This is a courtesy posting, this do is not a CHEW Dog Rescue dog and we have not met him....",,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739191\/1\/?bust=1629579509&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739191\/1\/?bust=1629579509&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739191\/1\/?bust=1629579509&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739191\/1\/?bust=1629579509,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739191\/1\/?bust=1629579509&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739191\/1\/?bust=1629579509&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739191\/1\/?bust=1629579509&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739191\/1\/?bust=1629579509,adoptable,2021-08-21T20:58:32+0000,2021-08-21T20:58:32+0000,,cswyman@comcast.net,253 208-0590,,,Gig Harbor,WA,98335,US,\/v2\/animals\/52739191,\/v2\/types\/dog,\/v2\/organizations\/wa553,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739191\/2\/?bust=1629579510&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739191\/2\/?bust=1629579510&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739191\/2\/?bust=1629579510&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739191\/2\/?bust=1629579510,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739191\/3\/?bust=1629579510&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739191\/3\/?bust=1629579510&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739191\/3\/?bust=1629579510&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739191\/3\/?bust=1629579510,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739191\/4\/?bust=1629579511&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739191\/4\/?bust=1629579511&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739191\/4\/?bust=1629579511&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739191\/4\/?bust=1629579511,,,,,,,,,,,,,,,,,,,
52739189,TX525,https:\/\/www.petfinder.com\/dog\/otter-52739189\/tx\/magnolia\/abandoned-animal-rescue-tx525\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Pit Bull Terrier,,,,,,,Young,Female,Medium,,,,,,,,,,Otter,Otter&amp;#39;s smile and joy will bring happiness to your home. Her rescuer describes her as very enthusiastic and loves to...,D2021179,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739189\/1\/?bust=1629580026&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739189\/1\/?bust=1629580026&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739189\/1\/?bust=1629580026&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739189\/1\/?bust=1629580026,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739189\/1\/?bust=1629580026&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739189\/1\/?bust=1629580026&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739189\/1\/?bust=1629580026&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739189\/1\/?bust=1629580026,adoptable,2021-08-21T20:56:48+0000,2021-08-21T20:56:48+0000,,dogadoptteam@aartexas.org,(281) 789-4142,32632 Wright Rd,,Magnolia,TX,77355,US,\/v2\/animals\/52739189,\/v2\/types\/dog,\/v2\/organizations\/tx525,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739189\/2\/?bust=1629580026&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739189\/2\/?bust=1629580026&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739189\/2\/?bust=1629580026&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739189\/2\/?bust=1629580026,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739189\/3\/?bust=1629580028&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739189\/3\/?bust=1629580028&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739189\/3\/?bust=1629580028&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739189\/3\/?bust=1629580028,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739189\/4\/?bust=1629580027&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739189\/4\/?bust=1629580027&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739189\/4\/?bust=1629580027&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739189\/4\/?bust=1629580027,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739189\/5\/?bust=1629580029&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739189\/5\/?bust=1629580029&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739189\/5\/?bust=1629580029&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739189\/5\/?bust=1629580029,,,,,,,,,,,,,,,
52739188,TX525,https:\/\/www.petfinder.com\/dog\/bruce-wayne-52739188\/tx\/magnolia\/abandoned-animal-rescue-tx525\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Pit Bull Terrier,,,,,,,Adult,Male,Large,,,,,,,,,,Bruce Wayne,"Bruce (Wayne) was adopted from a city shelter and lived happily in a rural setting with his best friend, Clark...",D2021181,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739188\/1\/?bust=1629580029&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739188\/1\/?bust=1629580029&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739188\/1\/?bust=1629580029&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739188\/1\/?bust=1629580029,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739188\/1\/?bust=1629580029&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739188\/1\/?bust=1629580029&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739188\/1\/?bust=1629580029&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739188\/1\/?bust=1629580029,adoptable,2021-08-21T20:56:48+0000,2021-08-21T20:56:48+0000,,dogadoptteam@aartexas.org,(281) 789-4142,32632 Wright Rd,,Magnolia,TX,77355,US,\/v2\/animals\/52739188,\/v2\/types\/dog,\/v2\/organizations\/tx525,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739188\/2\/?bust=1629580029&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739188\/2\/?bust=1629580029&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739188\/2\/?bust=1629580029&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739188\/2\/?bust=1629580029,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739188\/3\/?bust=1629580026&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739188\/3\/?bust=1629580026&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739188\/3\/?bust=1629580026&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739188\/3\/?bust=1629580026,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739188\/4\/?bust=1629580028&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739188\/4\/?bust=1629580028&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739188\/4\/?bust=1629580028&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739188\/4\/?bust=1629580028,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739188\/5\/?bust=1629580027&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739188\/5\/?bust=1629580027&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739188\/5\/?bust=1629580027&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739188\/5\/?bust=1629580027,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739188\/6\/?bust=1629580025&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739188\/6\/?bust=1629580025&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739188\/6\/?bust=1629580025&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739188\/6\/?bust=1629580025,,,,,,,,,,,
52739165,NE04,https:\/\/www.petfinder.com\/cat\/fernand-52739165\/ne\/lincoln\/the-cat-house-ne04\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,,,Tabby (Brown \/ Chocolate),,,Baby,Male,Medium,Short,,,,,,,,,Fernand,Fernand is the consummate gentleman cat.  This kind little fur baby is ready to snuggle!  This young man is very...,,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739165\/1\/?bust=1629580355&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739165\/1\/?bust=1629580355&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739165\/1\/?bust=1629580355&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739165\/1\/?bust=1629580355,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739165\/1\/?bust=1629580355&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739165\/1\/?bust=1629580355&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739165\/1\/?bust=1629580355&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739165\/1\/?bust=1629580355,adoptable,2021-08-21T20:56:42+0000,2021-08-21T20:56:42+0000,,adoptions@thecathouse.org,(402) 441-9593,P O Box 23145,,Lincoln,NE,68542,US,\/v2\/animals\/52739165,\/v2\/types\/cat,\/v2\/organizations\/ne04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52739187,TX953,https:\/\/www.petfinder.com\/dog\/bishop-52739187\/tx\/manchaca\/austin-dog-rescue-tx953\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,German Shepherd Dog,Husky,,,Black,Yellow \/ Tan \/ Blond \/ Fawn,,Baby,Male,Large,Medium,,,,,,,,,Bishop,"Please visit our website at: www.austindog.org for full details about Bishop and the most current, up-to-date status of all of...",,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739187\/1\/?bust=1629579384&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739187\/1\/?bust=1629579384&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739187\/1\/?bust=1629579384&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739187\/1\/?bust=1629579384,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739187\/1\/?bust=1629579384&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739187\/1\/?bust=1629579384&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739187\/1\/?bust=1629579384&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739187\/1\/?bust=1629579384,adoptable,2021-08-21T20:56:28+0000,2021-08-21T20:56:28+0000,,Adoptions@austindog.org,,,,Manchaca,TX,78652,US,\/v2\/animals\/52739187,\/v2\/types\/dog,\/v2\/organizations\/tx953,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739187\/2\/?bust=1629579384&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739187\/2\/?bust=1629579384&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739187\/2\/?bust=1629579384&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739187\/2\/?bust=1629579384,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739187\/3\/?bust=1629579385&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739187\/3\/?bust=1629579385&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739187\/3\/?bust=1629579385&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739187\/3\/?bust=1629579385,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739187\/4\/?bust=1629579386&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739187\/4\/?bust=1629579386&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739187\/4\/?bust=1629579386&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739187\/4\/?bust=1629579386,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739187\/5\/?bust=1629579387&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739187\/5\/?bust=1629579387&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739187\/5\/?bust=1629579387&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739187\/5\/?bust=1629579387,,,,,Friendly,Affectionate,Loyal,Gentle,Playful,Smart,Brave,Curious,Funny,Athletic,
52739186,NC675,https:\/\/www.petfinder.com\/dog\/bissell-owner-52739186\/nc\/apex\/peak-lab-rescue-nc675\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Labrador Retriever,Shepherd,,,,,,Baby,Female,Large,,,,,,,,,,Bissell Owner,I am not sure what a &amp;#34;Bissel&amp;#34; is but I&amp;#39;ll be your best friend and love whatever name you decide...,PLR-A-1551,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739186\/1\/?bust=1629579988&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739186\/1\/?bust=1629579988&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739186\/1\/?bust=1629579988&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739186\/1\/?bust=1629579988,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739186\/1\/?bust=1629579988&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739186\/1\/?bust=1629579988&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739186\/1\/?bust=1629579988&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739186\/1\/?bust=1629579988,adoptable,2021-08-21T20:55:33+0000,2021-08-21T20:55:33+0000,,info@peaklabrescue.com,,,,Apex,NC,27502,US,\/v2\/animals\/52739186,\/v2\/types\/dog,\/v2\/organizations\/nc675,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739186\/2\/?bust=1629580001&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739186\/2\/?bust=1629580001&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739186\/2\/?bust=1629580001&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739186\/2\/?bust=1629580001,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739186\/3\/?bust=1629579986&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739186\/3\/?bust=1629579986&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739186\/3\/?bust=1629579986&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739186\/3\/?bust=1629579986,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739186\/4\/?bust=1629579999&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739186\/4\/?bust=1629579999&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739186\/4\/?bust=1629579999&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739186\/4\/?bust=1629579999,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739186\/5\/?bust=1629579998&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739186\/5\/?bust=1629579998&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739186\/5\/?bust=1629579998&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739186\/5\/?bust=1629579998,,,,,Crate Trained,Good with Kids,Good with Other Dogs,Vaccinated,,,,,,,
52739185,TX2447,https:\/\/www.petfinder.com\/dog\/duke-theodore-52739185\/tx\/brownwood\/corinne-t-smith-animal-center-tx2447\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Shepherd,,,,Brown \/ Chocolate,,,Adult,Male,Large,,,,,,,,,,Duke (Theodore),,CTSC-A-9121,,,,,,,,,adoptable,2021-08-21T20:55:22+0000,2021-08-21T20:55:22+0000,,Browncountyhumanesociety@gmail.com,(325) 646-0617,,,Brownwood,TX,76801,US,\/v2\/animals\/52739185,\/v2\/types\/dog,\/v2\/organizations\/tx2447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52739184,GA170,https:\/\/www.petfinder.com\/cat\/mrs-stubbs-52739184\/ga\/cumming\/furkids-animal-rescue-and-shelters-ga170\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,,,,,,Adult,Female,Medium,,,,,,,,,,Mrs. Stubbs,"Hi there, I&amp;#39;m Mrs. Stubbs! I&amp;#39;m a black cat with big eyes and a big heart looking for someone to...",FKDS-A-3341,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739184\/1\/?bust=1629579996&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739184\/1\/?bust=1629579996&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739184\/1\/?bust=1629579996&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739184\/1\/?bust=1629579996,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739184\/1\/?bust=1629579996&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739184\/1\/?bust=1629579996&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739184\/1\/?bust=1629579996&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739184\/1\/?bust=1629579996,adoptable,2021-08-21T20:55:20+0000,2021-08-21T20:55:20+0000,,adopt@furkids.org,(770) 613-0880,,,Cumming,GA,30040,US,\/v2\/animals\/52739184,\/v2\/types\/cat,\/v2\/organizations\/ga170,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739184\/2\/?bust=1629579985&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739184\/2\/?bust=1629579985&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739184\/2\/?bust=1629579985&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739184\/2\/?bust=1629579985,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739184\/3\/?bust=1629579992&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739184\/3\/?bust=1629579992&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739184\/3\/?bust=1629579992&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739184\/3\/?bust=1629579992,,,,,,,,,,,,,,,,,,,,,,,
