id,organization_id,url,type,species,breeds/primary,breeds/secondary,breeds/mixed,breeds/unknown,colors/primary,colors/secondary,colors/tertiary,age,gender,size,coat,attributes/spayed_neutered,attributes/house_trained,attributes/declawed,attributes/special_needs,attributes/shots_current,environment/children,environment/dogs,environment/cats,name,description,organization_animal_id,photos/0/small,photos/0/medium,photos/0/large,photos/0/full,photos/1/small,photos/1/medium,photos/1/large,photos/1/full,photos/2/small,photos/2/medium,photos/2/large,photos/2/full,photos/3/small,photos/3/medium,photos/3/large,photos/3/full,primary_photo_cropped/small,primary_photo_cropped/medium,primary_photo_cropped/large,primary_photo_cropped/full,status,status_changed_at,published_at,distance,contact/email,contact/phone,contact/address/address1,contact/address/address2,contact/address/city,contact/address/state,contact/address/postcode,contact/address/country,_links/self/href,_links/type/href,_links/organization/href,tags/0,tags/1,tags/2,tags/3,tags/4
52739147,VA96,https:\/\/www.petfinder.com\/cat\/binky-52739147\/va\/charlottesville\/charlottesville-albemarle-spca-va96\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,,,,,,Baby,Male,Small,,,,,,,,,,Binky,Primary Color: Brown Tabby Secondary Color: White Weight: 3.875lbs Age: 0yrs 0mths 10wks Animal has been Neutered,137010,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739147\/1\/?bust=1629579507&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739147\/1\/?bust=1629579507&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739147\/1\/?bust=1629579507&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739147\/1\/?bust=1629579507,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739147\/2\/?bust=1629579509&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739147\/2\/?bust=1629579509&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739147\/2\/?bust=1629579509&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739147\/2\/?bust=1629579509,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739147\/3\/?bust=1629579508&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739147\/3\/?bust=1629579508&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739147\/3\/?bust=1629579508&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739147\/3\/?bust=1629579508,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739147\/4\/?bust=1629579508&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739147\/4\/?bust=1629579508&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739147\/4\/?bust=1629579508&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739147\/4\/?bust=1629579508,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739147\/1\/?bust=1629579507&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739147\/1\/?bust=1629579507&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739147\/1\/?bust=1629579507&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739147\/1\/?bust=1629579507,adoptable,2021-08-21T20:48:18+0000,2021-08-21T20:48:18+0000,,info@caspca.org,(434) 973-5959,3355 Berkmar Dr.,,Charlottesville,VA,22901,US,\/v2\/animals\/52739147,\/v2\/types\/cat,\/v2\/organizations\/va96,,,,,
52739146,IL274,https:\/\/www.petfinder.com\/dog\/ulrich-52739146\/il\/hillside\/magnificent-mutts-rescue-il274\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Doberman Pinscher,,,,,,,Baby,Male,Medium,,,,,,,,,,Ulrich,***Thank you for your interest in Magnificent Mutts and Meows. As an all foster based rescue all meets will be...,17145126,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739146\/1\/?bust=1629579485&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739146\/1\/?bust=1629579485&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739146\/1\/?bust=1629579485&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739146\/1\/?bust=1629579485,,,,,,,,,,,,,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739146\/1\/?bust=1629579485&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739146\/1\/?bust=1629579485&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739146\/1\/?bust=1629579485&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739146\/1\/?bust=1629579485,adoptable,2021-08-21T20:47:57+0000,2021-08-21T20:47:57+0000,,magmuttsrescue@aol.com,,,,Hillside,IL,60162,US,\/v2\/animals\/52739146,\/v2\/types\/dog,\/v2\/organizations\/il274,,,,,
52739145,IL274,https:\/\/www.petfinder.com\/dog\/zita-52739145\/il\/hillside\/magnificent-mutts-rescue-il274\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Mixed Breed,,,,,,,Baby,Female,Medium,,,,,,,,,,Zita,***Thank you for your interest in Magnificent Mutts and Meows. As an all foster based rescue all meets will be...,17145142,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739145\/1\/?bust=1629579487&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739145\/1\/?bust=1629579487&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739145\/1\/?bust=1629579487&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739145\/1\/?bust=1629579487,,,,,,,,,,,,,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739145\/1\/?bust=1629579487&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739145\/1\/?bust=1629579487&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739145\/1\/?bust=1629579487&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739145\/1\/?bust=1629579487,adoptable,2021-08-21T20:47:57+0000,2021-08-21T20:47:57+0000,,magmuttsrescue@aol.com,,,,Hillside,IL,60162,US,\/v2\/animals\/52739145,\/v2\/types\/dog,\/v2\/organizations\/il274,,,,,
52739144,IL274,https:\/\/www.petfinder.com\/dog\/ulyssa-52739144\/il\/hillside\/magnificent-mutts-rescue-il274\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Doberman Pinscher,,,,,,,Baby,Female,Medium,,,,,,,,,,Ulyssa,***Thank you for your interest in Magnificent Mutts and Meows. As an all foster based rescue all meets will be...,17145129,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739144\/1\/?bust=1629579483&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739144\/1\/?bust=1629579483&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739144\/1\/?bust=1629579483&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739144\/1\/?bust=1629579483,,,,,,,,,,,,,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739144\/1\/?bust=1629579483&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739144\/1\/?bust=1629579483&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739144\/1\/?bust=1629579483&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739144\/1\/?bust=1629579483,adoptable,2021-08-21T20:47:56+0000,2021-08-21T20:47:56+0000,,magmuttsrescue@aol.com,,,,Hillside,IL,60162,US,\/v2\/animals\/52739144,\/v2\/types\/dog,\/v2\/organizations\/il274,,,,,
52739143,IL274,https:\/\/www.petfinder.com\/dog\/zamora-52739143\/il\/hillside\/magnificent-mutts-rescue-il274\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Mixed Breed,,,,,,,Baby,Female,Medium,,,,,,,,,,Zamora,***Thank you for your interest in Magnificent Mutts and Meows. As an all foster based rescue all meets will be...,17145133,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739143\/1\/?bust=1629579485&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739143\/1\/?bust=1629579485&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739143\/1\/?bust=1629579485&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739143\/1\/?bust=1629579485,,,,,,,,,,,,,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739143\/1\/?bust=1629579485&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739143\/1\/?bust=1629579485&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739143\/1\/?bust=1629579485&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739143\/1\/?bust=1629579485,adoptable,2021-08-21T20:47:56+0000,2021-08-21T20:47:56+0000,,magmuttsrescue@aol.com,,,,Hillside,IL,60162,US,\/v2\/animals\/52739143,\/v2\/types\/dog,\/v2\/organizations\/il274,,,,,
52739142,IL274,https:\/\/www.petfinder.com\/dog\/zenada-52739142\/il\/hillside\/magnificent-mutts-rescue-il274\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Mixed Breed,,,,,,,Baby,Female,Medium,,,,,,,,,,Zenada,***Thank you for your interest in Magnificent Mutts and Meows. As an all foster based rescue all meets will be...,17145136,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739142\/1\/?bust=1629579485&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739142\/1\/?bust=1629579485&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739142\/1\/?bust=1629579485&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739142\/1\/?bust=1629579485,,,,,,,,,,,,,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739142\/1\/?bust=1629579485&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739142\/1\/?bust=1629579485&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739142\/1\/?bust=1629579485&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739142\/1\/?bust=1629579485,adoptable,2021-08-21T20:47:55+0000,2021-08-21T20:47:55+0000,,magmuttsrescue@aol.com,,,,Hillside,IL,60162,US,\/v2\/animals\/52739142,\/v2\/types\/dog,\/v2\/organizations\/il274,,,,,
52739141,IL274,https:\/\/www.petfinder.com\/dog\/usher-52739141\/il\/hillside\/magnificent-mutts-rescue-il274\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Doberman Pinscher,,,,,,,Baby,Male,Medium,,,,,,,,,,Usher,***Thank you for your interest in Magnificent Mutts and Meows. As an all foster based rescue all meets will be...,17145128,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739141\/1\/?bust=1629579487&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739141\/1\/?bust=1629579487&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739141\/1\/?bust=1629579487&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739141\/1\/?bust=1629579487,,,,,,,,,,,,,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739141\/1\/?bust=1629579487&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739141\/1\/?bust=1629579487&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739141\/1\/?bust=1629579487&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739141\/1\/?bust=1629579487,adoptable,2021-08-21T20:47:55+0000,2021-08-21T20:47:55+0000,,magmuttsrescue@aol.com,,,,Hillside,IL,60162,US,\/v2\/animals\/52739141,\/v2\/types\/dog,\/v2\/organizations\/il274,,,,,
52739138,MD330,https:\/\/www.petfinder.com\/cat\/goose-52739138\/md\/baltimore\/pitties-and-purrs-md330\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,,,Tabby (Leopard \/ Spotted),,,Baby,Male,Medium,Short,,,,,,,,,Goose,Goose is a friendly three month old kitten who loves to play. He is curious and passes the time by...,,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739138\/1\/?bust=1629578869&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739138\/1\/?bust=1629578869&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739138\/1\/?bust=1629578869&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739138\/1\/?bust=1629578869,,,,,,,,,,,,,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739138\/1\/?bust=1629578869&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739138\/1\/?bust=1629578869&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739138\/1\/?bust=1629578869&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739138\/1\/?bust=1629578869,adoptable,2021-08-21T20:47:50+0000,2021-08-21T20:47:50+0000,,adoptpitties@gmail.com, ,,,Baltimore,MD,21206,US,\/v2\/animals\/52739138,\/v2\/types\/cat,\/v2\/organizations\/md330,,,,,
52739140,CA55,https:\/\/www.petfinder.com\/cat\/versailles-52739140\/ca\/los-angeles\/kitten-rescue-ca55\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Tabby,Domestic Medium Hair,,,Tabby (Buff \/ Tan \/ Fawn),Buff \/ Tan \/ Fawn,,Young,Male,Large,,,,,,,,,,Versailles,"DOB: 8\/15\/19
Versailles is a handsome, affectionate kitty that is a little shy when he meets new people but he...",17145146-X804,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739140\/1\/?bust=1629579473&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739140\/1\/?bust=1629579473&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739140\/1\/?bust=1629579473&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739140\/1\/?bust=1629579473,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739140\/2\/?bust=1629579473&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739140\/2\/?bust=1629579473&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739140\/2\/?bust=1629579473&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739140\/2\/?bust=1629579473,,,,,,,,,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739140\/1\/?bust=1629579473&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739140\/1\/?bust=1629579473&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739140\/1\/?bust=1629579473&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739140\/1\/?bust=1629579473,adoptable,2021-08-21T20:47:49+0000,2021-08-21T20:47:49+0000,,mail@kittenrescue.org,(818) 347-3037,,,Los Angeles,CA,90039,US,\/v2\/animals\/52739140,\/v2\/types\/cat,\/v2\/organizations\/ca55,,,,,
52739139,CA55,https:\/\/www.petfinder.com\/cat\/cairo-52739139\/ca\/los-angeles\/kitten-rescue-ca55\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,,,Black,,,Baby,Female,Medium,,,,,,,,,,Cairo,"DOB: 3\/15\/21
Cairo is a sweet, sleek, back beauty that loves attention and affection. She will climb into your lap...",17145134-O802,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739139\/1\/?bust=1629579475&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739139\/1\/?bust=1629579475&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739139\/1\/?bust=1629579475&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739139\/1\/?bust=1629579475,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739139\/2\/?bust=1629579474&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739139\/2\/?bust=1629579474&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739139\/2\/?bust=1629579474&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739139\/2\/?bust=1629579474,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739139\/3\/?bust=1629579474&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739139\/3\/?bust=1629579474&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739139\/3\/?bust=1629579474&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739139\/3\/?bust=1629579474,,,,,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739139\/1\/?bust=1629579475&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739139\/1\/?bust=1629579475&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739139\/1\/?bust=1629579475&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739139\/1\/?bust=1629579475,adoptable,2021-08-21T20:47:48+0000,2021-08-21T20:47:48+0000,,mail@kittenrescue.org,(818) 347-3037,,,Los Angeles,CA,90039,US,\/v2\/animals\/52739139,\/v2\/types\/cat,\/v2\/organizations\/ca55,,,,,
