id,organization_id,url,type,species,breeds/primary,breeds/secondary,breeds/mixed,breeds/unknown,colors/primary,colors/secondary,colors/tertiary,age,gender,size,coat,attributes/spayed_neutered,attributes/house_trained,attributes/declawed,attributes/special_needs,attributes/shots_current,environment/children,environment/dogs,environment/cats,name,description,organization_animal_id,photos/0/small,photos/0/medium,photos/0/large,photos/0/full,primary_photo_cropped/small,primary_photo_cropped/medium,primary_photo_cropped/large,primary_photo_cropped/full,status,status_changed_at,published_at,distance,contact/email,contact/phone,contact/address/address1,contact/address/address2,contact/address/city,contact/address/state,contact/address/postcode,contact/address/country,_links/self/href,_links/type/href,_links/organization/href,photos/1/small,photos/1/medium,photos/1/large,photos/1/full,photos/2/small,photos/2/medium,photos/2/large,photos/2/full,tags/0,tags/1,primary_photo_cropped,photos/3/small,photos/3/medium,photos/3/large,photos/3/full,photos/4/small,photos/4/medium,photos/4/large,photos/4/full,photos/5/small,photos/5/medium,photos/5/large,photos/5/full
52739116,GA717,https:\/\/www.petfinder.com\/small-furry\/zoey-52739116\/ga\/acworth\/kindness-matters-ferret-rescue-ga717\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Small & Furry,Ferret,Ferret,,,,,,,Adult,Female,Small,,,,,,,,,,Zoey,"Zoey - for adoption with Chloe after 8\/20.
2 years old, healthy, spayed, descented. She&#039;s missing her right eye because...",,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739116\/1\/?bust=1629578756&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739116\/1\/?bust=1629578756&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739116\/1\/?bust=1629578756&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739116\/1\/?bust=1629578756,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739116\/1\/?bust=1629578756&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739116\/1\/?bust=1629578756&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739116\/1\/?bust=1629578756&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739116\/1\/?bust=1629578756,adoptable,2021-08-21T20:45:59+0000,2021-08-21T20:45:59+0000,,kmferretrescue@comcast.net,(770) 235-0070,,,Acworth,GA,30101,US,\/v2\/animals\/52739116,\/v2\/types\/small-furry,\/v2\/organizations\/ga717,,,,,,,,,,,,,,,,,,,,,,,
52739115,OH649,https:\/\/www.petfinder.com\/barnyard\/wilbur-52739115\/oh\/ravenna\/happy-trails-farm-animal-sanctuary-inc-oh649\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Barnyard,Pot Bellied,Pot Bellied,,,,Pink,,,Adult,Male,Large,,,,,,,,,,Wilbur,Hey Wilbur! Check out one our newest residents at the sanctuary. Wilbur is around 2 years old and would love...,,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739115\/2\/?bust=1629578952&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739115\/2\/?bust=1629578952&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739115\/2\/?bust=1629578952&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739115\/2\/?bust=1629578952,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739115\/2\/?bust=1629578952&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739115\/2\/?bust=1629578952&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739115\/2\/?bust=1629578952&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739115\/2\/?bust=1629578952,adoptable,2021-08-21T20:45:36+0000,2021-08-21T20:45:36+0000,,adopt-foster@happytrailsfarm.org,(330) 296-5914,5623 New Milford Rd,,Ravenna,OH,44266,US,\/v2\/animals\/52739115,\/v2\/types\/barnyard,\/v2\/organizations\/oh649,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739115\/1\/?bust=1629578734&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739115\/1\/?bust=1629578734&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739115\/1\/?bust=1629578734&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739115\/1\/?bust=1629578734,,,,,,,,,,,,,,,,,,,
52739113,CA973,https:\/\/www.petfinder.com\/cat\/albert-52739113\/ca\/san-jose\/13th-st-cats-ca973\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,,,,,,Senior,Male,Medium,,,,,,,,,,albert,"You can fill out an adoption application online on our official website.
Online Adoption Application 

To Adopt one of our...",17124879-21-0165,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739113\/1\/?bust=1629579421&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739113\/1\/?bust=1629579421&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739113\/1\/?bust=1629579421&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739113\/1\/?bust=1629579421,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739113\/1\/?bust=1629579421&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739113\/1\/?bust=1629579421&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739113\/1\/?bust=1629579421&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739113\/1\/?bust=1629579421,adoptable,2021-08-21T20:45:33+0000,2021-08-21T20:45:33+0000,,info@13thstcats.org,(408) 566-3637,,,San Jose,CA,95112,US,\/v2\/animals\/52739113,\/v2\/types\/cat,\/v2\/organizations\/ca973,,,,,,,,,,,,,,,,,,,,,,,
52739114,CA809,https:\/\/www.petfinder.com\/cat\/taffy-52739114\/ca\/los-angeles\/stray-cat-alliance-ca809\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,,,Black,White,,Young,Female,Large,,,,,,,,,,Taffy,,SCAL-A-14229,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739114\/1\/?bust=1629579421&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739114\/1\/?bust=1629579421&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739114\/1\/?bust=1629579421&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739114\/1\/?bust=1629579421,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739114\/1\/?bust=1629579421&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739114\/1\/?bust=1629579421&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739114\/1\/?bust=1629579421&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739114\/1\/?bust=1629579421,adoptable,2021-08-21T20:45:32+0000,2021-08-21T20:45:32+0000,,adoptions@straycatalliance.org,(310) 281-6973,,,Los Angeles,CA,90016,US,\/v2\/animals\/52739114,\/v2\/types\/cat,\/v2\/organizations\/ca809,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739114\/2\/?bust=1629579416&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739114\/2\/?bust=1629579416&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739114\/2\/?bust=1629579416&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739114\/2\/?bust=1629579416,,,,,,,,,,,,,,,,,,,
52739110,MD448,https:\/\/www.petfinder.com\/cat\/0821-129-andi-52739110\/md\/abingdon\/shadow-cats-tnr-inc-md448\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,,,Tortoiseshell,,,Baby,Female,Small,,,,,,,,,,0821-129 Andi,"This sweet girl is Andi! She loves to play with just about any toy, and wrestling with her brother Amos....",BFHC-A-2649,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739110\/1\/?bust=1629579379&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739110\/1\/?bust=1629579379&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739110\/1\/?bust=1629579379&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739110\/1\/?bust=1629579379,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739110\/1\/?bust=1629579379&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739110\/1\/?bust=1629579379&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739110\/1\/?bust=1629579379&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739110\/1\/?bust=1629579379,adoptable,2021-08-21T20:45:20+0000,2021-08-21T20:45:20+0000,,adopt@shadowcatstnr.org,(443) 390-6676,,,Abingdon,MD,21009,US,\/v2\/animals\/52739110,\/v2\/types\/cat,\/v2\/organizations\/md448,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739110\/2\/?bust=1629579393&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739110\/2\/?bust=1629579393&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739110\/2\/?bust=1629579393&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739110\/2\/?bust=1629579393,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739110\/3\/?bust=1629579408&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739110\/3\/?bust=1629579408&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739110\/3\/?bust=1629579408&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739110\/3\/?bust=1629579408,,,,,,,,,,,,,,,
52739111,TX2471,https:\/\/www.petfinder.com\/dog\/48454487-52739111\/tx\/el-paso\/el-paso-animal-services-tx2471\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,German Shepherd Dog,Mixed Breed,,,Yellow \/ Tan \/ Blond \/ Fawn,Black,,Adult,Female,Extra Large,,,,,,,,,,48454487,,48454487,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739111\/1\/?bust=1629579399&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739111\/1\/?bust=1629579399&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739111\/1\/?bust=1629579399&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739111\/1\/?bust=1629579399,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739111\/1\/?bust=1629579399&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739111\/1\/?bust=1629579399&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739111\/1\/?bust=1629579399&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739111\/1\/?bust=1629579399,adoptable,2021-08-21T20:45:20+0000,2021-08-21T20:45:20+0000,,epasadoptions@elpasotexas.gov,(915) 212-7297,5001 Fred Wilson,,El Paso,TX,79906,US,\/v2\/animals\/52739111,\/v2\/types\/dog,\/v2\/organizations\/tx2471,,,,,,,,,,,,,,,,,,,,,,,
52739108,MD448,https:\/\/www.petfinder.com\/cat\/0821-127-abby-52739108\/md\/abingdon\/shadow-cats-tnr-inc-md448\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,,,Tortoiseshell,White,,Baby,Female,Small,,,,,,,,,,0821-127 Abby,"This darling little girl is Abby! She loves playing with almost any toy, but LOVES the ball tower. Abby is...",BFHC-A-2652,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739108\/1\/?bust=1629579397&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739108\/1\/?bust=1629579397&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739108\/1\/?bust=1629579397&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739108\/1\/?bust=1629579397,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739108\/1\/?bust=1629579397&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739108\/1\/?bust=1629579397&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739108\/1\/?bust=1629579397&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739108\/1\/?bust=1629579397,adoptable,2021-08-21T20:45:20+0000,2021-08-21T20:45:20+0000,,adopt@shadowcatstnr.org,(443) 390-6676,,,Abingdon,MD,21009,US,\/v2\/animals\/52739108,\/v2\/types\/cat,\/v2\/organizations\/md448,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739108\/2\/?bust=1629579400&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739108\/2\/?bust=1629579400&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739108\/2\/?bust=1629579400&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739108\/2\/?bust=1629579400,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739108\/3\/?bust=1629579412&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739108\/3\/?bust=1629579412&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739108\/3\/?bust=1629579412&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739108\/3\/?bust=1629579412,,,,,,,,,,,,,,,
52739109,MD448,https:\/\/www.petfinder.com\/cat\/0821-128-amos-52739109\/md\/abingdon\/shadow-cats-tnr-inc-md448\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,,,Brown \/ Chocolate,,,Baby,Male,Small,,,,,,,,,,0821-128 Amos,"This handsome boy is Amos! Amos is a frisky, friendly boy who loves almost any toy, but REALLY loves any...",BFHC-A-2650,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739109\/1\/?bust=1629579369&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739109\/1\/?bust=1629579369&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739109\/1\/?bust=1629579369&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739109\/1\/?bust=1629579369,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739109\/1\/?bust=1629579369&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739109\/1\/?bust=1629579369&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739109\/1\/?bust=1629579369&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739109\/1\/?bust=1629579369,adoptable,2021-08-21T20:45:20+0000,2021-08-21T20:45:20+0000,,adopt@shadowcatstnr.org,(443) 390-6676,,,Abingdon,MD,21009,US,\/v2\/animals\/52739109,\/v2\/types\/cat,\/v2\/organizations\/md448,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739109\/2\/?bust=1629579411&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739109\/2\/?bust=1629579411&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739109\/2\/?bust=1629579411&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739109\/2\/?bust=1629579411,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739109\/3\/?bust=1629579415&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739109\/3\/?bust=1629579415&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739109\/3\/?bust=1629579415&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739109\/3\/?bust=1629579415,,,,,,,,,,,,,,,
52739107,AL09,https:\/\/www.petfinder.com\/dog\/maley-52739107\/al\/columbiana\/shelby-humane-society-al09\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Mixed Breed,,,,Gray \/ Blue \/ Silver,White \/ Cream,,Adult,Female,Medium,,,,,,,,,,Maley,,SHAL-A-24466,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739107\/1\/?bust=1629579383&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739107\/1\/?bust=1629579383&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739107\/1\/?bust=1629579383&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739107\/1\/?bust=1629579383,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739107\/1\/?bust=1629579383&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739107\/1\/?bust=1629579383&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739107\/1\/?bust=1629579383&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739107\/1\/?bust=1629579383,adoptable,2021-08-21T20:45:19+0000,2021-08-21T20:45:19+0000,,info@shelbyhumane.org,(205) 669-3916,381 McDow Road,,Columbiana,AL,35051,US,\/v2\/animals\/52739107,\/v2\/types\/dog,\/v2\/organizations\/al09,,,,,,,,,Calm,,,,,,,,,,,,,,
52739105,IN190,https:\/\/www.petfinder.com\/cat\/tucker-52739105\/in\/evansville\/vanderburgh-humane-society-in190\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,,,Orange \/ Red,,,Baby,Male,Small,,,,,,,,,,Tucker,,VAN-A-35798,,,,,,,,,adoptable,2021-08-21T20:45:18+0000,2021-08-21T20:45:18+0000,,adoptions@vhslifesaver.org,(812) 426-2563,400 Millner Industrial Drive,,Evansville,IN,47710,US,\/v2\/animals\/52739105,\/v2\/types\/cat,\/v2\/organizations\/in190,,,,,,,,,Litterbox Trained,Lived with other cats,,,,,,,,,,,,,
