id,organization_id,url,type,species,breeds/primary,breeds/secondary,breeds/mixed,breeds/unknown,colors/primary,colors/secondary,colors/tertiary,age,gender,size,coat,attributes/spayed_neutered,attributes/house_trained,attributes/declawed,attributes/special_needs,attributes/shots_current,environment/children,environment/dogs,environment/cats,name,description,organization_animal_id,photos/0/small,photos/0/medium,photos/0/large,photos/0/full,primary_photo_cropped/small,primary_photo_cropped/medium,primary_photo_cropped/large,primary_photo_cropped/full,status,status_changed_at,published_at,distance,contact/email,contact/phone,contact/address/address1,contact/address/address2,contact/address/city,contact/address/state,contact/address/postcode,contact/address/country,_links/self/href,_links/type/href,_links/organization/href,tags/0,tags/1,tags/2,photos/1/small,photos/1/medium,photos/1/large,photos/1/full,photos/2/small,photos/2/medium,photos/2/large,photos/2/full,photos/3/small,photos/3/medium,photos/3/large,photos/3/full,photos/4/small,photos/4/medium,photos/4/large,photos/4/full,primary_photo_cropped
52739095,GA717,https:\/\/www.petfinder.com\/small-furry\/wobbles-52739095\/ga\/acworth\/kindness-matters-ferret-rescue-ga717\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Small & Furry,Ferret,Ferret,,,,,,,Young,Female,Small,,,,,,,,,,Wobbles,"Wobbles - for adoption after 8\/30 to a home with another young, active ferret. 5 months old, healthy, spayed, descented....",,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739095\/1\/?bust=1629578645&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739095\/1\/?bust=1629578645&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739095\/1\/?bust=1629578645&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739095\/1\/?bust=1629578645,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739095\/1\/?bust=1629578645&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739095\/1\/?bust=1629578645&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739095\/1\/?bust=1629578645&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739095\/1\/?bust=1629578645,adoptable,2021-08-21T20:44:06+0000,2021-08-21T20:44:06+0000,,kmferretrescue@comcast.net,(770) 235-0070,,,Acworth,GA,30101,US,\/v2\/animals\/52739095,\/v2\/types\/small-furry,\/v2\/organizations\/ga717,,,,,,,,,,,,,,,,,,,,
52739094,CA2350,https:\/\/www.petfinder.com\/dog\/ran-pronounced-wren-52739094\/ca\/san-juan-capistrano\/promise-4-paws-ca2350\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Golden Retriever,,,,Golden,,,Adult,Female,Medium,Long,,,,,,,,,Ran (pronounced Wren),Ran(Wren) is a 3 yr old female Golden Retriever mix. She is on the smaller side at 30 lbs. Is...,,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739094\/1\/?bust=1629578639&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739094\/1\/?bust=1629578639&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739094\/1\/?bust=1629578639&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739094\/1\/?bust=1629578639,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739094\/1\/?bust=1629578639&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739094\/1\/?bust=1629578639&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739094\/1\/?bust=1629578639&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739094\/1\/?bust=1629578639,adoptable,2021-08-21T20:44:01+0000,2021-08-21T20:44:01+0000,,apromise4paws@gmail.com,(949) 600-1964,,,San Juan Capistrano,CA,92675,US,\/v2\/animals\/52739094,\/v2\/types\/dog,\/v2\/organizations\/ca2350,Friendly,Loyal,Smart,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739094\/2\/?bust=1629578639&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739094\/2\/?bust=1629578639&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739094\/2\/?bust=1629578639&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739094\/2\/?bust=1629578639,,,,,,,,,,,,,
52739092,OH706,https:\/\/www.petfinder.com\/dog\/simon-52739092\/oh\/plain-city\/canine-collective-oh706\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Coonhound,,,,Yellow \/ Tan \/ Blond \/ Fawn,,,Adult,Male,Extra Large,Short,,,,,,,,,Simon,"Simon is an 8 year old Treeing Walker Coonhound who is 75 pounds.

I love my people but I love...",R055,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739092\/1\/?bust=1629579146&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739092\/1\/?bust=1629579146&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739092\/1\/?bust=1629579146&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739092\/1\/?bust=1629579146,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739092\/1\/?bust=1629579146&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739092\/1\/?bust=1629579146&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739092\/1\/?bust=1629579146&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739092\/1\/?bust=1629579146,adoptable,2021-08-21T20:42:06+0000,2021-08-21T20:42:06+0000,,info@CanineCollective.org,,11144 US 42N,,Plain City,OH,43064,US,\/v2\/animals\/52739092,\/v2\/types\/dog,\/v2\/organizations\/oh706,,,,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739092\/2\/?bust=1629579137&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739092\/2\/?bust=1629579137&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739092\/2\/?bust=1629579137&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739092\/2\/?bust=1629579137,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739092\/3\/?bust=1629579135&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739092\/3\/?bust=1629579135&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739092\/3\/?bust=1629579135&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739092\/3\/?bust=1629579135,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739092\/4\/?bust=1629579145&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739092\/4\/?bust=1629579145&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739092\/4\/?bust=1629579145&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739092\/4\/?bust=1629579145,,,,,
52739091,OH706,https:\/\/www.petfinder.com\/dog\/onex-52739091\/oh\/plain-city\/canine-collective-oh706\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Great Dane,Boxer,,,Black,,,Baby,Female,Large,Short,,,,,,,,,Onex,"ONEX is a beautiful female 6 month old Great Dane \/ Boxer mix that weighs 55 pounds.


Onex is new...",R983,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739091\/1\/?bust=1629579150&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739091\/1\/?bust=1629579150&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739091\/1\/?bust=1629579150&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739091\/1\/?bust=1629579150,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739091\/1\/?bust=1629579150&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739091\/1\/?bust=1629579150&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739091\/1\/?bust=1629579150&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739091\/1\/?bust=1629579150,adoptable,2021-08-21T20:42:05+0000,2021-08-21T20:42:05+0000,,info@CanineCollective.org,,11144 US 42N,,Plain City,OH,43064,US,\/v2\/animals\/52739091,\/v2\/types\/dog,\/v2\/organizations\/oh706,,,,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739091\/2\/?bust=1629579146&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739091\/2\/?bust=1629579146&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739091\/2\/?bust=1629579146&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739091\/2\/?bust=1629579146,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739091\/3\/?bust=1629579129&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739091\/3\/?bust=1629579129&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739091\/3\/?bust=1629579129&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739091\/3\/?bust=1629579129,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739091\/4\/?bust=1629579130&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739091\/4\/?bust=1629579130&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739091\/4\/?bust=1629579130&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739091\/4\/?bust=1629579130,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739091\/5\/?bust=1629579147&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739091\/5\/?bust=1629579147&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739091\/5\/?bust=1629579147&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739091\/5\/?bust=1629579147,
52739090,AZ180,https:\/\/www.petfinder.com\/dog\/laurel-52739090\/az\/casa-grande\/valley-humane-society-inc-az180\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Doberman Pinscher,,,,Brown \/ Chocolate,,,Young,Male,Medium,Short,,,,,,,,,Laurel,Laurel is an 11-month-old gorgeous Doberman!  He loves to play and exercise and he also likes to just chill with...,,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739090\/1\/?bust=1629578459&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739090\/1\/?bust=1629578459&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739090\/1\/?bust=1629578459&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739090\/1\/?bust=1629578459,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739090\/1\/?bust=1629578459&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739090\/1\/?bust=1629578459&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739090\/1\/?bust=1629578459&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739090\/1\/?bust=1629578459,adoptable,2021-08-21T20:41:00+0000,2021-08-21T20:41:00+0000,,vhsmail@valleyhumane.net,(520) 836-0904,15699 W. Aniceto Rd.,PO Box 10480,Casa Grande,AZ,85230,US,\/v2\/animals\/52739090,\/v2\/types\/dog,\/v2\/organizations\/az180,,,,,,,,,,,,,,,,,,,,
52739089,CA803,https:\/\/www.petfinder.com\/dog\/tito-52739089\/ca\/san-diego\/san-diego-humane-society-ca803\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Pit Bull Terrier,,,,,,,Adult,Male,Medium,,,,,,,,,,Tito,"How this pet arrived: This pet was brought in by their previous owner. At SDHS:This pet has been vaccinated, microchipped...",575262,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739089\/1\/?bust=1629579135&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739089\/1\/?bust=1629579135&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739089\/1\/?bust=1629579135&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739089\/1\/?bust=1629579135,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739089\/1\/?bust=1629579135&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739089\/1\/?bust=1629579135&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739089\/1\/?bust=1629579135&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739089\/1\/?bust=1629579135,adoptable,2021-08-21T20:40:46+0000,2021-08-21T20:40:46+0000,,info@sdhumane.org,(619) 299-7012,5500 Gaines Street,,San Diego,CA,92110,US,\/v2\/animals\/52739089,\/v2\/types\/dog,\/v2\/organizations\/ca803,,,,,,,,,,,,,,,,,,,,
52739088,CA803,https:\/\/www.petfinder.com\/dog\/billie-52739088\/ca\/san-diego\/san-diego-humane-society-ca803\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Chihuahua,Dachshund,,,,,,Young,Male,Medium,,,,,,,,,,Billie,"How this pet arrived: This pet was brought in by their previous owner. At SDHS:This pet has been vaccinated, microchipped...",717949,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739088\/1\/?bust=1629579117&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739088\/1\/?bust=1629579117&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739088\/1\/?bust=1629579117&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739088\/1\/?bust=1629579117,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739088\/1\/?bust=1629579117&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739088\/1\/?bust=1629579117&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739088\/1\/?bust=1629579117&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739088\/1\/?bust=1629579117,adoptable,2021-08-21T20:40:46+0000,2021-08-21T20:40:46+0000,,info@sdhumane.org,(619) 299-7012,5500 Gaines Street,,San Diego,CA,92110,US,\/v2\/animals\/52739088,\/v2\/types\/dog,\/v2\/organizations\/ca803,,,,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739088\/2\/?bust=1629579145&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739088\/2\/?bust=1629579145&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739088\/2\/?bust=1629579145&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739088\/2\/?bust=1629579145,,,,,,,,,,,,,
52739087,CA803,https:\/\/www.petfinder.com\/dog\/luna-52739087\/ca\/san-diego\/san-diego-humane-society-ca803\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Shiba Inu,,,,,,,Young,Female,Medium,,,,,,,,,,Luna,How this pet arrived:This pet was rescued by the Humane Law Enforcement Team.Why this pet is the one for you:Luna...,730353,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739087\/1\/?bust=1629579140&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739087\/1\/?bust=1629579140&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739087\/1\/?bust=1629579140&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739087\/1\/?bust=1629579140,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739087\/1\/?bust=1629579140&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739087\/1\/?bust=1629579140&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739087\/1\/?bust=1629579140&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739087\/1\/?bust=1629579140,adoptable,2021-08-21T20:40:46+0000,2021-08-21T20:40:46+0000,,info@sdhumane.org,(619) 299-7012,5500 Gaines Street,,San Diego,CA,92110,US,\/v2\/animals\/52739087,\/v2\/types\/dog,\/v2\/organizations\/ca803,,,,,,,,,,,,,,,,,,,,
52739086,IL195,https:\/\/www.petfinder.com\/dog\/cincinnati-52739086\/il\/northbrook\/heartland-animal-shelter-il195\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Mixed Breed,,,,Black,White \/ Cream,,Senior,Male,Small,,,,,,,,,,Cincinnati,,HLIL-A-11641,,,,,,,,,adoptable,2021-08-21T20:40:34+0000,2021-08-21T20:40:34+0000,,heartlandanimals@yahoo.com,(847) 296-6400,2975  Milwaukee Ave.,,Northbrook,IL,60062,US,\/v2\/animals\/52739086,\/v2\/types\/dog,\/v2\/organizations\/il195,,,,,,,,,,,,,,,,,,,,
52739085,AZ644,https:\/\/www.petfinder.com\/cat\/april-52739085\/az\/casa-grande\/valley-kitten-nursery-and-rescue-az644\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,,,Black,,,Adult,Female,Small,,,,,,,,,,April,going back to owner,VKNR-A-58,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739085\/1\/?bust=1629579100&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739085\/1\/?bust=1629579100&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739085\/1\/?bust=1629579100&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739085\/1\/?bust=1629579100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739085\/1\/?bust=1629579100&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739085\/1\/?bust=1629579100&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739085\/1\/?bust=1629579100&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739085\/1\/?bust=1629579100,adoptable,2021-08-21T20:40:33+0000,2021-08-21T20:40:33+0000,,ml.eitel@yahoo.com,(602) 460-4475,,,Casa Grande,AZ,85194,US,\/v2\/animals\/52739085,\/v2\/types\/cat,\/v2\/organizations\/az644,,,,,,,,,,,,,,,,,,,,
