id,organization_id,url,type,species,breeds/primary,breeds/secondary,breeds/mixed,breeds/unknown,colors/primary,colors/secondary,colors/tertiary,age,gender,size,coat,attributes/spayed_neutered,attributes/house_trained,attributes/declawed,attributes/special_needs,attributes/shots_current,environment/children,environment/dogs,environment/cats,name,description,organization_animal_id,photos/0/small,photos/0/medium,photos/0/large,photos/0/full,primary_photo_cropped/small,primary_photo_cropped/medium,primary_photo_cropped/large,primary_photo_cropped/full,status,status_changed_at,published_at,distance,contact/email,contact/phone,contact/address/address1,contact/address/address2,contact/address/city,contact/address/state,contact/address/postcode,contact/address/country,_links/self/href,_links/type/href,_links/organization/href,primary_photo_cropped
52739067,CO316,https:\/\/www.petfinder.com\/small-furry\/a0853265-52739067\/co\/denver\/dumb-friends-league-co316\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Small & Furry,Guinea Pig,Guinea Pig,,,,,,,Adult,Male,Small,,,,,,,,,,A0853265,,A0853265,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739067\/1\/?bust=1629579116&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739067\/1\/?bust=1629579116&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739067\/1\/?bust=1629579116&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739067\/1\/?bust=1629579116,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739067\/1\/?bust=1629579116&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739067\/1\/?bust=1629579116&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739067\/1\/?bust=1629579116&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739067\/1\/?bust=1629579116,adoptable,2021-08-21T20:40:27+0000,2021-08-21T20:40:27+0000,,customercare@ddfl.org,303-751-5772  ,2080 S. Quebec St.,,Denver,CO,80231,US,\/v2\/animals\/52739067,\/v2\/types\/small-furry,\/v2\/organizations\/co316,
52739072,CO316,https:\/\/www.petfinder.com\/small-furry\/a0852882-52739072\/co\/denver\/dumb-friends-league-co316\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Small & Furry,Mouse,Mouse,,,,,,,Baby,Male,Small,,,,,,,,,,A0852882,,A0852882,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739072\/1\/?bust=1629579117&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739072\/1\/?bust=1629579117&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739072\/1\/?bust=1629579117&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739072\/1\/?bust=1629579117,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739072\/1\/?bust=1629579117&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739072\/1\/?bust=1629579117&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739072\/1\/?bust=1629579117&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739072\/1\/?bust=1629579117,adoptable,2021-08-21T20:40:27+0000,2021-08-21T20:40:27+0000,,customercare@ddfl.org,303-751-5772  ,2080 S. Quebec St.,,Denver,CO,80231,US,\/v2\/animals\/52739072,\/v2\/types\/small-furry,\/v2\/organizations\/co316,
52739066,CO316,https:\/\/www.petfinder.com\/small-furry\/cap-and-number-39n-52739066\/co\/denver\/dumb-friends-league-co316\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Small & Furry,Guinea Pig,Guinea Pig,,,,,,,Baby,Male,Small,,,,,,,,,,CAP&#39;N,,A0853271,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739066\/1\/?bust=1629579118&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739066\/1\/?bust=1629579118&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739066\/1\/?bust=1629579118&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739066\/1\/?bust=1629579118,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739066\/1\/?bust=1629579118&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739066\/1\/?bust=1629579118&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739066\/1\/?bust=1629579118&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739066\/1\/?bust=1629579118,adoptable,2021-08-21T20:40:27+0000,2021-08-21T20:40:27+0000,,customercare@ddfl.org,303-751-5772  ,2080 S. Quebec St.,,Denver,CO,80231,US,\/v2\/animals\/52739066,\/v2\/types\/small-furry,\/v2\/organizations\/co316,
52739073,CO316,https:\/\/www.petfinder.com\/cat\/callie-52739073\/co\/denver\/dumb-friends-league-co316\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,,,,,,Adult,Female,Medium,,,,,,,,,,CALLIE,INDOOR HANG OUT BUDDY We recommend Callie going to a quiet home with no small kids. She is a shy...,A0833399,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739073\/1\/?bust=1629579134&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739073\/1\/?bust=1629579134&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739073\/1\/?bust=1629579134&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739073\/1\/?bust=1629579134,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739073\/1\/?bust=1629579134&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739073\/1\/?bust=1629579134&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739073\/1\/?bust=1629579134&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739073\/1\/?bust=1629579134,adoptable,2021-08-21T20:40:27+0000,2021-08-21T20:40:27+0000,,customercare@ddfl.org,303-751-5772  ,2080 S. Quebec St.,,Denver,CO,80231,US,\/v2\/animals\/52739073,\/v2\/types\/cat,\/v2\/organizations\/co316,
52739069,CO316,https:\/\/www.petfinder.com\/small-furry\/hickup-52739069\/co\/denver\/dumb-friends-league-co316\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Small & Furry,Rat,Rat,,,,,,,Adult,Female,Small,,,,,,,,,,HICKUP,,A0840906,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739069\/1\/?bust=1629579132&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739069\/1\/?bust=1629579132&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739069\/1\/?bust=1629579132&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739069\/1\/?bust=1629579132,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739069\/1\/?bust=1629579132&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739069\/1\/?bust=1629579132&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739069\/1\/?bust=1629579132&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739069\/1\/?bust=1629579132,adoptable,2021-08-21T20:40:27+0000,2021-08-21T20:40:27+0000,,customercare@ddfl.org,303-751-5772  ,2080 S. Quebec St.,,Denver,CO,80231,US,\/v2\/animals\/52739069,\/v2\/types\/small-furry,\/v2\/organizations\/co316,
52739070,CO316,https:\/\/www.petfinder.com\/small-furry\/cheerios-52739070\/co\/denver\/dumb-friends-league-co316\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Small & Furry,Guinea Pig,Guinea Pig,,,,,,,Baby,Female,Small,,,,,,,,,,CHEERIOS,,A0853268,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739070\/1\/?bust=1629579126&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739070\/1\/?bust=1629579126&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739070\/1\/?bust=1629579126&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739070\/1\/?bust=1629579126,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739070\/1\/?bust=1629579126&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739070\/1\/?bust=1629579126&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739070\/1\/?bust=1629579126&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739070\/1\/?bust=1629579126,adoptable,2021-08-21T20:40:27+0000,2021-08-21T20:40:27+0000,,customercare@ddfl.org,303-751-5772  ,2080 S. Quebec St.,,Denver,CO,80231,US,\/v2\/animals\/52739070,\/v2\/types\/small-furry,\/v2\/organizations\/co316,
52739061,CO316,https:\/\/www.petfinder.com\/cat\/west-52739061\/co\/denver\/dumb-friends-league-co316\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Medium Hair,,,,,,,Baby,Male,Small,,,,,,,,,,WEST,,A0851361,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739061\/1\/?bust=1629579062&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739061\/1\/?bust=1629579062&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739061\/1\/?bust=1629579062&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739061\/1\/?bust=1629579062,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739061\/1\/?bust=1629579062&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739061\/1\/?bust=1629579062&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739061\/1\/?bust=1629579062&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739061\/1\/?bust=1629579062,adoptable,2021-08-21T20:40:26+0000,2021-08-21T20:40:26+0000,,customercare@ddfl.org,303-751-5772  ,2080 S. Quebec St.,,Denver,CO,80231,US,\/v2\/animals\/52739061,\/v2\/types\/cat,\/v2\/organizations\/co316,
52739064,CO316,https:\/\/www.petfinder.com\/cat\/sweetpea-52739064\/co\/denver\/dumb-friends-league-co316\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,,,,,,Baby,Male,Small,,,,,,,,,,SWEETPEA,,A0852086,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739064\/1\/?bust=1629579112&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739064\/1\/?bust=1629579112&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739064\/1\/?bust=1629579112&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739064\/1\/?bust=1629579112,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739064\/1\/?bust=1629579112&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739064\/1\/?bust=1629579112&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739064\/1\/?bust=1629579112&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739064\/1\/?bust=1629579112,adoptable,2021-08-21T20:40:26+0000,2021-08-21T20:40:26+0000,,customercare@ddfl.org,303-751-5772  ,2080 S. Quebec St.,,Denver,CO,80231,US,\/v2\/animals\/52739064,\/v2\/types\/cat,\/v2\/organizations\/co316,
52739056,CO316,https:\/\/www.petfinder.com\/small-furry\/hakuna-52739056\/co\/denver\/dumb-friends-league-co316\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Small & Furry,Rat,Rat,,,,,,,Adult,Female,Medium,,,,,,,,,,HAKUNA,,A0852820,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739056\/1\/?bust=1629579109&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739056\/1\/?bust=1629579109&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739056\/1\/?bust=1629579109&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739056\/1\/?bust=1629579109,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739056\/1\/?bust=1629579109&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739056\/1\/?bust=1629579109&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739056\/1\/?bust=1629579109&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739056\/1\/?bust=1629579109,adoptable,2021-08-21T20:40:26+0000,2021-08-21T20:40:26+0000,,customercare@ddfl.org,303-751-5772  ,2080 S. Quebec St.,,Denver,CO,80231,US,\/v2\/animals\/52739056,\/v2\/types\/small-furry,\/v2\/organizations\/co316,
52739065,CO316,https:\/\/www.petfinder.com\/small-furry\/bella-52739065\/co\/denver\/dumb-friends-league-co316\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Small & Furry,Rat,Rat,,,,,,,Adult,Female,Medium,,,,,,,,,,BELLA,,A0852836,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739065\/1\/?bust=1629579100&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739065\/1\/?bust=1629579100&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739065\/1\/?bust=1629579100&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739065\/1\/?bust=1629579100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739065\/1\/?bust=1629579100&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739065\/1\/?bust=1629579100&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739065\/1\/?bust=1629579100&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739065\/1\/?bust=1629579100,adoptable,2021-08-21T20:40:26+0000,2021-08-21T20:40:26+0000,,customercare@ddfl.org,303-751-5772  ,2080 S. Quebec St.,,Denver,CO,80231,US,\/v2\/animals\/52739065,\/v2\/types\/small-furry,\/v2\/organizations\/co316,
