id,organization_id,url,type,species,breeds/primary,breeds/secondary,breeds/mixed,breeds/unknown,colors/primary,colors/secondary,colors/tertiary,age,gender,size,coat,attributes/spayed_neutered,attributes/house_trained,attributes/declawed,attributes/special_needs,attributes/shots_current,environment/children,environment/dogs,environment/cats,name,description,organization_animal_id,photos/0/small,photos/0/medium,photos/0/large,photos/0/full,primary_photo_cropped/small,primary_photo_cropped/medium,primary_photo_cropped/large,primary_photo_cropped/full,status,status_changed_at,published_at,distance,contact/email,contact/phone,contact/address/address1,contact/address/address2,contact/address/city,contact/address/state,contact/address/postcode,contact/address/country,_links/self/href,_links/type/href,_links/organization/href,tags/0,tags/1,tags/2,tags/3,primary_photo_cropped
52739051,MA243,https:\/\/www.petfinder.com\/small-furry\/pie-52739051\/ma\/centerville\/mspca-cape-cod-animal-care-and-adoption-center-ma243\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Small & Furry,Hamster,Hamster,,,,,,,Baby,Female,Small,,,,,,,,,,PIE,"Hamsters are nocturnal, meaning they are most active at night and can nip if woken during the day. Hamsters must...",A404619,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739051\/1\/?bust=1629579102&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739051\/1\/?bust=1629579102&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739051\/1\/?bust=1629579102&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739051\/1\/?bust=1629579102,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739051\/1\/?bust=1629579102&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739051\/1\/?bust=1629579102&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739051\/1\/?bust=1629579102&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739051\/1\/?bust=1629579102,adoptable,2021-08-21T20:40:18+0000,2021-08-21T20:40:18+0000,,cape@mspca.org,(508) 775-0940,1577 Falmouth Rd.,,Centerville,MA,02632,US,\/v2\/animals\/52739051,\/v2\/types\/small-furry,\/v2\/organizations\/ma243,,,,,
52739047,TX2260,https:\/\/www.petfinder.com\/dog\/harley-52739047\/tx\/baytown\/baytown-animal-services-tx2260\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,German Shepherd Dog,,,,,,,Young,Female,Medium,,,,,,,,,,HARLEY,,A000077,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739047\/1\/?bust=1629579062&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739047\/1\/?bust=1629579062&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739047\/1\/?bust=1629579062&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739047\/1\/?bust=1629579062,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739047\/1\/?bust=1629579062&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739047\/1\/?bust=1629579062&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739047\/1\/?bust=1629579062&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739047\/1\/?bust=1629579062,adoptable,2021-08-21T20:40:18+0000,2021-08-21T20:40:18+0000,,candace.thomas@baytown.org,(281) 422-7600,705 N Robert Lanier Drive,,Baytown,TX,77521,US,\/v2\/animals\/52739047,\/v2\/types\/dog,\/v2\/organizations\/tx2260,,,,,
52739049,MA243,https:\/\/www.petfinder.com\/small-furry\/cookie-52739049\/ma\/centerville\/mspca-cape-cod-animal-care-and-adoption-center-ma243\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Small & Furry,Hamster,Hamster,,,,,,,Baby,Female,Small,,,,,,,,,,COOKIE,"Hamsters are nocturnal, meaning they are most active at night and can nip if woken during the day. Hamsters must...",A404617,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739049\/1\/?bust=1629579052&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739049\/1\/?bust=1629579052&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739049\/1\/?bust=1629579052&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739049\/1\/?bust=1629579052,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739049\/1\/?bust=1629579052&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739049\/1\/?bust=1629579052&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739049\/1\/?bust=1629579052&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739049\/1\/?bust=1629579052,adoptable,2021-08-21T20:40:18+0000,2021-08-21T20:40:18+0000,,cape@mspca.org,(508) 775-0940,1577 Falmouth Rd.,,Centerville,MA,02632,US,\/v2\/animals\/52739049,\/v2\/types\/small-furry,\/v2\/organizations\/ma243,,,,,
52739050,MA243,https:\/\/www.petfinder.com\/small-furry\/venus-52739050\/ma\/centerville\/mspca-cape-cod-animal-care-and-adoption-center-ma243\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Small & Furry,Hamster,Hamster,,,,,,,Baby,Female,Small,,,,,,,,,,VENUS,"Hamsters are nocturnal, meaning they are most active at night and can nip if woken during the day. Hamsters must...",A404616,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739050\/1\/?bust=1629579042&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739050\/1\/?bust=1629579042&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739050\/1\/?bust=1629579042&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739050\/1\/?bust=1629579042,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739050\/1\/?bust=1629579042&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739050\/1\/?bust=1629579042&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739050\/1\/?bust=1629579042&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739050\/1\/?bust=1629579042,adoptable,2021-08-21T20:40:18+0000,2021-08-21T20:40:18+0000,,cape@mspca.org,(508) 775-0940,1577 Falmouth Rd.,,Centerville,MA,02632,US,\/v2\/animals\/52739050,\/v2\/types\/small-furry,\/v2\/organizations\/ma243,,,,,
52739048,TX2260,https:\/\/www.petfinder.com\/dog\/bruno-52739048\/tx\/baytown\/baytown-animal-services-tx2260\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Pit Bull Terrier,,,,,,,Baby,Male,Small,,,,,,,,,,BRUNO,,A059492,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739048\/1\/?bust=1629579073&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739048\/1\/?bust=1629579073&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739048\/1\/?bust=1629579073&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739048\/1\/?bust=1629579073,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739048\/1\/?bust=1629579073&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739048\/1\/?bust=1629579073&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739048\/1\/?bust=1629579073&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739048\/1\/?bust=1629579073,adoptable,2021-08-21T20:40:18+0000,2021-08-21T20:40:18+0000,,candace.thomas@baytown.org,(281) 422-7600,705 N Robert Lanier Drive,,Baytown,TX,77521,US,\/v2\/animals\/52739048,\/v2\/types\/dog,\/v2\/organizations\/tx2260,,,,,
52739041,MI1121,https:\/\/www.petfinder.com\/dog\/sassy-52739041\/mi\/alma\/dalis-to-the-rescue-mi1121\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Dachshund,,,,Brown \/ Chocolate,,,Adult,Female,Small,Long,,,,,,,,,Sassy,"This is Sassy, a longhaired Dachshund. She is four years of age and does not enjoy other animals.
Her previous...",,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739041\/1\/?bust=1629578415&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739041\/1\/?bust=1629578415&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739041\/1\/?bust=1629578415&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739041\/1\/?bust=1629578415,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739041\/1\/?bust=1629578415&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739041\/1\/?bust=1629578415&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739041\/1\/?bust=1629578415&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739041\/1\/?bust=1629578415,adoptable,2021-08-21T20:40:16+0000,2021-08-21T20:40:16+0000,,dalis2therescue@gmail.com,(989) 463-9797,303 Valley Ave.,,Alma,MI,48801,US,\/v2\/animals\/52739041,\/v2\/types\/dog,\/v2\/organizations\/mi1121,Friendly,Affectionate,Playful,Funny,
52739042,CA768,https:\/\/www.petfinder.com\/cat\/a1995538-52739042\/ca\/san-pedro\/city-of-los-angeles-harbor-animal-shelter-ca768\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,,,,,,Adult,Female,Small,,,,,,,,,,A1995538,,A1995538,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739042\/1\/?bust=1629579063&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739042\/1\/?bust=1629579063&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739042\/1\/?bust=1629579063&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739042\/1\/?bust=1629579063,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739042\/1\/?bust=1629579063&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739042\/1\/?bust=1629579063&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739042\/1\/?bust=1629579063&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739042\/1\/?bust=1629579063,adoptable,2021-08-21T20:40:14+0000,2021-08-21T20:40:14+0000,,,(888) 452-7381,957 North Gaffey St,,San Pedro,CA,90731,US,\/v2\/animals\/52739042,\/v2\/types\/cat,\/v2\/organizations\/ca768,,,,,
52739043,CA768,https:\/\/www.petfinder.com\/cat\/stella-52739043\/ca\/san-pedro\/city-of-los-angeles-harbor-animal-shelter-ca768\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,,,,,,Baby,Female,Small,,,,,,,,,,STELLA,,A1990608,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739043\/1\/?bust=1629579060&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739043\/1\/?bust=1629579060&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739043\/1\/?bust=1629579060&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739043\/1\/?bust=1629579060,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739043\/1\/?bust=1629579060&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739043\/1\/?bust=1629579060&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739043\/1\/?bust=1629579060&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739043\/1\/?bust=1629579060,adoptable,2021-08-21T20:40:14+0000,2021-08-21T20:40:14+0000,,,(888) 452-7381,957 North Gaffey St,,San Pedro,CA,90731,US,\/v2\/animals\/52739043,\/v2\/types\/cat,\/v2\/organizations\/ca768,,,,,
52739044,TX1659,https:\/\/www.petfinder.com\/cat\/queen-cali-52739044\/tx\/grand-prairie\/grand-prairie-animal-services-tx1659\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Medium Hair,,,,,,,Young,Female,Medium,,,,,,,,,,QUEEN CALI,,A192596,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739044\/1\/?bust=1629579049&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739044\/1\/?bust=1629579049&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739044\/1\/?bust=1629579049&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739044\/1\/?bust=1629579049,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739044\/1\/?bust=1629579049&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739044\/1\/?bust=1629579049&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739044\/1\/?bust=1629579049&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739044\/1\/?bust=1629579049,adoptable,2021-08-21T20:40:14+0000,2021-08-21T20:40:14+0000,,prairiepawsanimalinfo@gptx.org,(972) 237-8575,2222 West Warrior Trail,,Grand Prairie,TX,75052,US,\/v2\/animals\/52739044,\/v2\/types\/cat,\/v2\/organizations\/tx1659,,,,,
52739045,TX1659,https:\/\/www.petfinder.com\/cat\/queen-keke-52739045\/tx\/grand-prairie\/grand-prairie-animal-services-tx1659\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Medium Hair,,,,,,,Young,Female,Medium,,,,,,,,,,QUEEN KEKE,,A192597,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739045\/1\/?bust=1629579043&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739045\/1\/?bust=1629579043&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739045\/1\/?bust=1629579043&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739045\/1\/?bust=1629579043,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739045\/1\/?bust=1629579043&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739045\/1\/?bust=1629579043&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739045\/1\/?bust=1629579043&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739045\/1\/?bust=1629579043,adoptable,2021-08-21T20:40:14+0000,2021-08-21T20:40:14+0000,,prairiepawsanimalinfo@gptx.org,(972) 237-8575,2222 West Warrior Trail,,Grand Prairie,TX,75052,US,\/v2\/animals\/52739045,\/v2\/types\/cat,\/v2\/organizations\/tx1659,,,,,
