id,organization_id,url,type,species,breeds/primary,breeds/secondary,breeds/mixed,breeds/unknown,colors/primary,colors/secondary,colors/tertiary,age,gender,size,coat,attributes/spayed_neutered,attributes/house_trained,attributes/declawed,attributes/special_needs,attributes/shots_current,environment/children,environment/dogs,environment/cats,name,description,organization_animal_id,primary_photo_cropped,status,status_changed_at,published_at,distance,contact/email,contact/phone,contact/address/address1,contact/address/address2,contact/address/city,contact/address/state,contact/address/postcode,contact/address/country,_links/self/href,_links/type/href,_links/organization/href,photos/0/small,photos/0/medium,photos/0/large,photos/0/full,primary_photo_cropped/small,primary_photo_cropped/medium,primary_photo_cropped/large,primary_photo_cropped/full
52739023,NE73,https:\/\/www.petfinder.com\/dog\/kevin-52739023\/ne\/omaha\/nebraska-humane-society-ne73\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Golden Retriever,Mixed Breed,,,,,,Adult,Male,Medium,,,,,,,,,,KEVIN,"Hi I&amp;#39;m Kevin. I love to be busy, both physically and mentally. Do you like your crosswords to work your...",A1409909,,adoptable,2021-08-21T20:40:05+0000,2021-08-21T20:40:05+0000,,nhs@nehumanesociety.org,(402) 444-7800,8929 Fort St,,Omaha,NE,68134,US,\/v2\/animals\/52739023,\/v2\/types\/dog,\/v2\/organizations\/ne73,,,,,,,,
52739024,NE73,https:\/\/www.petfinder.com\/dog\/charles-schwab-etfs-52739024\/ne\/omaha\/nebraska-humane-society-ne73\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Boxer,Pit Bull Terrier,,,,,,Young,Male,Medium,,,,,,,,,,CHARLES SCHWAB ETFS,"My name is Charles Schwab ETFs. Looking for a fun loving, energetic canine companion that loves to just goof around?...",A1409592,,adoptable,2021-08-21T20:40:05+0000,2021-08-21T20:40:05+0000,,nhs@nehumanesociety.org,(402) 444-7800,8929 Fort St,,Omaha,NE,68134,US,\/v2\/animals\/52739024,\/v2\/types\/dog,\/v2\/organizations\/ne73,,,,,,,,
52739025,NE73,https:\/\/www.petfinder.com\/dog\/rufie-52739025\/ne\/omaha\/nebraska-humane-society-ne73\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Labrador Retriever,,,,,,,Senior,Male,Large,,,,,,,,,,RUFIE,"Hi I&amp;#39;m Rufie. I love to be busy, both physically and mentally. I love activities like puzzle feeders, kongs and...",A1327345,,adoptable,2021-08-21T20:40:05+0000,2021-08-21T20:40:05+0000,,nhs@nehumanesociety.org,(402) 444-7800,8929 Fort St,,Omaha,NE,68134,US,\/v2\/animals\/52739025,\/v2\/types\/dog,\/v2\/organizations\/ne73,,,,,,,,
52739022,FL279,https:\/\/www.petfinder.com\/cat\/suzee-q-52739022\/fl\/west-palm-beach\/peggy-adams-animal-rescue-league-fl279\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,,,,,,Baby,Female,Small,,,,,,,,,,SUZEE Q,"Purrs from Suze Q. If you&amp;#39;re looking for a fun, loving kitty, look no further. I&amp;#39;m your girl, playful, energetic...",A0407167,,adoptable,2021-08-21T20:40:05+0000,2021-08-21T20:40:05+0000,,adoptions@peggyadams.org,561-686-3663,3100 North Military Trail,,West Palm Beach,FL,33409,US,\/v2\/animals\/52739022,\/v2\/types\/cat,\/v2\/organizations\/fl279,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739022\/1\/?bust=1629579045&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739022\/1\/?bust=1629579045&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739022\/1\/?bust=1629579045&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739022\/1\/?bust=1629579045,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739022\/1\/?bust=1629579045&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739022\/1\/?bust=1629579045&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739022\/1\/?bust=1629579045&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739022\/1\/?bust=1629579045
52739019,FL275,https:\/\/www.petfinder.com\/dog\/hazel-52739019\/fl\/orlando\/orange-county-animal-services-fl275\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Staffordshire Bull Terrier,,,,,,,Young,Female,Medium,,,,,,,,,,HAZEL,"Thanks to Webb Engineering, my heartworm treatment is sponsored, meaning much of the cost of my heartworm disease will be...",A477749,,adoptable,2021-08-21T20:40:01+0000,2021-08-21T20:40:01+0000,,AnimalServices@ocfl.net,,2769 Conroy Road,,Orlando,FL,32839,US,\/v2\/animals\/52739019,\/v2\/types\/dog,\/v2\/organizations\/fl275,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739019\/1\/?bust=1629579041&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739019\/1\/?bust=1629579041&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739019\/1\/?bust=1629579041&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739019\/1\/?bust=1629579041,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739019\/1\/?bust=1629579041&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739019\/1\/?bust=1629579041&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739019\/1\/?bust=1629579041&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739019\/1\/?bust=1629579041
52739020,TN172,https:\/\/www.petfinder.com\/dog\/milo-52739020\/tn\/nashville\/metro-animal-care-and-control-tn172\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Mixed Breed,,,,,,,Young,Male,Large,,,,,,,,,,MILO,Milo is 1.5 year old lover with the most beautiful black and brown fuzzy coat. He does great with other...,A323280,,adoptable,2021-08-21T20:40:01+0000,2021-08-21T20:40:01+0000,,adopt.macc@nashville.gov,(615) 862-7928,5125 Harding Place,,Nashville,TN,37211,US,\/v2\/animals\/52739020,\/v2\/types\/dog,\/v2\/organizations\/tn172,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739020\/1\/?bust=1629579054&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739020\/1\/?bust=1629579054&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739020\/1\/?bust=1629579054&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739020\/1\/?bust=1629579054,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739020\/1\/?bust=1629579054&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739020\/1\/?bust=1629579054&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739020\/1\/?bust=1629579054&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739020\/1\/?bust=1629579054
52739017,TX236,https:\/\/www.petfinder.com\/dog\/duke-52739017\/tx\/dallas\/dallas-animal-services-and-adoption-center-tx236\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Bull Terrier,,,,,,,Adult,Male,Medium,,,,,,,,,,DUKE,"Hi! Im still getting to know everyone at DAS and making new friends, but Im sure excited to be looking...",A1126559,,adoptable,2021-08-21T20:40:00+0000,2021-08-21T20:40:00+0000,,dasadopt@dallascityhall.com,(214) 671-0249,1818 N. Westmoreland,,Dallas,TX,75212,US,\/v2\/animals\/52739017,\/v2\/types\/dog,\/v2\/organizations\/tx236,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739017\/1\/?bust=1629579033&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739017\/1\/?bust=1629579033&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739017\/1\/?bust=1629579033&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739017\/1\/?bust=1629579033,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739017\/1\/?bust=1629579033&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739017\/1\/?bust=1629579033&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739017\/1\/?bust=1629579033&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739017\/1\/?bust=1629579033
52739012,MD330,https:\/\/www.petfinder.com\/cat\/skyy-52739012\/md\/baltimore\/pitties-and-purrs-md330\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,,,Tabby (Leopard \/ Spotted),,,Baby,Female,Medium,Short,,,,,,,,,Skyy,Skyy is 3 months old and the only girl from her litter. She loves to play with all of her...,,,adoptable,2021-08-21T20:40:00+0000,2021-08-21T20:40:00+0000,,adoptpitties@gmail.com, ,,,Baltimore,MD,21206,US,\/v2\/animals\/52739012,\/v2\/types\/cat,\/v2\/organizations\/md330,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739012\/1\/?bust=1629578399&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739012\/1\/?bust=1629578399&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739012\/1\/?bust=1629578399&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739012\/1\/?bust=1629578399,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739012\/1\/?bust=1629578399&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739012\/1\/?bust=1629578399&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739012\/1\/?bust=1629578399&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739012\/1\/?bust=1629578399
52739016,TX236,https:\/\/www.petfinder.com\/dog\/muneza-52739016\/tx\/dallas\/dallas-animal-services-and-adoption-center-tx236\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Husky,,,,,,,Young,Female,Large,,,,,,,,,,MUNEZA,,A1128004,,adoptable,2021-08-21T20:40:00+0000,2021-08-21T20:40:00+0000,,dasadopt@dallascityhall.com,(214) 671-0249,1818 N. Westmoreland,,Dallas,TX,75212,US,\/v2\/animals\/52739016,\/v2\/types\/dog,\/v2\/organizations\/tx236,,,,,,,,
52739018,CA77,https:\/\/www.petfinder.com\/cat\/francis-52739018\/ca\/upland\/friends-of-upland-animal-shelter-ca77\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,,,,,,Young,Female,Small,,,,,,,,,,FRANCIS,,A061305,,adoptable,2021-08-21T20:40:00+0000,2021-08-21T20:40:00+0000,,bseager@friendsofuplandanimalshelter.org,(909) 931-4185,1275 San Bernardino Road,,Upland,CA,91786,US,\/v2\/animals\/52739018,\/v2\/types\/cat,\/v2\/organizations\/ca77,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739018\/1\/?bust=1629579080&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739018\/1\/?bust=1629579080&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739018\/1\/?bust=1629579080&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739018\/1\/?bust=1629579080,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739018\/1\/?bust=1629579080&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739018\/1\/?bust=1629579080&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739018\/1\/?bust=1629579080&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739018\/1\/?bust=1629579080
