id,organization_id,url,type,species,breeds/primary,breeds/secondary,breeds/mixed,breeds/unknown,colors/primary,colors/secondary,colors/tertiary,age,gender,size,coat,attributes/spayed_neutered,attributes/house_trained,attributes/declawed,attributes/special_needs,attributes/shots_current,environment/children,environment/dogs,environment/cats,name,description,organization_animal_id,photos/0/small,photos/0/medium,photos/0/large,photos/0/full,primary_photo_cropped/small,primary_photo_cropped/medium,primary_photo_cropped/large,primary_photo_cropped/full,status,status_changed_at,published_at,distance,contact/email,contact/phone,contact/address/address1,contact/address/address2,contact/address/city,contact/address/state,contact/address/postcode,contact/address/country,_links/self/href,_links/type/href,_links/organization/href,tags/0,tags/1,tags/2,tags/3,photos/1/small,photos/1/medium,photos/1/large,photos/1/full,photos/2/small,photos/2/medium,photos/2/large,photos/2/full,photos/3/small,photos/3/medium,photos/3/large,photos/3/full
52739779,KY382,https:\/\/www.petfinder.com\/cat\/luther-52739779\/ky\/louisville\/kentucky-pets-alive-ky382\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,,,,,,Adult,Male,Medium,,,,,,,,,,Luther,Gorgeous &amp;#39;panther&amp;#39; - Luther was rescued from a crowded shelter that euthanizes for space. He was found with severe trauma\/lacerations...,17145237,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739779\/1\/?bust=1629583991&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739779\/1\/?bust=1629583991&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739779\/1\/?bust=1629583991&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739779\/1\/?bust=1629583991,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739779\/1\/?bust=1629583991&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739779\/1\/?bust=1629583991&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739779\/1\/?bust=1629583991&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739779\/1\/?bust=1629583991,adoptable,2021-08-21T22:03:02+0000,2021-08-21T22:03:02+0000,,kentuckypetsalive@gmail.com,(502) 777-2968,,,Louisville,KY,40299,US,\/v2\/animals\/52739779,\/v2\/types\/cat,\/v2\/organizations\/ky382,,,,,,,,,,,,,,,,
52739784,KY382,https:\/\/www.petfinder.com\/cat\/michi-52739784\/ky\/louisville\/kentucky-pets-alive-ky382\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Tabby,,,,,,,Baby,Male,Medium,,,,,,,,,,Michi,"This awesome orange\/ginger trio of Kyo, Michi and Haku is NOW READY for adoption. You can&amp;#39;t argue that orange\/ginger boys...",17145208,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739784\/1\/?bust=1629583991&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739784\/1\/?bust=1629583991&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739784\/1\/?bust=1629583991&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739784\/1\/?bust=1629583991,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739784\/1\/?bust=1629583991&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739784\/1\/?bust=1629583991&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739784\/1\/?bust=1629583991&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739784\/1\/?bust=1629583991,adoptable,2021-08-21T22:03:02+0000,2021-08-21T22:03:02+0000,,kentuckypetsalive@gmail.com,(502) 777-2968,,,Louisville,KY,40299,US,\/v2\/animals\/52739784,\/v2\/types\/cat,\/v2\/organizations\/ky382,,,,,,,,,,,,,,,,
52739763,KY382,https:\/\/www.petfinder.com\/cat\/kyo-52739763\/ky\/louisville\/kentucky-pets-alive-ky382\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Tabby,,,,,,,Baby,Male,Medium,,,,,,,,,,Kyo,"This awesome orange\/ginger trio of Kyo, Haku and Michi is now available for adoption! Can&amp;#39;t argue that gingers are the...",17145209,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739763\/1\/?bust=1629583994&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739763\/1\/?bust=1629583994&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739763\/1\/?bust=1629583994&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739763\/1\/?bust=1629583994,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739763\/1\/?bust=1629583994&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739763\/1\/?bust=1629583994&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739763\/1\/?bust=1629583994&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739763\/1\/?bust=1629583994,adoptable,2021-08-21T22:03:02+0000,2021-08-21T22:03:02+0000,,kentuckypetsalive@gmail.com,(502) 777-2968,,,Louisville,KY,40299,US,\/v2\/animals\/52739763,\/v2\/types\/cat,\/v2\/organizations\/ky382,,,,,,,,,,,,,,,,
52739773,KY382,https:\/\/www.petfinder.com\/cat\/helios-52739773\/ky\/louisville\/kentucky-pets-alive-ky382\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Tabby,,,,,,,Young,Male,Medium,,,,,,,,,,Helios,Helios and his mother and sibling along with his cousins and aunt were all rescued from a crowded shelter that...,17145220,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739773\/1\/?bust=1629583995&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739773\/1\/?bust=1629583995&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739773\/1\/?bust=1629583995&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739773\/1\/?bust=1629583995,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739773\/1\/?bust=1629583995&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739773\/1\/?bust=1629583995&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739773\/1\/?bust=1629583995&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739773\/1\/?bust=1629583995,adoptable,2021-08-21T22:03:02+0000,2021-08-21T22:03:02+0000,,kentuckypetsalive@gmail.com,(502) 777-2968,,,Louisville,KY,40299,US,\/v2\/animals\/52739773,\/v2\/types\/cat,\/v2\/organizations\/ky382,,,,,,,,,,,,,,,,
52739770,KY382,https:\/\/www.petfinder.com\/cat\/reid-52739770\/ky\/louisville\/kentucky-pets-alive-ky382\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,,,,,,Baby,Male,Medium,,,,,,,,,,Reid,"Reid is the only boy in his litter. He and his siblings Rivers, Rawlings and Rayne were rescued from a...",17145223,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739770\/1\/?bust=1629583995&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739770\/1\/?bust=1629583995&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739770\/1\/?bust=1629583995&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739770\/1\/?bust=1629583995,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739770\/1\/?bust=1629583995&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739770\/1\/?bust=1629583995&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739770\/1\/?bust=1629583995&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739770\/1\/?bust=1629583995,adoptable,2021-08-21T22:03:02+0000,2021-08-21T22:03:02+0000,,kentuckypetsalive@gmail.com,(502) 777-2968,,,Louisville,KY,40299,US,\/v2\/animals\/52739770,\/v2\/types\/cat,\/v2\/organizations\/ky382,,,,,,,,,,,,,,,,
52739769,KY382,https:\/\/www.petfinder.com\/cat\/ellie-rae-52739769\/ky\/louisville\/kentucky-pets-alive-ky382\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,,,,,,Baby,Female,Medium,,,,,,,,,,Ellie Rae,Ellie Rae is a gorgeous panther black kitten with a personality as big as her ears!,17145226,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739769\/1\/?bust=1629583995&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739769\/1\/?bust=1629583995&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739769\/1\/?bust=1629583995&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739769\/1\/?bust=1629583995,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739769\/1\/?bust=1629583995&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739769\/1\/?bust=1629583995&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739769\/1\/?bust=1629583995&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739769\/1\/?bust=1629583995,adoptable,2021-08-21T22:03:02+0000,2021-08-21T22:03:02+0000,,kentuckypetsalive@gmail.com,(502) 777-2968,,,Louisville,KY,40299,US,\/v2\/animals\/52739769,\/v2\/types\/cat,\/v2\/organizations\/ky382,,,,,,,,,,,,,,,,
52739771,KY382,https:\/\/www.petfinder.com\/cat\/maury-52739771\/ky\/louisville\/kentucky-pets-alive-ky382\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Tabby,,,,,,,Adult,Male,Medium,,,,,,,,,,Maury,Maury is a active fun one eyed guy looking for his family - Maury was rescued from a kill shelter....,17145231,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739771\/1\/?bust=1629583996&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739771\/1\/?bust=1629583996&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739771\/1\/?bust=1629583996&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739771\/1\/?bust=1629583996,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739771\/1\/?bust=1629583996&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739771\/1\/?bust=1629583996&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739771\/1\/?bust=1629583996&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739771\/1\/?bust=1629583996,adoptable,2021-08-21T22:03:02+0000,2021-08-21T22:03:02+0000,,kentuckypetsalive@gmail.com,(502) 777-2968,,,Louisville,KY,40299,US,\/v2\/animals\/52739771,\/v2\/types\/cat,\/v2\/organizations\/ky382,,,,,,,,,,,,,,,,
52739787,KY382,https:\/\/www.petfinder.com\/cat\/juliet-52739787\/ky\/louisville\/kentucky-pets-alive-ky382\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Dilute Calico,,,,,,,Adult,Female,Medium,,,,,,,,,,Juliet,"Gorgeous momma - Juliet delivered six beautiful kittens in a crowded shelter that euthanizes for space. Thanks to a foster,...",17145240,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739787\/1\/?bust=1629583996&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739787\/1\/?bust=1629583996&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739787\/1\/?bust=1629583996&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739787\/1\/?bust=1629583996,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739787\/1\/?bust=1629583996&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739787\/1\/?bust=1629583996&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739787\/1\/?bust=1629583996&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739787\/1\/?bust=1629583996,adoptable,2021-08-21T22:03:02+0000,2021-08-21T22:03:02+0000,,kentuckypetsalive@gmail.com,(502) 777-2968,,,Louisville,KY,40299,US,\/v2\/animals\/52739787,\/v2\/types\/cat,\/v2\/organizations\/ky382,,,,,,,,,,,,,,,,
52739793,KY382,https:\/\/www.petfinder.com\/cat\/gloria-52739793\/ky\/louisville\/kentucky-pets-alive-ky382\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,,,,,,Baby,Female,Medium,,,,,,,,,,Gloria,"Gloria and her siblings Ginny, Gavin and Graham were rescued from a crowded shelter that euthanizes for space. This litter...",17145221,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739793\/1\/?bust=1629583996&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739793\/1\/?bust=1629583996&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739793\/1\/?bust=1629583996&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739793\/1\/?bust=1629583996,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739793\/1\/?bust=1629583996&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739793\/1\/?bust=1629583996&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739793\/1\/?bust=1629583996&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739793\/1\/?bust=1629583996,adoptable,2021-08-21T22:03:02+0000,2021-08-21T22:03:02+0000,,kentuckypetsalive@gmail.com,(502) 777-2968,,,Louisville,KY,40299,US,\/v2\/animals\/52739793,\/v2\/types\/cat,\/v2\/organizations\/ky382,,,,,,,,,,,,,,,,
52739786,KY382,https:\/\/www.petfinder.com\/cat\/rosie-52739786\/ky\/louisville\/kentucky-pets-alive-ky382\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Dilute Tortoiseshell,,,,,,,Adult,Female,Medium,,,,,,,,,,Rosie,Beautiful girl who came to kill shelter with laceration under front leg. - Rosie and her &amp;#39;kittens&amp;#39; Rhonda &amp;amp; Renee...,17145238,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739786\/1\/?bust=1629583996&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739786\/1\/?bust=1629583996&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739786\/1\/?bust=1629583996&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739786\/1\/?bust=1629583996,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739786\/1\/?bust=1629583996&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739786\/1\/?bust=1629583996&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739786\/1\/?bust=1629583996&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739786\/1\/?bust=1629583996,adoptable,2021-08-21T22:03:02+0000,2021-08-21T22:03:02+0000,,kentuckypetsalive@gmail.com,(502) 777-2968,,,Louisville,KY,40299,US,\/v2\/animals\/52739786,\/v2\/types\/cat,\/v2\/organizations\/ky382,,,,,,,,,,,,,,,,
52739781,KY382,https:\/\/www.petfinder.com\/cat\/zoe-52739781\/ky\/louisville\/kentucky-pets-alive-ky382\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Dilute Tortoiseshell,,,,,,,Adult,Female,Medium,,,,,,,,,,Zoe,Gorgeous sweet momma of SIX kittens - Zoe and her family were rescued from a crowded shelter that euthanizes for...,17145233,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739781\/1\/?bust=1629583996&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739781\/1\/?bust=1629583996&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739781\/1\/?bust=1629583996&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739781\/1\/?bust=1629583996,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739781\/1\/?bust=1629583996&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739781\/1\/?bust=1629583996&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739781\/1\/?bust=1629583996&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739781\/1\/?bust=1629583996,adoptable,2021-08-21T22:03:02+0000,2021-08-21T22:03:02+0000,,kentuckypetsalive@gmail.com,(502) 777-2968,,,Louisville,KY,40299,US,\/v2\/animals\/52739781,\/v2\/types\/cat,\/v2\/organizations\/ky382,,,,,,,,,,,,,,,,
52739760,MO683,https:\/\/www.petfinder.com\/cat\/susie-52739760\/mo\/lebanon\/pound-pullers-of-lebanon-mo-inc-mo683\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Calico,Tabby,,,Black,Cream \/ Ivory,Orange \/ Red,Baby,Female,Medium,Short,,,,,,,,,Susie,Sweet and playful black and creamed striped with orange spots calico female  spayed shots tests negative for Fiv\/Leukemia and microchipped...,,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739760\/1\/?bust=1629583368&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739760\/1\/?bust=1629583368&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739760\/1\/?bust=1629583368&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739760\/1\/?bust=1629583368,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739760\/1\/?bust=1629583368&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739760\/1\/?bust=1629583368&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739760\/1\/?bust=1629583368&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739760\/1\/?bust=1629583368,adoptable,2021-08-21T22:02:49+0000,2021-08-21T22:02:49+0000,,Adoptioncoordinator.PPLMO@gmail.com,(417) 288-2310,,,Lebanon,MO,65536,US,\/v2\/animals\/52739760,\/v2\/types\/cat,\/v2\/organizations\/mo683,Friendly,Affectionate,Playful,Athletic,,,,,,,,,,,,
