id,organization_id,url,type,species,breeds/primary,breeds/secondary,breeds/mixed,breeds/unknown,colors/primary,colors/secondary,colors/tertiary,age,gender,size,coat,attributes/spayed_neutered,attributes/house_trained,attributes/declawed,attributes/special_needs,attributes/shots_current,environment/children,environment/dogs,environment/cats,tags/0,tags/1,tags/2,tags/3,tags/4,name,description,organization_animal_id,primary_photo_cropped,status,status_changed_at,published_at,distance,contact/email,contact/phone,contact/address/address1,contact/address/address2,contact/address/city,contact/address/state,contact/address/postcode,contact/address/country,_links/self/href,_links/type/href,_links/organization/href,photos/0/small,photos/0/medium,photos/0/large,photos/0/full,photos/1/small,photos/1/medium,photos/1/large,photos/1/full,photos/2/small,photos/2/medium,photos/2/large,photos/2/full,photos/3/small,photos/3/medium,photos/3/large,photos/3/full,primary_photo_cropped/small,primary_photo_cropped/medium,primary_photo_cropped/large,primary_photo_cropped/full,videos/0/embed
52739383,CA2522,https:\/\/www.petfinder.com\/dog\/mylo-scdrranchopaws-52739383\/ca\/wildomar\/all-paws-k9-rescue-ca2522\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Husky,,,,Sable,,,Adult,Male,Medium,Long,,,,,,,,,Friendly,Affectionate,Gentle,Loves kisses,Smart,Mylo SCDRRANCHOPAWS ,Mylo is housebroken great on the leash does need yard needs to be crated when left at home,,,adoptable,2021-08-21T21:19:53+0000,2021-08-21T21:19:53+0000,,allpawsk9rescue@gmail.com,,,,Wildomar,CA,92595,US,\/v2\/animals\/52739383,\/v2\/types\/dog,\/v2\/organizations\/ca2522,,,,,,,,,,,,,,,,,,,,,
52739384,CA1726,https:\/\/www.petfinder.com\/dog\/dulce-52739384\/ca\/san-francisco\/family-dog-rescue-ca1726\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Beagle,Terrier,,,,,,Young,Female,Medium,,,,,,,,,,,,,,,Dulce,You can fill out an adoption application online on our official website.Meet Dulce! This awesome and goofy girl is so...,17015759,,adoptable,2021-08-21T21:19:52+0000,2021-08-21T21:19:52+0000,,adopt@ilovefamilydog.org,,,,San Francisco,CA,94103,US,\/v2\/animals\/52739384,\/v2\/types\/dog,\/v2\/organizations\/ca1726,,,,,,,,,,,,,,,,,,,,,
52739381,TN353,https:\/\/www.petfinder.com\/dog\/rock-52739381\/tn\/pegram\/cheatham-county-animal-control-shelter-tn353\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Shepherd,,,,Golden,White \/ Cream,,Adult,Male,Large,Long,,,,,,,,,,,,,,ROCK,,,,adoptable,2021-08-21T21:19:39+0000,2021-08-21T21:19:39+0000,,animalcontrol@cheathamcountytn.gov,(615) 792-3647,2797 Sam's Creek Road,,Pegram,TN,37143,US,\/v2\/animals\/52739381,\/v2\/types\/dog,\/v2\/organizations\/tn353,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739381\/1\/?bust=1629580776&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739381\/1\/?bust=1629580776&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739381\/1\/?bust=1629580776&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739381\/1\/?bust=1629580776,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739381\/2\/?bust=1629580777&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739381\/2\/?bust=1629580777&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739381\/2\/?bust=1629580777&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739381\/2\/?bust=1629580777,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739381\/3\/?bust=1629580777&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739381\/3\/?bust=1629580777&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739381\/3\/?bust=1629580777&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739381\/3\/?bust=1629580777,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739381\/4\/?bust=1629580778&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739381\/4\/?bust=1629580778&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739381\/4\/?bust=1629580778&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739381\/4\/?bust=1629580778,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739381\/1\/?bust=1629580776&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739381\/1\/?bust=1629580776&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739381\/1\/?bust=1629580776&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739381\/1\/?bust=1629580776,
52739380,NY712,https:\/\/www.petfinder.com\/dog\/mo-bailey-52739380\/ny\/baldwinsville\/national-brittany-rescue-and-adoption-network-ny712\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Brittany Spaniel,,,,,,,Baby,Female,Medium,,,,,,,,,,,,,,,MO\/Bailey,"MO\/Bailey looking for her perfect loving home.

13 wk old\/Liver\/White On HW and FT Prevention. Doing excellent on house training....",17095109-21-0153,,adoptable,2021-08-21T21:19:32+0000,2021-08-21T21:19:32+0000,,JBBSTUDIO@comcast.net,,,,Baldwinsville,NY,13027,US,\/v2\/animals\/52739380,\/v2\/types\/dog,\/v2\/organizations\/ny712,,,,,,,,,,,,,,,,,,,,,
52739379,AZ180,https:\/\/www.petfinder.com\/dog\/benja-52739379\/az\/casa-grande\/valley-humane-society-inc-az180\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Retriever,Husky,,,Brown \/ Chocolate,Black,,Baby,Male,Medium,Medium,,,,,,,,,,,,,,Benja,Benja is one of five puppies in this cuddly and adorable litter of Retriever\/Husky blends.  They are three months old...,,,adoptable,2021-08-21T21:19:30+0000,2021-08-21T21:19:30+0000,,vhsmail@valleyhumane.net,(520) 836-0904,15699 W. Aniceto Rd.,PO Box 10480,Casa Grande,AZ,85230,US,\/v2\/animals\/52739379,\/v2\/types\/dog,\/v2\/organizations\/az180,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739379\/1\/?bust=1629580769&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739379\/1\/?bust=1629580769&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739379\/1\/?bust=1629580769&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739379\/1\/?bust=1629580769,,,,,,,,,,,,,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739379\/1\/?bust=1629580769&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739379\/1\/?bust=1629580769&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739379\/1\/?bust=1629580769&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739379\/1\/?bust=1629580769,
52739377,CA2726,https:\/\/www.petfinder.com\/cat\/jerri-52739377\/ca\/escondido\/howe-2-care-4-critters-ca2726\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,,,Orange \/ Red,,,Baby,Male,Medium,Short,,,,,,,,,Friendly,Loves kisses,Affectionate,Playful,,Jerri,Jerri loves to play and loves to give kisses.,483,,adoptable,2021-08-21T21:18:54+0000,2021-08-21T21:18:54+0000,,howe2care4critters@gmail.com,,,,Escondido,CA,92027,US,\/v2\/animals\/52739377,\/v2\/types\/cat,\/v2\/organizations\/ca2726,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739377\/1\/?bust=1629580724&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739377\/1\/?bust=1629580724&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739377\/1\/?bust=1629580724&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739377\/1\/?bust=1629580724,,,,,,,,,,,,,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739377\/1\/?bust=1629580724&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739377\/1\/?bust=1629580724&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739377\/1\/?bust=1629580724&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739377\/1\/?bust=1629580724,
52739369,MD411,https:\/\/www.petfinder.com\/dog\/reiley-52739369\/md\/huntingtown\/puppy-paws-rescue-md411\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Labrador Retriever,Terrier,,,Black,,,Baby,Female,Medium,Short,,,,,,,,,Friendly,Affectionate,Gentle,Playful,Loves kisses,Reiley,3 months old petite Riley was found wandering the road and taken to Animal Control. A good soul kept took...,,,adoptable,2021-08-21T21:18:30+0000,2021-08-21T21:18:30+0000,,pawspuppy2013@gmail.com,(202) 630-5874,,,Huntingtown,MD,20639,US,\/v2\/animals\/52739369,\/v2\/types\/dog,\/v2\/organizations\/md411,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739369\/1\/?bust=1629580650&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739369\/1\/?bust=1629580650&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739369\/1\/?bust=1629580650&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739369\/1\/?bust=1629580650,,,,,,,,,,,,,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739369\/1\/?bust=1629580650&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739369\/1\/?bust=1629580650&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739369\/1\/?bust=1629580650&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739369\/1\/?bust=1629580650,
52739376,CA1066,https:\/\/www.petfinder.com\/dog\/felicia-52739376\/ca\/orange\/fochp-ca1066\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Papillon,Yorkshire Terrier,,,,,,Young,Female,Medium,,,,,,,,,,,,,,,Felicia,Please contact Kel (kel@kelbehr.com) for more information about this pet.Please visit our website for a complete up to date list...,17145170-FOCHP,,adoptable,2021-08-21T21:18:03+0000,2021-08-21T21:18:03+0000,,fochp@yahoo.com,(714) 280-4993,,,Orange,CA,92865,US,\/v2\/animals\/52739376,\/v2\/types\/dog,\/v2\/organizations\/ca1066,,,,,,,,,,,,,,,,,,,,,
52739372,VA96,https:\/\/www.petfinder.com\/dog\/sprite-52739372\/va\/charlottesville\/charlottesville-albemarle-spca-va96\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Black Labrador Retriever,,,,,,,Adult,Male,Medium,,,,,,,,,,,,,,,Sprite,Primary Color: Black Weight: 64.4lbs Age: 6yrs 1mths 1wks Animal has been Neutered,109570,,adoptable,2021-08-21T21:17:44+0000,2021-08-21T21:17:44+0000,,info@caspca.org,(434) 973-5959,3355 Berkmar Dr.,,Charlottesville,VA,22901,US,\/v2\/animals\/52739372,\/v2\/types\/dog,\/v2\/organizations\/va96,,,,,,,,,,,,,,,,,,,,,
52739371,VA96,https:\/\/www.petfinder.com\/cat\/kidd-52739371\/va\/charlottesville\/charlottesville-albemarle-spca-va96\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,,,,,,Young,Female,Small,,,,,,,,,,,,,,,Kidd,Primary Color: Brown Tabby Weight: 4lbs Age: 0yrs 7mths 0wks Animal has been Spayed,137066,,adoptable,2021-08-21T21:17:43+0000,2021-08-21T21:17:43+0000,,info@caspca.org,(434) 973-5959,3355 Berkmar Dr.,,Charlottesville,VA,22901,US,\/v2\/animals\/52739371,\/v2\/types\/cat,\/v2\/organizations\/va96,,,,,,,,,,,,,,,,,,,,,
