id,organization_id,url,type,species,breeds/primary,breeds/secondary,breeds/mixed,breeds/unknown,colors/primary,colors/secondary,colors/tertiary,age,gender,size,coat,attributes/spayed_neutered,attributes/house_trained,attributes/declawed,attributes/special_needs,attributes/shots_current,environment/children,environment/dogs,environment/cats,name,description,organization_animal_id,photos/0/small,photos/0/medium,photos/0/large,photos/0/full,primary_photo_cropped/small,primary_photo_cropped/medium,primary_photo_cropped/large,primary_photo_cropped/full,status,status_changed_at,published_at,distance,contact/email,contact/phone,contact/address/address1,contact/address/address2,contact/address/city,contact/address/state,contact/address/postcode,contact/address/country,_links/self/href,_links/type/href,_links/organization/href,photos/1/small,photos/1/medium,photos/1/large,photos/1/full,photos/2/small,photos/2/medium,photos/2/large,photos/2/full,photos/3/small,photos/3/medium,photos/3/large,photos/3/full,tags/0,tags/1,tags/2,tags/3,tags/4,tags/5,tags/6,primary_photo_cropped
52738965,NV26,https:\/\/www.petfinder.com\/cat\/spike-52738965\/nv\/las-vegas\/the-animal-foundation-nv26\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,,,,,,Baby,Male,Small,,,,,,,,,,SPIKE,,A1191721,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738965\/1\/?bust=1629578976&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738965\/1\/?bust=1629578976&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738965\/1\/?bust=1629578976&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738965\/1\/?bust=1629578976,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738965\/1\/?bust=1629578976&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738965\/1\/?bust=1629578976&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738965\/1\/?bust=1629578976&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738965\/1\/?bust=1629578976,adoptable,2021-08-21T20:39:28+0000,2021-08-21T20:39:28+0000,,adoptions@animalfoundation.com,702-384-3333  ext.131 ,655 N. Mojave,,Las Vegas,NV,89101,US,\/v2\/animals\/52738965,\/v2\/types\/cat,\/v2\/organizations\/nv26,,,,,,,,,,,,,,,,,,,,
52738966,NV26,https:\/\/www.petfinder.com\/cat\/seal-52738966\/nv\/las-vegas\/the-animal-foundation-nv26\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,,,,,,Baby,Male,Small,,,,,,,,,,SEAL,,A1191718,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738966\/1\/?bust=1629578976&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738966\/1\/?bust=1629578976&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738966\/1\/?bust=1629578976&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738966\/1\/?bust=1629578976,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738966\/1\/?bust=1629578976&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738966\/1\/?bust=1629578976&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738966\/1\/?bust=1629578976&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738966\/1\/?bust=1629578976,adoptable,2021-08-21T20:39:28+0000,2021-08-21T20:39:28+0000,,adoptions@animalfoundation.com,702-384-3333  ext.131 ,655 N. Mojave,,Las Vegas,NV,89101,US,\/v2\/animals\/52738966,\/v2\/types\/cat,\/v2\/organizations\/nv26,,,,,,,,,,,,,,,,,,,,
52738964,NV26,https:\/\/www.petfinder.com\/cat\/simpson-52738964\/nv\/las-vegas\/the-animal-foundation-nv26\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,,,,,,Baby,Male,Small,,,,,,,,,,SIMPSON,,A1191720,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738964\/1\/?bust=1629578978&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738964\/1\/?bust=1629578978&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738964\/1\/?bust=1629578978&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738964\/1\/?bust=1629578978,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738964\/1\/?bust=1629578978&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738964\/1\/?bust=1629578978&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738964\/1\/?bust=1629578978&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738964\/1\/?bust=1629578978,adoptable,2021-08-21T20:39:28+0000,2021-08-21T20:39:28+0000,,adoptions@animalfoundation.com,702-384-3333  ext.131 ,655 N. Mojave,,Las Vegas,NV,89101,US,\/v2\/animals\/52738964,\/v2\/types\/cat,\/v2\/organizations\/nv26,,,,,,,,,,,,,,,,,,,,
52738962,TX424,https:\/\/www.petfinder.com\/dog\/ace-52738962\/tx\/houston\/harris-county-pets-tx424\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,American Staffordshire Terrier,Mixed Breed,,,,,,Young,Male,Small,,,,,,,,,,ACE,,A568669,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738962\/1\/?bust=1629578995&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738962\/1\/?bust=1629578995&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738962\/1\/?bust=1629578995&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738962\/1\/?bust=1629578995,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738962\/1\/?bust=1629578995&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738962\/1\/?bust=1629578995&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738962\/1\/?bust=1629578995&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738962\/1\/?bust=1629578995,adoptable,2021-08-21T20:39:28+0000,2021-08-21T20:39:28+0000,,webmaster@countypets.com,(281) 999-3191,612 Canino Rd,,Houston,TX,77076,US,\/v2\/animals\/52738962,\/v2\/types\/dog,\/v2\/organizations\/tx424,,,,,,,,,,,,,,,,,,,,
52738959,TX1249,https:\/\/www.petfinder.com\/dog\/tilly-52738959\/tx\/killeen\/killeen-animal-services-tx1249\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Labrador Retriever,Mixed Breed,,,,,,Adult,Female,Medium,,,,,,,,,,TILLY,,A101814,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738959\/1\/?bust=1629578976&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738959\/1\/?bust=1629578976&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738959\/1\/?bust=1629578976&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738959\/1\/?bust=1629578976,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738959\/1\/?bust=1629578976&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738959\/1\/?bust=1629578976&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738959\/1\/?bust=1629578976&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738959\/1\/?bust=1629578976,adoptable,2021-08-21T20:39:27+0000,2021-08-21T20:39:27+0000,,animal@killeentexas.gov,254-526-4455     ,3118 Commerce,,Killeen,TX,76543,US,\/v2\/animals\/52738959,\/v2\/types\/dog,\/v2\/organizations\/tx1249,,,,,,,,,,,,,,,,,,,,
52738958,TX1249,https:\/\/www.petfinder.com\/dog\/pearl-52738958\/tx\/killeen\/killeen-animal-services-tx1249\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,German Shepherd Dog,Husky,,,,,,Adult,Female,Medium,,,,,,,,,,PEARL,,A101740,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738958\/1\/?bust=1629578971&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738958\/1\/?bust=1629578971&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738958\/1\/?bust=1629578971&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738958\/1\/?bust=1629578971,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738958\/1\/?bust=1629578971&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738958\/1\/?bust=1629578971&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738958\/1\/?bust=1629578971&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738958\/1\/?bust=1629578971,adoptable,2021-08-21T20:39:27+0000,2021-08-21T20:39:27+0000,,animal@killeentexas.gov,254-526-4455     ,3118 Commerce,,Killeen,TX,76543,US,\/v2\/animals\/52738958,\/v2\/types\/dog,\/v2\/organizations\/tx1249,,,,,,,,,,,,,,,,,,,,
52738961,NM13,https:\/\/www.petfinder.com\/dog\/tuna-52738961\/nm\/albuquerque\/albuquerque-animal-welfare-eastside-nm13\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Australian Cattle Dog \/ Blue Heeler,,,,,,,Young,Female,Small,,,,,,,,,,TUNA,,A1836070,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738961\/1\/?bust=1629578978&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738961\/1\/?bust=1629578978&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738961\/1\/?bust=1629578978&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738961\/1\/?bust=1629578978,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738961\/1\/?bust=1629578978&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738961\/1\/?bust=1629578978&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738961\/1\/?bust=1629578978&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738961\/1\/?bust=1629578978,adoptable,2021-08-21T20:39:27+0000,2021-08-21T20:39:27+0000,,,505-768-1975 ,8920 Lomas Blvd.  NE,,Albuquerque,NM,87112,US,\/v2\/animals\/52738961,\/v2\/types\/dog,\/v2\/organizations\/nm13,,,,,,,,,,,,,,,,,,,,
52738957,TX152,https:\/\/www.petfinder.com\/cat\/a147072-52738957\/tx\/pearland\/city-of-pearland-animal-control-tx152\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,,,,,,Young,Male,Medium,,,,,,,,,,A147072,,A147072,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738957\/1\/?bust=1629578969&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738957\/1\/?bust=1629578969&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738957\/1\/?bust=1629578969&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738957\/1\/?bust=1629578969,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738957\/1\/?bust=1629578969&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738957\/1\/?bust=1629578969&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738957\/1\/?bust=1629578969&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738957\/1\/?bust=1629578969,adoptable,2021-08-21T20:39:26+0000,2021-08-21T20:39:26+0000,,pearlandpets@ci.pearland.tx.us,281-652-1970,2002 Old Alvin Rd.,Pearland Texas 77581,Pearland,TX,77581,US,\/v2\/animals\/52738957,\/v2\/types\/cat,\/v2\/organizations\/tx152,,,,,,,,,,,,,,,,,,,,
52738956,TX152,https:\/\/www.petfinder.com\/cat\/tulip-52738956\/tx\/pearland\/city-of-pearland-animal-control-tx152\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,,,,,,Baby,Female,Small,,,,,,,,,,TULIP,,A147085,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738956\/1\/?bust=1629578970&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738956\/1\/?bust=1629578970&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738956\/1\/?bust=1629578970&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738956\/1\/?bust=1629578970,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738956\/1\/?bust=1629578970&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738956\/1\/?bust=1629578970&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738956\/1\/?bust=1629578970&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738956\/1\/?bust=1629578970,adoptable,2021-08-21T20:39:26+0000,2021-08-21T20:39:26+0000,,pearlandpets@ci.pearland.tx.us,281-652-1970,2002 Old Alvin Rd.,Pearland Texas 77581,Pearland,TX,77581,US,\/v2\/animals\/52738956,\/v2\/types\/cat,\/v2\/organizations\/tx152,,,,,,,,,,,,,,,,,,,,
52738955,MO179,https:\/\/www.petfinder.com\/dog\/misty-52738955\/mo\/saint-louis\/humane-society-of-missouri-mo179\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Yorkshire Terrier,Mixed Breed,,,,,,Adult,Female,Small,,,,,,,,,,MISTY,,A703193,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738955\/1\/?bust=1629578968&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738955\/1\/?bust=1629578968&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738955\/1\/?bust=1629578968&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738955\/1\/?bust=1629578968,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738955\/1\/?bust=1629578968&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738955\/1\/?bust=1629578968&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738955\/1\/?bust=1629578968&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738955\/1\/?bust=1629578968,adoptable,2021-08-21T20:39:25+0000,2021-08-21T20:39:25+0000,,hcityadoptioncenter@hsmo.org,(314) 951-1562,1201 Macklind Ave.,,Saint Louis,MO,63110,US,\/v2\/animals\/52738955,\/v2\/types\/dog,\/v2\/organizations\/mo179,,,,,,,,,,,,,,,,,,,,
