id,organization_id,url,type,species,breeds/primary,breeds/secondary,breeds/mixed,breeds/unknown,colors/primary,colors/secondary,colors/tertiary,age,gender,size,coat,attributes/spayed_neutered,attributes/house_trained,attributes/declawed,attributes/special_needs,attributes/shots_current,environment/children,environment/dogs,environment/cats,name,description,organization_animal_id,photos/0/small,photos/0/medium,photos/0/large,photos/0/full,primary_photo_cropped/small,primary_photo_cropped/medium,primary_photo_cropped/large,primary_photo_cropped/full,status,status_changed_at,published_at,distance,contact/email,contact/phone,contact/address/address1,contact/address/address2,contact/address/city,contact/address/state,contact/address/postcode,contact/address/country,_links/self/href,_links/type/href,_links/organization/href,photos/1/small,photos/1/medium,photos/1/large,photos/1/full,photos/2/small,photos/2/medium,photos/2/large,photos/2/full,primary_photo_cropped,tags/0,tags/1,tags/2,tags/3,tags/4,tags/5,tags/6,photos/3/small,photos/3/medium,photos/3/large,photos/3/full,photos/4/small,photos/4/medium,photos/4/large,photos/4/full,photos/5/small,photos/5/medium,photos/5/large,photos/5/full
52742531,CA2413,https:\/\/www.petfinder.com\/dog\/crowley-52742531\/ca\/chico\/wags-and-whiskers-pet-rescue-ca2413\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Chihuahua,,,,,,,Young,Male,Medium,,,,,,,,,,CROWLEY,,17080711,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742531\/1\/?bust=1629629487&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742531\/1\/?bust=1629629487&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742531\/1\/?bust=1629629487&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742531\/1\/?bust=1629629487,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742531\/1\/?bust=1629629487&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742531\/1\/?bust=1629629487&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742531\/1\/?bust=1629629487&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742531\/1\/?bust=1629629487,adoptable,2021-08-22T10:41:11+0000,2021-08-22T10:41:11+0000,,info@wwprca.com,(530) 895-8888,2156 Pillsbury Road,#155,Chico,CA,95973,US,\/v2\/animals\/52742531,\/v2\/types\/dog,\/v2\/organizations\/ca2413,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52742530,CA2413,https:\/\/www.petfinder.com\/dog\/hendry-52742530\/ca\/chico\/wags-and-whiskers-pet-rescue-ca2413\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Cattle Dog,,,,,,,Adult,Female,Medium,,,,,,,,,,HENDRY,,17109595,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742530\/1\/?bust=1629629481&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742530\/1\/?bust=1629629481&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742530\/1\/?bust=1629629481&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742530\/1\/?bust=1629629481,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742530\/1\/?bust=1629629481&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742530\/1\/?bust=1629629481&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742530\/1\/?bust=1629629481&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742530\/1\/?bust=1629629481,adoptable,2021-08-22T10:41:11+0000,2021-08-22T10:41:11+0000,,info@wwprca.com,(530) 895-8888,2156 Pillsbury Road,#155,Chico,CA,95973,US,\/v2\/animals\/52742530,\/v2\/types\/dog,\/v2\/organizations\/ca2413,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742530\/2\/?bust=1629629487&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742530\/2\/?bust=1629629487&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742530\/2\/?bust=1629629487&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742530\/2\/?bust=1629629487,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742530\/3\/?bust=1629629487&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742530\/3\/?bust=1629629487&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742530\/3\/?bust=1629629487&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742530\/3\/?bust=1629629487,,,,,,,,,,,,,,,,,,,,
52742527,CA767,https:\/\/www.petfinder.com\/small-furry\/hamster-2-52742527\/ca\/van-nuys\/city-of-los-angeles-east-valley-animal-shelter-ca767\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Small & Furry,Hamster,Hamster,,,,,,,Adult,Male,Large,,,,,,,,,,HAMSTER 2,,A1995069,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742527\/1\/?bust=1629629486&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742527\/1\/?bust=1629629486&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742527\/1\/?bust=1629629486&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742527\/1\/?bust=1629629486,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742527\/1\/?bust=1629629486&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742527\/1\/?bust=1629629486&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742527\/1\/?bust=1629629486&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742527\/1\/?bust=1629629486,adoptable,2021-08-22T10:41:07+0000,2021-08-22T10:41:07+0000,,,(888) 452-7381,14409 Vanowen St,,Van Nuys,CA,91405,US,\/v2\/animals\/52742527,\/v2\/types\/small-furry,\/v2\/organizations\/ca767,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52742525,CA767,https:\/\/www.petfinder.com\/cat\/glossy-52742525\/ca\/van-nuys\/city-of-los-angeles-east-valley-animal-shelter-ca767\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Long Hair,,,,,,,Baby,Female,Small,,,,,,,,,,GLOSSY,,A1993718,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742525\/1\/?bust=1629629483&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742525\/1\/?bust=1629629483&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742525\/1\/?bust=1629629483&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742525\/1\/?bust=1629629483,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742525\/1\/?bust=1629629483&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742525\/1\/?bust=1629629483&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742525\/1\/?bust=1629629483&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742525\/1\/?bust=1629629483,adoptable,2021-08-22T10:41:07+0000,2021-08-22T10:41:07+0000,,,(888) 452-7381,14409 Vanowen St,,Van Nuys,CA,91405,US,\/v2\/animals\/52742525,\/v2\/types\/cat,\/v2\/organizations\/ca767,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52742526,CA767,https:\/\/www.petfinder.com\/small-furry\/hamster-3-52742526\/ca\/van-nuys\/city-of-los-angeles-east-valley-animal-shelter-ca767\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Small & Furry,Hamster,Hamster,,,,,,,Adult,Male,Large,,,,,,,,,,HAMSTER 3,,A1995070,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742526\/1\/?bust=1629629484&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742526\/1\/?bust=1629629484&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742526\/1\/?bust=1629629484&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742526\/1\/?bust=1629629484,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742526\/1\/?bust=1629629484&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742526\/1\/?bust=1629629484&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742526\/1\/?bust=1629629484&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742526\/1\/?bust=1629629484,adoptable,2021-08-22T10:41:07+0000,2021-08-22T10:41:07+0000,,,(888) 452-7381,14409 Vanowen St,,Van Nuys,CA,91405,US,\/v2\/animals\/52742526,\/v2\/types\/small-furry,\/v2\/organizations\/ca767,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52742529,CA767,https:\/\/www.petfinder.com\/dog\/helena-52742529\/ca\/van-nuys\/city-of-los-angeles-east-valley-animal-shelter-ca767\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Mixed Breed,,,,,,,Young,Female,Large,,,,,,,,,,HELENA,,A1995164,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742529\/1\/?bust=1629629478&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742529\/1\/?bust=1629629478&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742529\/1\/?bust=1629629478&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742529\/1\/?bust=1629629478,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742529\/1\/?bust=1629629478&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742529\/1\/?bust=1629629478&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742529\/1\/?bust=1629629478&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742529\/1\/?bust=1629629478,adoptable,2021-08-22T10:41:07+0000,2021-08-22T10:41:07+0000,,,(888) 452-7381,14409 Vanowen St,,Van Nuys,CA,91405,US,\/v2\/animals\/52742529,\/v2\/types\/dog,\/v2\/organizations\/ca767,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52742528,CA767,https:\/\/www.petfinder.com\/small-furry\/hamster-1-52742528\/ca\/van-nuys\/city-of-los-angeles-east-valley-animal-shelter-ca767\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Small & Furry,Hamster,Hamster,,,,,,,Adult,Male,Large,,,,,,,,,,HAMSTER 1,,A1995068,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742528\/1\/?bust=1629629479&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742528\/1\/?bust=1629629479&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742528\/1\/?bust=1629629479&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742528\/1\/?bust=1629629479,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742528\/1\/?bust=1629629479&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742528\/1\/?bust=1629629479&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742528\/1\/?bust=1629629479&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742528\/1\/?bust=1629629479,adoptable,2021-08-22T10:41:07+0000,2021-08-22T10:41:07+0000,,,(888) 452-7381,14409 Vanowen St,,Van Nuys,CA,91405,US,\/v2\/animals\/52742528,\/v2\/types\/small-furry,\/v2\/organizations\/ca767,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52742524,CA767,https:\/\/www.petfinder.com\/dog\/riff-raff-52742524\/ca\/van-nuys\/city-of-los-angeles-east-valley-animal-shelter-ca767\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Mixed Breed,,,,,,,Baby,Male,Medium,,,,,,,,,,RIFF RAFF,,A1995148,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742524\/1\/?bust=1629629479&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742524\/1\/?bust=1629629479&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742524\/1\/?bust=1629629479&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742524\/1\/?bust=1629629479,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742524\/1\/?bust=1629629479&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742524\/1\/?bust=1629629479&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742524\/1\/?bust=1629629479&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742524\/1\/?bust=1629629479,adoptable,2021-08-22T10:41:06+0000,2021-08-22T10:41:06+0000,,,(888) 452-7381,14409 Vanowen St,,Van Nuys,CA,91405,US,\/v2\/animals\/52742524,\/v2\/types\/dog,\/v2\/organizations\/ca767,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52742523,NC1033,https:\/\/www.petfinder.com\/cat\/rollo-52742523\/nc\/candler\/mountain-pet-rescue-asheville-nc1033\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,,,Black,,,Baby,Female,Medium,,,,,,,,,,Rollo,"Rolla is ready to go home. She is really shy so she will take some patience, lots of cuddle time...",17146436-21-0958,,,,,,,,,adoptable,2021-08-22T10:40:12+0000,2021-08-22T10:40:12+0000,,pets@mountainpetrescueavl.org,,,,Candler,NC,28715,US,\/v2\/animals\/52742523,\/v2\/types\/cat,\/v2\/organizations\/nc1033,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52742522,NC1094,https:\/\/www.petfinder.com\/cat\/jo-52742522\/nc\/rutherfordton\/heart-of-the-foothills-animal-rescue-nc1094\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,,,,,,Baby,Female,Small,,,,,,,,,,Jo,,17146445,,,,,,,,,adoptable,2021-08-22T10:40:08+0000,2021-08-22T10:40:08+0000,,adopt@heartofthefoothills.org,(828) 287-7338,380 US Highway 221 North,,Rutherfordton,NC,28139,US,\/v2\/animals\/52742522,\/v2\/types\/cat,\/v2\/organizations\/nc1094,,,,,,,,,,,,,,,,,,,,,,,,,,,,
