id,organization_id,url,type,species,breeds/primary,breeds/secondary,breeds/mixed,breeds/unknown,colors/primary,colors/secondary,colors/tertiary,age,gender,size,coat,attributes/spayed_neutered,attributes/house_trained,attributes/declawed,attributes/special_needs,attributes/shots_current,environment/children,environment/dogs,environment/cats,name,description,organization_animal_id,photos/0/small,photos/0/medium,photos/0/large,photos/0/full,primary_photo_cropped/small,primary_photo_cropped/medium,primary_photo_cropped/large,primary_photo_cropped/full,status,status_changed_at,published_at,distance,contact/email,contact/phone,contact/address/address1,contact/address/address2,contact/address/city,contact/address/state,contact/address/postcode,contact/address/country,_links/self/href,_links/type/href,_links/organization/href,photos/1/small,photos/1/medium,photos/1/large,photos/1/full,photos/2/small,photos/2/medium,photos/2/large,photos/2/full
52742498,IN220,https:\/\/www.petfinder.com\/cat\/miguy-52742498\/in\/bloomington\/bloomington-animal-shelter-in220\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,,,,,,Baby,Female,Large,,,,,,,,,,MiGuy,,C2107863,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742498\/1\/?bust=1629628582&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742498\/1\/?bust=1629628582&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742498\/1\/?bust=1629628582&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742498\/1\/?bust=1629628582,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742498\/1\/?bust=1629628582&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742498\/1\/?bust=1629628582&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742498\/1\/?bust=1629628582&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742498\/1\/?bust=1629628582,adoptable,2021-08-22T10:27:10+0000,2021-08-22T10:27:10+0000,,animal@bloomington.in.gov,(812) 349-3492,3410 S. Walnut Street,,Bloomington,IN,47401,US,\/v2\/animals\/52742498,\/v2\/types\/cat,\/v2\/organizations\/in220,,,,,,,,
52742497,IN220,https:\/\/www.petfinder.com\/cat\/smitten-52742497\/in\/bloomington\/bloomington-animal-shelter-in220\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,,,,,,Baby,Male,Small,,,,,,,,,,Smitten,,C2107850,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742497\/1\/?bust=1629628582&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742497\/1\/?bust=1629628582&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742497\/1\/?bust=1629628582&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742497\/1\/?bust=1629628582,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742497\/1\/?bust=1629628582&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742497\/1\/?bust=1629628582&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742497\/1\/?bust=1629628582&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742497\/1\/?bust=1629628582,adoptable,2021-08-22T10:27:09+0000,2021-08-22T10:27:09+0000,,animal@bloomington.in.gov,(812) 349-3492,3410 S. Walnut Street,,Bloomington,IN,47401,US,\/v2\/animals\/52742497,\/v2\/types\/cat,\/v2\/organizations\/in220,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742497\/2\/?bust=1629628582&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742497\/2\/?bust=1629628582&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742497\/2\/?bust=1629628582&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742497\/2\/?bust=1629628582,,,,
52742496,IN220,https:\/\/www.petfinder.com\/dog\/phillip-52742496\/in\/bloomington\/bloomington-animal-shelter-in220\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Pit Bull Terrier,,,,,,,Young,Male,Large,,,,,,,,,,Phillip,,D21081007,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742496\/1\/?bust=1629628633&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742496\/1\/?bust=1629628633&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742496\/1\/?bust=1629628633&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742496\/1\/?bust=1629628633,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742496\/1\/?bust=1629628633&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742496\/1\/?bust=1629628633&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742496\/1\/?bust=1629628633&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742496\/1\/?bust=1629628633,adoptable,2021-08-22T10:27:09+0000,2021-08-22T10:27:09+0000,,animal@bloomington.in.gov,(812) 349-3492,3410 S. Walnut Street,,Bloomington,IN,47401,US,\/v2\/animals\/52742496,\/v2\/types\/dog,\/v2\/organizations\/in220,,,,,,,,
52742495,CA2413,https:\/\/www.petfinder.com\/dog\/cannolli-52742495\/ca\/chico\/wags-and-whiskers-pet-rescue-ca2413\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Yorkshire Terrier,Chihuahua,,,,,,Baby,Male,Small,,,,,,,,,,CANNOLLI,"Apply to adopt by clicking on the link below

http:\/\/www.wagsandwhiskerspetrescue.com\/adopt.html

Thank you so much for looking into wags and whiskers...",17117991,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742495\/1\/?bust=1629628635&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742495\/1\/?bust=1629628635&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742495\/1\/?bust=1629628635&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742495\/1\/?bust=1629628635,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742495\/1\/?bust=1629628635&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742495\/1\/?bust=1629628635&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742495\/1\/?bust=1629628635&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742495\/1\/?bust=1629628635,adoptable,2021-08-22T10:27:04+0000,2021-08-22T10:27:04+0000,,info@wwprca.com,(530) 895-8888,2156 Pillsbury Road,#155,Chico,CA,95973,US,\/v2\/animals\/52742495,\/v2\/types\/dog,\/v2\/organizations\/ca2413,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742495\/2\/?bust=1629628634&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742495\/2\/?bust=1629628634&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742495\/2\/?bust=1629628634&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742495\/2\/?bust=1629628634,,,,
52742494,CA2413,https:\/\/www.petfinder.com\/dog\/duval-52742494\/ca\/chico\/wags-and-whiskers-pet-rescue-ca2413\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Chihuahua,,,,,,,Adult,Female,Small,,,,,,,,,,DUVAL,"Apply to adopt by clicking on the link below

http:\/\/www.wagsandwhiskerspetrescue.com\/adopt.html

Thank you so much for looking into wags and whiskers...",17109867,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742494\/1\/?bust=1629628635&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742494\/1\/?bust=1629628635&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742494\/1\/?bust=1629628635&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742494\/1\/?bust=1629628635,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742494\/1\/?bust=1629628635&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742494\/1\/?bust=1629628635&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742494\/1\/?bust=1629628635&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742494\/1\/?bust=1629628635,adoptable,2021-08-22T10:27:04+0000,2021-08-22T10:27:04+0000,,info@wwprca.com,(530) 895-8888,2156 Pillsbury Road,#155,Chico,CA,95973,US,\/v2\/animals\/52742494,\/v2\/types\/dog,\/v2\/organizations\/ca2413,,,,,,,,
52742493,CA2413,https:\/\/www.petfinder.com\/dog\/nantucket-52742493\/ca\/chico\/wags-and-whiskers-pet-rescue-ca2413\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Terrier,,,,,,,Adult,Male,Small,,,,,,,,,,NANTUCKET,,17115712,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742493\/1\/?bust=1629628636&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742493\/1\/?bust=1629628636&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742493\/1\/?bust=1629628636&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742493\/1\/?bust=1629628636,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742493\/1\/?bust=1629628636&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742493\/1\/?bust=1629628636&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742493\/1\/?bust=1629628636&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742493\/1\/?bust=1629628636,adoptable,2021-08-22T10:27:03+0000,2021-08-22T10:27:03+0000,,info@wwprca.com,(530) 895-8888,2156 Pillsbury Road,#155,Chico,CA,95973,US,\/v2\/animals\/52742493,\/v2\/types\/dog,\/v2\/organizations\/ca2413,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742493\/2\/?bust=1629628634&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742493\/2\/?bust=1629628634&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742493\/2\/?bust=1629628634&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742493\/2\/?bust=1629628634,,,,
52742492,CA2413,https:\/\/www.petfinder.com\/dog\/hardee-52742492\/ca\/chico\/wags-and-whiskers-pet-rescue-ca2413\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Chihuahua,,,,,,,Senior,Male,Small,,,,,,,,,,HARDEE,,17115724,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742492\/1\/?bust=1629628635&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742492\/1\/?bust=1629628635&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742492\/1\/?bust=1629628635&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742492\/1\/?bust=1629628635,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742492\/1\/?bust=1629628635&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742492\/1\/?bust=1629628635&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742492\/1\/?bust=1629628635&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742492\/1\/?bust=1629628635,adoptable,2021-08-22T10:27:02+0000,2021-08-22T10:27:02+0000,,info@wwprca.com,(530) 895-8888,2156 Pillsbury Road,#155,Chico,CA,95973,US,\/v2\/animals\/52742492,\/v2\/types\/dog,\/v2\/organizations\/ca2413,,,,,,,,
52742490,CA2413,https:\/\/www.petfinder.com\/dog\/munroe-52742490\/ca\/chico\/wags-and-whiskers-pet-rescue-ca2413\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Beagle,Dachshund,,,,,,Adult,Female,Medium,,,,,,,,,,MUNROE,,17109608,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742490\/1\/?bust=1629629481&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742490\/1\/?bust=1629629481&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742490\/1\/?bust=1629629481&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742490\/1\/?bust=1629629481,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742490\/1\/?bust=1629629481&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742490\/1\/?bust=1629629481&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742490\/1\/?bust=1629629481&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742490\/1\/?bust=1629629481,adoptable,2021-08-22T10:27:02+0000,2021-08-22T10:27:02+0000,,info@wwprca.com,(530) 895-8888,2156 Pillsbury Road,#155,Chico,CA,95973,US,\/v2\/animals\/52742490,\/v2\/types\/dog,\/v2\/organizations\/ca2413,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742490\/2\/?bust=1629629486&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742490\/2\/?bust=1629629486&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742490\/2\/?bust=1629629486&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742490\/2\/?bust=1629629486,,,,
52742486,CA2413,https:\/\/www.petfinder.com\/dog\/putnam-52742486\/ca\/chico\/wags-and-whiskers-pet-rescue-ca2413\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Terrier,,,,,,,Adult,Male,Small,,,,,,,,,,PUTNAM,,17115755,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742486\/1\/?bust=1629628634&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742486\/1\/?bust=1629628634&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742486\/1\/?bust=1629628634&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742486\/1\/?bust=1629628634,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742486\/1\/?bust=1629628634&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742486\/1\/?bust=1629628634&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742486\/1\/?bust=1629628634&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742486\/1\/?bust=1629628634,adoptable,2021-08-22T10:27:01+0000,2021-08-22T10:27:01+0000,,info@wwprca.com,(530) 895-8888,2156 Pillsbury Road,#155,Chico,CA,95973,US,\/v2\/animals\/52742486,\/v2\/types\/dog,\/v2\/organizations\/ca2413,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742486\/2\/?bust=1629628635&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742486\/2\/?bust=1629628635&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742486\/2\/?bust=1629628635&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742486\/2\/?bust=1629628635,,,,
52742489,CA2413,https:\/\/www.petfinder.com\/dog\/berkshire-52742489\/ca\/chico\/wags-and-whiskers-pet-rescue-ca2413\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Chihuahua,,,,,,,Adult,Female,Medium,,,,,,,,,,BERKSHIRE,,17109831,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742489\/1\/?bust=1629628636&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742489\/1\/?bust=1629628636&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742489\/1\/?bust=1629628636&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742489\/1\/?bust=1629628636,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742489\/1\/?bust=1629628636&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742489\/1\/?bust=1629628636&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742489\/1\/?bust=1629628636&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742489\/1\/?bust=1629628636,adoptable,2021-08-22T10:27:01+0000,2021-08-22T10:27:01+0000,,info@wwprca.com,(530) 895-8888,2156 Pillsbury Road,#155,Chico,CA,95973,US,\/v2\/animals\/52742489,\/v2\/types\/dog,\/v2\/organizations\/ca2413,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742489\/2\/?bust=1629628636&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742489\/2\/?bust=1629628636&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742489\/2\/?bust=1629628636&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742489\/2\/?bust=1629628636,,,,
