id,organization_id,url,type,species,breeds/primary,breeds/secondary,breeds/mixed,breeds/unknown,colors/primary,colors/secondary,colors/tertiary,age,gender,size,coat,attributes/spayed_neutered,attributes/house_trained,attributes/declawed,attributes/special_needs,attributes/shots_current,environment/children,environment/dogs,environment/cats,name,description,organization_animal_id,photos/0/small,photos/0/medium,photos/0/large,photos/0/full,primary_photo_cropped/small,primary_photo_cropped/medium,primary_photo_cropped/large,primary_photo_cropped/full,status,status_changed_at,published_at,distance,contact/email,contact/phone,contact/address/address1,contact/address/address2,contact/address/city,contact/address/state,contact/address/postcode,contact/address/country,_links/self/href,_links/type/href,_links/organization/href,photos/1/small,photos/1/medium,photos/1/large,photos/1/full,photos/2/small,photos/2/medium,photos/2/large,photos/2/full,photos/3/small,photos/3/medium,photos/3/large,photos/3/full,photos/4/small,photos/4/medium,photos/4/large,photos/4/full,photos/5/small,photos/5/medium,photos/5/large,photos/5/full,primary_photo_cropped
52742457,AZ666,https:\/\/www.petfinder.com\/cat\/panda-mom-52742457\/az\/thatcher\/desert-cat-rescue-and-sanctuary-of-arizona-az666\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,,,Black & White \/ Tuxedo,,,Adult,Female,Medium,,,,,,,,,,Panda Mom,"I am a very sweet, playful kitty! I am a great listener and an amazing friend! I am looking for...",ps_49186430,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742457\/1\/?bust=1629628369&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742457\/1\/?bust=1629628369&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742457\/1\/?bust=1629628369&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742457\/1\/?bust=1629628369,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742457\/1\/?bust=1629628369&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742457\/1\/?bust=1629628369&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742457\/1\/?bust=1629628369&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742457\/1\/?bust=1629628369,adoptable,2021-08-22T10:22:12+0000,2021-08-22T10:22:12+0000,,desertcatrescue@outlook.com,(928) 965-4323,,,Thatcher,AZ,85552,US,\/v2\/animals\/52742457,\/v2\/types\/cat,\/v2\/organizations\/az666,,,,,,,,,,,,,,,,,,,,,
52742456,GA697,https:\/\/www.petfinder.com\/cat\/maui-52742456\/ga\/atlanta\/georgia-homeless-pets-ga697\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,,,Gray \/ Blue \/ Silver,,,Young,Male,Medium,,,,,,,,,,Maui,,ps_10373797,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742456\/1\/?bust=1629628339&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742456\/1\/?bust=1629628339&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742456\/1\/?bust=1629628339&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742456\/1\/?bust=1629628339,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742456\/1\/?bust=1629628339&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742456\/1\/?bust=1629628339&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742456\/1\/?bust=1629628339&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742456\/1\/?bust=1629628339,adoptable,2021-08-22T10:22:02+0000,2021-08-22T10:22:02+0000,,adoptions@gahomelesspets.com,(404) 590-3108,,,Atlanta,GA,31139,US,\/v2\/animals\/52742456,\/v2\/types\/cat,\/v2\/organizations\/ga697,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742456\/2\/?bust=1629628338&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742456\/2\/?bust=1629628338&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742456\/2\/?bust=1629628338&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742456\/2\/?bust=1629628338,,,,,,,,,,,,,,,,,
52742455,GA697,https:\/\/www.petfinder.com\/cat\/pepsi-52742455\/ga\/atlanta\/georgia-homeless-pets-ga697\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Medium Hair,,,,Black & White \/ Tuxedo,,,Baby,Male,Small,,,,,,,,,,Pepsi,,ps_74225138,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742455\/1\/?bust=1629628333&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742455\/1\/?bust=1629628333&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742455\/1\/?bust=1629628333&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742455\/1\/?bust=1629628333,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742455\/1\/?bust=1629628333&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742455\/1\/?bust=1629628333&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742455\/1\/?bust=1629628333&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742455\/1\/?bust=1629628333,adoptable,2021-08-22T10:22:02+0000,2021-08-22T10:22:02+0000,,adoptions@gahomelesspets.com,(404) 590-3108,,,Atlanta,GA,31139,US,\/v2\/animals\/52742455,\/v2\/types\/cat,\/v2\/organizations\/ga697,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742455\/2\/?bust=1629628331&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742455\/2\/?bust=1629628331&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742455\/2\/?bust=1629628331&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742455\/2\/?bust=1629628331,,,,,,,,,,,,,,,,,
52742454,GA973,https:\/\/www.petfinder.com\/dog\/sister-rosetta-tharpe-52742454\/ga\/savannah\/renegade-paws-rescue-ga973\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Labrador Retriever,Terrier,,,Black,,,Baby,Female,Medium,,,,,,,,,,Sister Rosetta Tharpe,Gladys&amp;#39;s litter.,ps_90499382,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742454\/1\/?bust=1629628381&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742454\/1\/?bust=1629628381&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742454\/1\/?bust=1629628381&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742454\/1\/?bust=1629628381,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742454\/1\/?bust=1629628381&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742454\/1\/?bust=1629628381&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742454\/1\/?bust=1629628381&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742454\/1\/?bust=1629628381,adoptable,2021-08-22T10:21:56+0000,2021-08-22T10:21:56+0000,,info@renegadepawsrescue.org,(912) 570-5032,,,Savannah,GA,31406,US,\/v2\/animals\/52742454,\/v2\/types\/dog,\/v2\/organizations\/ga973,,,,,,,,,,,,,,,,,,,,,
52742453,GA973,https:\/\/www.petfinder.com\/dog\/b-b-king-52742453\/ga\/savannah\/renegade-paws-rescue-ga973\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Labrador Retriever,Terrier,,,Black,,,Baby,Male,Medium,,,,,,,,,,B B King,Gladys&amp;#39;s litter.,ps_44327069,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742453\/1\/?bust=1629628365&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742453\/1\/?bust=1629628365&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742453\/1\/?bust=1629628365&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742453\/1\/?bust=1629628365,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742453\/1\/?bust=1629628365&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742453\/1\/?bust=1629628365&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742453\/1\/?bust=1629628365&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742453\/1\/?bust=1629628365,adoptable,2021-08-22T10:21:56+0000,2021-08-22T10:21:56+0000,,info@renegadepawsrescue.org,(912) 570-5032,,,Savannah,GA,31406,US,\/v2\/animals\/52742453,\/v2\/types\/dog,\/v2\/organizations\/ga973,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742453\/2\/?bust=1629628371&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742453\/2\/?bust=1629628371&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742453\/2\/?bust=1629628371&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742453\/2\/?bust=1629628371,,,,,,,,,,,,,,,,,
52742452,GA973,https:\/\/www.petfinder.com\/dog\/etta-james-52742452\/ga\/savannah\/renegade-paws-rescue-ga973\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Labrador Retriever,Terrier,,,Black,,,Baby,Female,Medium,,,,,,,,,,Etta James,Gladys&amp;#39;s litter.,ps_69842109,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742452\/1\/?bust=1629628358&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742452\/1\/?bust=1629628358&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742452\/1\/?bust=1629628358&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742452\/1\/?bust=1629628358,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742452\/1\/?bust=1629628358&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742452\/1\/?bust=1629628358&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742452\/1\/?bust=1629628358&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742452\/1\/?bust=1629628358,adoptable,2021-08-22T10:21:55+0000,2021-08-22T10:21:55+0000,,info@renegadepawsrescue.org,(912) 570-5032,,,Savannah,GA,31406,US,\/v2\/animals\/52742452,\/v2\/types\/dog,\/v2\/organizations\/ga973,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742452\/2\/?bust=1629628377&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742452\/2\/?bust=1629628377&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742452\/2\/?bust=1629628377&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742452\/2\/?bust=1629628377,,,,,,,,,,,,,,,,,
52742451,GA973,https:\/\/www.petfinder.com\/dog\/gooby-52742451\/ga\/savannah\/renegade-paws-rescue-ga973\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Boxer,Boston Terrier,,,Gray \/ Blue \/ Silver,,,Adult,Male,Small,,,,,,,,,,Gooby,Gooby is a playful goob. He is a Boston terrier stuck in the body of a boxer and he&amp;#39;s always...,ps_50410230,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742451\/1\/?bust=1629628332&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742451\/1\/?bust=1629628332&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742451\/1\/?bust=1629628332&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742451\/1\/?bust=1629628332,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742451\/1\/?bust=1629628332&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742451\/1\/?bust=1629628332&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742451\/1\/?bust=1629628332&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742451\/1\/?bust=1629628332,adoptable,2021-08-22T10:21:55+0000,2021-08-22T10:21:55+0000,,info@renegadepawsrescue.org,(912) 570-5032,,,Savannah,GA,31406,US,\/v2\/animals\/52742451,\/v2\/types\/dog,\/v2\/organizations\/ga973,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742451\/2\/?bust=1629628348&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742451\/2\/?bust=1629628348&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742451\/2\/?bust=1629628348&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742451\/2\/?bust=1629628348,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742451\/3\/?bust=1629628334&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742451\/3\/?bust=1629628334&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742451\/3\/?bust=1629628334&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742451\/3\/?bust=1629628334,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742451\/4\/?bust=1629628350&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742451\/4\/?bust=1629628350&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742451\/4\/?bust=1629628350&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742451\/4\/?bust=1629628350,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742451\/5\/?bust=1629628335&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742451\/5\/?bust=1629628335&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742451\/5\/?bust=1629628335&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742451\/5\/?bust=1629628335,,,,,
52742449,GA973,https:\/\/www.petfinder.com\/dog\/muddy-water-52742449\/ga\/savannah\/renegade-paws-rescue-ga973\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Labrador Retriever,Terrier,,,Black,,,Baby,Male,Medium,,,,,,,,,,Muddy Water,Gladys&amp;#39;s litter.,ps_62626151,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742449\/1\/?bust=1629628418&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742449\/1\/?bust=1629628418&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742449\/1\/?bust=1629628418&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742449\/1\/?bust=1629628418,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742449\/1\/?bust=1629628418&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742449\/1\/?bust=1629628418&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742449\/1\/?bust=1629628418&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742449\/1\/?bust=1629628418,adoptable,2021-08-22T10:21:55+0000,2021-08-22T10:21:55+0000,,info@renegadepawsrescue.org,(912) 570-5032,,,Savannah,GA,31406,US,\/v2\/animals\/52742449,\/v2\/types\/dog,\/v2\/organizations\/ga973,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742449\/2\/?bust=1629628395&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742449\/2\/?bust=1629628395&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742449\/2\/?bust=1629628395&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742449\/2\/?bust=1629628395,,,,,,,,,,,,,,,,,
52742450,GA973,https:\/\/www.petfinder.com\/dog\/bo-diddley-52742450\/ga\/savannah\/renegade-paws-rescue-ga973\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Labrador Retriever,Terrier,,,Black,,,Baby,Male,Medium,,,,,,,,,,Bo Diddley,Gladys&amp;#39;s litter.,ps_42122389,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742450\/1\/?bust=1629628327&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742450\/1\/?bust=1629628327&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742450\/1\/?bust=1629628327&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742450\/1\/?bust=1629628327,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742450\/1\/?bust=1629628327&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742450\/1\/?bust=1629628327&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742450\/1\/?bust=1629628327&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742450\/1\/?bust=1629628327,adoptable,2021-08-22T10:21:55+0000,2021-08-22T10:21:55+0000,,info@renegadepawsrescue.org,(912) 570-5032,,,Savannah,GA,31406,US,\/v2\/animals\/52742450,\/v2\/types\/dog,\/v2\/organizations\/ga973,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742450\/2\/?bust=1629628333&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742450\/2\/?bust=1629628333&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742450\/2\/?bust=1629628333&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742450\/2\/?bust=1629628333,,,,,,,,,,,,,,,,,
52742448,GA973,https:\/\/www.petfinder.com\/dog\/bessie-smith-52742448\/ga\/savannah\/renegade-paws-rescue-ga973\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Labrador Retriever,Terrier,,,Black,,,Baby,Female,Medium,,,,,,,,,,Bessie Smith,Gladys&amp;#39;s litter.,ps_34962675,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742448\/1\/?bust=1629628399&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742448\/1\/?bust=1629628399&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742448\/1\/?bust=1629628399&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742448\/1\/?bust=1629628399,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742448\/1\/?bust=1629628399&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742448\/1\/?bust=1629628399&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742448\/1\/?bust=1629628399&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742448\/1\/?bust=1629628399,adoptable,2021-08-22T10:21:55+0000,2021-08-22T10:21:55+0000,,info@renegadepawsrescue.org,(912) 570-5032,,,Savannah,GA,31406,US,\/v2\/animals\/52742448,\/v2\/types\/dog,\/v2\/organizations\/ga973,,,,,,,,,,,,,,,,,,,,,
