id,organization_id,url,type,species,breeds/primary,breeds/secondary,breeds/mixed,breeds/unknown,colors/primary,colors/secondary,colors/tertiary,age,gender,size,coat,attributes/spayed_neutered,attributes/house_trained,attributes/declawed,attributes/special_needs,attributes/shots_current,environment/children,environment/dogs,environment/cats,name,description,organization_animal_id,photos/0/small,photos/0/medium,photos/0/large,photos/0/full,photos/1/small,photos/1/medium,photos/1/large,photos/1/full,primary_photo_cropped/small,primary_photo_cropped/medium,primary_photo_cropped/large,primary_photo_cropped/full,status,status_changed_at,published_at,distance,contact/email,contact/phone,contact/address/address1,contact/address/address2,contact/address/city,contact/address/state,contact/address/postcode,contact/address/country,_links/self/href,_links/type/href,_links/organization/href,photos/2/small,photos/2/medium,photos/2/large,photos/2/full
52742415,CO489,https:\/\/www.petfinder.com\/dog\/mama-heaven-puppy-tiny-tina-52742415\/co\/lakewood\/moms-and-mutts-colorado-rescue-for-pregnant-and-nursing-dogs-co489\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Great Pyrenees,,,,White \/ Cream,,,Baby,Female,Medium,,,,,,,,,,Mama Heaven Puppy - Tiny Tina,"*In order to protect our puppies, we do not allow puppies to attend open events until they have a minimum...",ps_1180172-192495,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742415\/1\/?bust=1629628167&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742415\/1\/?bust=1629628167&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742415\/1\/?bust=1629628167&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742415\/1\/?bust=1629628167,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742415\/2\/?bust=1629628156&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742415\/2\/?bust=1629628156&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742415\/2\/?bust=1629628156&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742415\/2\/?bust=1629628156,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742415\/1\/?bust=1629628167&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742415\/1\/?bust=1629628167&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742415\/1\/?bust=1629628167&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742415\/1\/?bust=1629628167,adoptable,2021-08-22T10:18:43+0000,2021-08-22T10:18:43+0000,,Info@mamcorescue.org,(720) 532-1668,,,Lakewood,CO,80227,US,\/v2\/animals\/52742415,\/v2\/types\/dog,\/v2\/organizations\/co489,,,,
52742414,CO489,https:\/\/www.petfinder.com\/dog\/mama-zelda-pup-zuzu-52742414\/co\/lakewood\/moms-and-mutts-colorado-rescue-for-pregnant-and-nursing-dogs-co489\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,German Shepherd Dog,Saint Bernard,,,,,,Baby,Female,Medium,,,,,,,,,,Mama Zelda Pup - Zuzu,"*In order to protect our puppies, we do not allow puppies to attend open events until they have a minimum...",ps_1184032-192495,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742414\/1\/?bust=1629628169&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742414\/1\/?bust=1629628169&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742414\/1\/?bust=1629628169&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742414\/1\/?bust=1629628169,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742414\/2\/?bust=1629628161&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742414\/2\/?bust=1629628161&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742414\/2\/?bust=1629628161&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742414\/2\/?bust=1629628161,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742414\/1\/?bust=1629628169&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742414\/1\/?bust=1629628169&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742414\/1\/?bust=1629628169&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742414\/1\/?bust=1629628169,adoptable,2021-08-22T10:18:43+0000,2021-08-22T10:18:43+0000,,Info@mamcorescue.org,(720) 532-1668,,,Lakewood,CO,80227,US,\/v2\/animals\/52742414,\/v2\/types\/dog,\/v2\/organizations\/co489,,,,
52742425,CO489,https:\/\/www.petfinder.com\/dog\/mama-zelda-pup-zania-52742425\/co\/lakewood\/moms-and-mutts-colorado-rescue-for-pregnant-and-nursing-dogs-co489\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,German Shepherd Dog,Saint Bernard,,,Brown \/ Chocolate,,,Baby,Female,Medium,,,,,,,,,,Mama Zelda Pup - Zania,"*In order to protect our puppies, we do not allow puppies to attend open events until they have a minimum...",ps_99266590,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742425\/1\/?bust=1629628160&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742425\/1\/?bust=1629628160&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742425\/1\/?bust=1629628160&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742425\/1\/?bust=1629628160,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742425\/2\/?bust=1629628159&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742425\/2\/?bust=1629628159&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742425\/2\/?bust=1629628159&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742425\/2\/?bust=1629628159,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742425\/1\/?bust=1629628160&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742425\/1\/?bust=1629628160&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742425\/1\/?bust=1629628160&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742425\/1\/?bust=1629628160,adoptable,2021-08-22T10:18:43+0000,2021-08-22T10:18:43+0000,,Info@mamcorescue.org,(720) 532-1668,,,Lakewood,CO,80227,US,\/v2\/animals\/52742425,\/v2\/types\/dog,\/v2\/organizations\/co489,,,,
52742418,CO489,https:\/\/www.petfinder.com\/dog\/mama-heaven-puppy-bart-52742418\/co\/lakewood\/moms-and-mutts-colorado-rescue-for-pregnant-and-nursing-dogs-co489\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Great Pyrenees,,,,White \/ Cream,,,Baby,Male,Medium,,,,,,,,,,Mama Heaven Puppy - Bart,"*In order to protect our puppies, we do not allow puppies to attend open events until they have a minimum...",ps_1180177-192495,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742418\/1\/?bust=1629628157&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742418\/1\/?bust=1629628157&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742418\/1\/?bust=1629628157&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742418\/1\/?bust=1629628157,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742418\/2\/?bust=1629628155&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742418\/2\/?bust=1629628155&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742418\/2\/?bust=1629628155&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742418\/2\/?bust=1629628155,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742418\/1\/?bust=1629628157&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742418\/1\/?bust=1629628157&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742418\/1\/?bust=1629628157&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742418\/1\/?bust=1629628157,adoptable,2021-08-22T10:18:43+0000,2021-08-22T10:18:43+0000,,Info@mamcorescue.org,(720) 532-1668,,,Lakewood,CO,80227,US,\/v2\/animals\/52742418,\/v2\/types\/dog,\/v2\/organizations\/co489,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742418\/3\/?bust=1629628161&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742418\/3\/?bust=1629628161&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742418\/3\/?bust=1629628161&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742418\/3\/?bust=1629628161
52742432,CO489,https:\/\/www.petfinder.com\/dog\/mama-zelda-pup-zz-top-52742432\/co\/lakewood\/moms-and-mutts-colorado-rescue-for-pregnant-and-nursing-dogs-co489\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,German Shepherd Dog,Saint Bernard,,,,,,Baby,Male,Medium,,,,,,,,,,Mama Zelda Pup - ZZ Top,"*In order to protect our puppies, we do not allow puppies to attend open events until they have a minimum...",ps_1184040-192495,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742432\/1\/?bust=1629628145&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742432\/1\/?bust=1629628145&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742432\/1\/?bust=1629628145&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742432\/1\/?bust=1629628145,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742432\/2\/?bust=1629628161&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742432\/2\/?bust=1629628161&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742432\/2\/?bust=1629628161&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742432\/2\/?bust=1629628161,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742432\/1\/?bust=1629628145&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742432\/1\/?bust=1629628145&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742432\/1\/?bust=1629628145&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742432\/1\/?bust=1629628145,adoptable,2021-08-22T10:18:43+0000,2021-08-22T10:18:43+0000,,Info@mamcorescue.org,(720) 532-1668,,,Lakewood,CO,80227,US,\/v2\/animals\/52742432,\/v2\/types\/dog,\/v2\/organizations\/co489,,,,
52742424,CO489,https:\/\/www.petfinder.com\/dog\/mama-sophie-puppy-tigress-52742424\/co\/lakewood\/moms-and-mutts-colorado-rescue-for-pregnant-and-nursing-dogs-co489\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Shih Tzu,Chihuahua,,,,,,Baby,Female,Medium,,,,,,,,,,Mama Sophie Puppy - Tigress,"*In order to protect our puppies, we do not allow puppies to attend open events until they have a minimum...",ps_1178836-192495,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742424\/1\/?bust=1629628160&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742424\/1\/?bust=1629628160&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742424\/1\/?bust=1629628160&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742424\/1\/?bust=1629628160,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742424\/2\/?bust=1629628161&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742424\/2\/?bust=1629628161&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742424\/2\/?bust=1629628161&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742424\/2\/?bust=1629628161,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742424\/1\/?bust=1629628160&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742424\/1\/?bust=1629628160&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742424\/1\/?bust=1629628160&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742424\/1\/?bust=1629628160,adoptable,2021-08-22T10:18:43+0000,2021-08-22T10:18:43+0000,,Info@mamcorescue.org,(720) 532-1668,,,Lakewood,CO,80227,US,\/v2\/animals\/52742424,\/v2\/types\/dog,\/v2\/organizations\/co489,,,,
52742407,CO489,https:\/\/www.petfinder.com\/dog\/mama-zelda-pup-zahria-52742407\/co\/lakewood\/moms-and-mutts-colorado-rescue-for-pregnant-and-nursing-dogs-co489\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,German Shepherd Dog,Saint Bernard,,,,,,Baby,Female,Medium,,,,,,,,,,Mama Zelda Pup - Zahria,"*In order to protect our puppies, we do not allow puppies to attend open events until they have a minimum...",ps_1184038-192495,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742407\/1\/?bust=1629628157&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742407\/1\/?bust=1629628157&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742407\/1\/?bust=1629628157&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742407\/1\/?bust=1629628157,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742407\/2\/?bust=1629628162&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742407\/2\/?bust=1629628162&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742407\/2\/?bust=1629628162&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742407\/2\/?bust=1629628162,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742407\/1\/?bust=1629628157&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742407\/1\/?bust=1629628157&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742407\/1\/?bust=1629628157&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742407\/1\/?bust=1629628157,adoptable,2021-08-22T10:18:43+0000,2021-08-22T10:18:43+0000,,Info@mamcorescue.org,(720) 532-1668,,,Lakewood,CO,80227,US,\/v2\/animals\/52742407,\/v2\/types\/dog,\/v2\/organizations\/co489,,,,
52742431,CO489,https:\/\/www.petfinder.com\/dog\/mama-zelda-pup-zuri-52742431\/co\/lakewood\/moms-and-mutts-colorado-rescue-for-pregnant-and-nursing-dogs-co489\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,German Shepherd Dog,Saint Bernard,,,,,,Baby,Female,Medium,,,,,,,,,,Mama Zelda Pup - Zuri,"*In order to protect our puppies, we do not allow puppies to attend open events until they have a minimum...",ps_1184037-192495,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742431\/1\/?bust=1629628155&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742431\/1\/?bust=1629628155&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742431\/1\/?bust=1629628155&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742431\/1\/?bust=1629628155,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742431\/2\/?bust=1629628158&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742431\/2\/?bust=1629628158&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742431\/2\/?bust=1629628158&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742431\/2\/?bust=1629628158,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742431\/1\/?bust=1629628155&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742431\/1\/?bust=1629628155&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742431\/1\/?bust=1629628155&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742431\/1\/?bust=1629628155,adoptable,2021-08-22T10:18:43+0000,2021-08-22T10:18:43+0000,,Info@mamcorescue.org,(720) 532-1668,,,Lakewood,CO,80227,US,\/v2\/animals\/52742431,\/v2\/types\/dog,\/v2\/organizations\/co489,,,,
52742405,CO489,https:\/\/www.petfinder.com\/dog\/mama-zelda-pup-zayna-52742405\/co\/lakewood\/moms-and-mutts-colorado-rescue-for-pregnant-and-nursing-dogs-co489\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,German Shepherd Dog,Saint Bernard,,,,,,Baby,Female,Medium,,,,,,,,,,Mama Zelda Pup - Zayna,"*In order to protect our puppies, we do not allow puppies to attend open events until they have a minimum...",ps_1184034-192495,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742405\/1\/?bust=1629628159&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742405\/1\/?bust=1629628159&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742405\/1\/?bust=1629628159&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742405\/1\/?bust=1629628159,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742405\/2\/?bust=1629628151&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742405\/2\/?bust=1629628151&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742405\/2\/?bust=1629628151&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742405\/2\/?bust=1629628151,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742405\/1\/?bust=1629628159&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742405\/1\/?bust=1629628159&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742405\/1\/?bust=1629628159&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742405\/1\/?bust=1629628159,adoptable,2021-08-22T10:18:43+0000,2021-08-22T10:18:43+0000,,Info@mamcorescue.org,(720) 532-1668,,,Lakewood,CO,80227,US,\/v2\/animals\/52742405,\/v2\/types\/dog,\/v2\/organizations\/co489,,,,
52742413,CO489,https:\/\/www.petfinder.com\/dog\/mama-heaven-puppy-chuck-52742413\/co\/lakewood\/moms-and-mutts-colorado-rescue-for-pregnant-and-nursing-dogs-co489\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Great Pyrenees,,,,White \/ Cream,,,Baby,Male,Medium,,,,,,,,,,Mama Heaven Puppy - Chuck,"*In order to protect our puppies, we do not allow puppies to attend open events until they have a minimum...",ps_1180176-192495,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742413\/1\/?bust=1629628159&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742413\/1\/?bust=1629628159&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742413\/1\/?bust=1629628159&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742413\/1\/?bust=1629628159,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742413\/2\/?bust=1629628156&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742413\/2\/?bust=1629628156&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742413\/2\/?bust=1629628156&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742413\/2\/?bust=1629628156,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742413\/1\/?bust=1629628159&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742413\/1\/?bust=1629628159&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742413\/1\/?bust=1629628159&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742413\/1\/?bust=1629628159,adoptable,2021-08-22T10:18:43+0000,2021-08-22T10:18:43+0000,,Info@mamcorescue.org,(720) 532-1668,,,Lakewood,CO,80227,US,\/v2\/animals\/52742413,\/v2\/types\/dog,\/v2\/organizations\/co489,,,,
