id,organization_id,url,type,species,breeds/primary,breeds/secondary,breeds/mixed,breeds/unknown,colors/primary,colors/secondary,colors/tertiary,age,gender,size,coat,attributes/spayed_neutered,attributes/house_trained,attributes/declawed,attributes/special_needs,attributes/shots_current,environment/children,environment/dogs,environment/cats,name,description,organization_animal_id,photos/0/small,photos/0/medium,photos/0/large,photos/0/full,primary_photo_cropped/small,primary_photo_cropped/medium,primary_photo_cropped/large,primary_photo_cropped/full,status,status_changed_at,published_at,distance,contact/email,contact/phone,contact/address/address1,contact/address/address2,contact/address/city,contact/address/state,contact/address/postcode,contact/address/country,_links/self/href,_links/type/href,_links/organization/href,photos/1/small,photos/1/medium,photos/1/large,photos/1/full,photos/2/small,photos/2/medium,photos/2/large,photos/2/full,photos/3/small,photos/3/medium,photos/3/large,photos/3/full,photos/4/small,photos/4/medium,photos/4/large,photos/4/full
52742374,MI02,https://www.petfinder.com/cat/hodor-52742374/mi/dearborn/friends-for-animals-of-metro-detroit-mi02/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Long Hair,,false,false,,,,Adult,Male,Large,,true,false,false,false,true,,,,Hodor,"Hodor is a big, handsome gentleman. He was found scared and alone on the side of the road. He&amp;#39;s a...",S21Y524,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742374/1/?bust=1629627971&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742374/1/?bust=1629627971&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742374/1/?bust=1629627971&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742374/1/?bust=1629627971,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742374/1/?bust=1629627971&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742374/1/?bust=1629627971&width=450,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742374/1/?bust=1629627971&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742374/1/?bust=1629627971,adoptable,2021-08-22T10:15:08+0000,2021-08-22T10:15:08+0000,,friends@MetroDetroitAnimals.org,(313) 943-2697,16121 Reckinger Road,,Dearborn,MI,48121,US,/v2/animals/52742374,/v2/types/cat,/v2/organizations/mi02,,,,,,,,,,,,,,,,
52742373,MI02,https://www.petfinder.com/cat/vin-diesel-52742373/mi/dearborn/friends-for-animals-of-metro-detroit-mi02/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,false,false,,,,Baby,Male,Medium,,true,false,false,false,true,,,,Vin Diesel,Forget &amp;#34;&amp;#34;fast and furious&amp;#34;&amp;#34; - our Vin Diesel is pure sweetness and light. He&amp;#39;s happy to let others be thrill...,S21Y580,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742373/1/?bust=1629628030&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742373/1/?bust=1629628030&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742373/1/?bust=1629628030&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742373/1/?bust=1629628030,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742373/1/?bust=1629628030&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742373/1/?bust=1629628030&width=450,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742373/1/?bust=1629628030&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742373/1/?bust=1629628030,adoptable,2021-08-22T10:15:08+0000,2021-08-22T10:15:08+0000,,friends@MetroDetroitAnimals.org,(313) 943-2697,16121 Reckinger Road,,Dearborn,MI,48121,US,/v2/animals/52742373,/v2/types/cat,/v2/organizations/mi02,,,,,,,,,,,,,,,,
52742387,MI02,https://www.petfinder.com/cat/madison-52742387/mi/dearborn/friends-for-animals-of-metro-detroit-mi02/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,false,false,,,,Adult,Female,Large,,false,false,false,false,true,,,,Madison,"Look at this beautiful girl. Madison is a playful, sweet girl who just loves to talk. If your looking for...",S21Y666,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742387/1/?bust=1629628029&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742387/1/?bust=1629628029&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742387/1/?bust=1629628029&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742387/1/?bust=1629628029,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742387/1/?bust=1629628029&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742387/1/?bust=1629628029&width=450,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742387/1/?bust=1629628029&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742387/1/?bust=1629628029,adoptable,2021-08-22T10:15:08+0000,2021-08-22T10:15:08+0000,,friends@MetroDetroitAnimals.org,(313) 943-2697,16121 Reckinger Road,,Dearborn,MI,48121,US,/v2/animals/52742387,/v2/types/cat,/v2/organizations/mi02,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742387/2/?bust=1629628030&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742387/2/?bust=1629628030&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742387/2/?bust=1629628030&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742387/2/?bust=1629628030,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742387/3/?bust=1629627983&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742387/3/?bust=1629627983&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742387/3/?bust=1629627983&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742387/3/?bust=1629627983,,,,,,,,
52742397,MI02,https://www.petfinder.com/cat/rey-52742397/mi/dearborn/friends-for-animals-of-metro-detroit-mi02/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,false,false,,,,Baby,Male,Small,,true,false,false,false,true,,,,Rey,So far Rey has had a rough go of it as he was born in the shelter and then spent...,B21Y032,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742397/1/?bust=1629628032&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742397/1/?bust=1629628032&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742397/1/?bust=1629628032&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742397/1/?bust=1629628032,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742397/1/?bust=1629628032&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742397/1/?bust=1629628032&width=450,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742397/1/?bust=1629628032&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742397/1/?bust=1629628032,adoptable,2021-08-22T10:15:08+0000,2021-08-22T10:15:08+0000,,friends@MetroDetroitAnimals.org,(313) 943-2697,16121 Reckinger Road,,Dearborn,MI,48121,US,/v2/animals/52742397,/v2/types/cat,/v2/organizations/mi02,,,,,,,,,,,,,,,,
52742390,MI02,https://www.petfinder.com/cat/alexander-52742390/mi/dearborn/friends-for-animals-of-metro-detroit-mi02/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Medium Hair,,false,false,,,,Baby,Male,Small,,true,false,false,false,true,,,,Alexander,Alexander is a little on the shy side but loves to snuggle once he is comfortable. If you are thinking...,S21Y344,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742390/1/?bust=1629628032&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742390/1/?bust=1629628032&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742390/1/?bust=1629628032&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742390/1/?bust=1629628032,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742390/1/?bust=1629628032&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742390/1/?bust=1629628032&width=450,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742390/1/?bust=1629628032&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742390/1/?bust=1629628032,adoptable,2021-08-22T10:15:08+0000,2021-08-22T10:15:08+0000,,friends@MetroDetroitAnimals.org,(313) 943-2697,16121 Reckinger Road,,Dearborn,MI,48121,US,/v2/animals/52742390,/v2/types/cat,/v2/organizations/mi02,,,,,,,,,,,,,,,,
52742379,MI02,https://www.petfinder.com/cat/gwyneth-52742379/mi/dearborn/friends-for-animals-of-metro-detroit-mi02/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,false,false,,,,Adult,Female,Medium,,true,false,false,false,true,,,,Gwyneth,Gwyneth is a a petite brown ticked tabby who has had a lot on her plate out in the big...,S21Y491,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742379/1/?bust=1629628017&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742379/1/?bust=1629628017&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742379/1/?bust=1629628017&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742379/1/?bust=1629628017,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742379/1/?bust=1629628017&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742379/1/?bust=1629628017&width=450,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742379/1/?bust=1629628017&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742379/1/?bust=1629628017,adoptable,2021-08-22T10:15:08+0000,2021-08-22T10:15:08+0000,,friends@MetroDetroitAnimals.org,(313) 943-2697,16121 Reckinger Road,,Dearborn,MI,48121,US,/v2/animals/52742379,/v2/types/cat,/v2/organizations/mi02,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742379/2/?bust=1629628040&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742379/2/?bust=1629628040&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742379/2/?bust=1629628040&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742379/2/?bust=1629628040,,,,,,,,,,,,
52742396,MI02,https://www.petfinder.com/cat/marigold-52742396/mi/dearborn/friends-for-animals-of-metro-detroit-mi02/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,false,false,,,,Baby,Female,Small,,true,false,false,false,true,,,,Marigold,"Even prettier than the flower she&amp;#39;s named after, won&amp;#39;t you consider bringing Marigold home to blossom with your love and...",S21Y625,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742396/1/?bust=1629628007&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742396/1/?bust=1629628007&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742396/1/?bust=1629628007&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742396/1/?bust=1629628007,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742396/1/?bust=1629628007&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742396/1/?bust=1629628007&width=450,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742396/1/?bust=1629628007&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742396/1/?bust=1629628007,adoptable,2021-08-22T10:15:08+0000,2021-08-22T10:15:08+0000,,friends@MetroDetroitAnimals.org,(313) 943-2697,16121 Reckinger Road,,Dearborn,MI,48121,US,/v2/animals/52742396,/v2/types/cat,/v2/organizations/mi02,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742396/2/?bust=1629628041&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742396/2/?bust=1629628041&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742396/2/?bust=1629628041&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742396/2/?bust=1629628041,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742396/3/?bust=1629628021&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742396/3/?bust=1629628021&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742396/3/?bust=1629628021&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742396/3/?bust=1629628021,,,,,,,,
52742386,MI02,https://www.petfinder.com/cat/daffodil-52742386/mi/dearborn/friends-for-animals-of-metro-detroit-mi02/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,false,false,,,,Baby,Male,Small,,true,false,false,false,true,,,,Daffodil,"Daffodil is one chill dude, a handsome fella ready to cast a spell on your heart. Whether you&amp;#39;re a first...",B21Y036,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742386/1/?bust=1629628028&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742386/1/?bust=1629628028&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742386/1/?bust=1629628028&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742386/1/?bust=1629628028,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742386/1/?bust=1629628028&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742386/1/?bust=1629628028&width=450,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742386/1/?bust=1629628028&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742386/1/?bust=1629628028,adoptable,2021-08-22T10:15:08+0000,2021-08-22T10:15:08+0000,,friends@MetroDetroitAnimals.org,(313) 943-2697,16121 Reckinger Road,,Dearborn,MI,48121,US,/v2/animals/52742386,/v2/types/cat,/v2/organizations/mi02,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742386/2/?bust=1629628041&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742386/2/?bust=1629628041&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742386/2/?bust=1629628041&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742386/2/?bust=1629628041,,,,,,,,,,,,
52742382,MI02,https://www.petfinder.com/cat/violet-52742382/mi/dearborn/friends-for-animals-of-metro-detroit-mi02/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,false,false,,,,Young,Female,Medium,,true,false,false,false,false,,,,Violet,Roses are red and violets are blue but this Violet is black! Is she the perfect violet for you? Violet...,I21Y028,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742382/1/?bust=1629628042&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742382/1/?bust=1629628042&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742382/1/?bust=1629628042&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742382/1/?bust=1629628042,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742382/1/?bust=1629628042&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742382/1/?bust=1629628042&width=450,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742382/1/?bust=1629628042&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742382/1/?bust=1629628042,adoptable,2021-08-22T10:15:08+0000,2021-08-22T10:15:08+0000,,friends@MetroDetroitAnimals.org,(313) 943-2697,16121 Reckinger Road,,Dearborn,MI,48121,US,/v2/animals/52742382,/v2/types/cat,/v2/organizations/mi02,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742382/2/?bust=1629628023&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742382/2/?bust=1629628023&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742382/2/?bust=1629628023&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742382/2/?bust=1629628023,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742382/3/?bust=1629628038&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742382/3/?bust=1629628038&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742382/3/?bust=1629628038&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742382/3/?bust=1629628038,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742382/4/?bust=1629628018&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742382/4/?bust=1629628018&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742382/4/?bust=1629628018&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742382/4/?bust=1629628018,,,,
52742392,MI02,https://www.petfinder.com/cat/mitzi-52742392/mi/dearborn/friends-for-animals-of-metro-detroit-mi02/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,false,false,,,,Adult,Female,Medium,,true,false,false,false,true,,,,Mitzi,"Mitzi is a lovely, shy girl. She will take some time to adjust to her new home, so patience will...",S21Y745,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742392/1/?bust=1629628042&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742392/1/?bust=1629628042&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742392/1/?bust=1629628042&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742392/1/?bust=1629628042,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742392/1/?bust=1629628042&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742392/1/?bust=1629628042&width=450,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742392/1/?bust=1629628042&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742392/1/?bust=1629628042,adoptable,2021-08-22T10:15:08+0000,2021-08-22T10:15:08+0000,,friends@MetroDetroitAnimals.org,(313) 943-2697,16121 Reckinger Road,,Dearborn,MI,48121,US,/v2/animals/52742392,/v2/types/cat,/v2/organizations/mi02,,,,,,,,,,,,,,,,
