id,organization_id,url,type,species,breeds/primary,breeds/secondary,breeds/mixed,breeds/unknown,colors/primary,colors/secondary,colors/tertiary,age,gender,size,coat,attributes/spayed_neutered,attributes/house_trained,attributes/declawed,attributes/special_needs,attributes/shots_current,environment/children,environment/dogs,environment/cats,name,description,organization_animal_id,photos/0/small,photos/0/medium,photos/0/large,photos/0/full,primary_photo_cropped/small,primary_photo_cropped/medium,primary_photo_cropped/large,primary_photo_cropped/full,status,status_changed_at,published_at,distance,contact/email,contact/phone,contact/address/address1,contact/address/address2,contact/address/city,contact/address/state,contact/address/postcode,contact/address/country,_links/self/href,_links/type/href,_links/organization/href,photos/1/small,photos/1/medium,photos/1/large,photos/1/full,photos/2/small,photos/2/medium,photos/2/large,photos/2/full,photos/3/small,photos/3/medium,photos/3/large,photos/3/full,photos/4/small,photos/4/medium,photos/4/large,photos/4/full,primary_photo_cropped
52742368,TX1135,https://www.petfinder.com/cat/tabitha-52742368/tx/corpus-christi/the-cattery-tx1135/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,false,false,,,,Young,Female,Small,,true,false,false,false,true,,,,Tabitha,,S2021302,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742368/1/?bust=1629628022&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742368/1/?bust=1629628022&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742368/1/?bust=1629628022&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742368/1/?bust=1629628022,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742368/1/?bust=1629628022&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742368/1/?bust=1629628022&width=450,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742368/1/?bust=1629628022&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742368/1/?bust=1629628022,adoptable,2021-08-22T10:15:04+0000,2021-08-22T10:15:04+0000,,adoptions@thecatterycc.org,(361) 854-6369,1237 Saratoga,,Corpus Christi,TX,78414,US,/v2/animals/52742368,/v2/types/cat,/v2/organizations/tx1135,,,,,,,,,,,,,,,,,
52742366,TX1135,https://www.petfinder.com/cat/marina-52742366/tx/corpus-christi/the-cattery-tx1135/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,false,false,,,,Baby,Female,Small,,true,false,false,false,true,,,,Marina,,S2021601,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742366/1/?bust=1629628041&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742366/1/?bust=1629628041&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742366/1/?bust=1629628041&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742366/1/?bust=1629628041,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742366/1/?bust=1629628041&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742366/1/?bust=1629628041&width=450,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742366/1/?bust=1629628041&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742366/1/?bust=1629628041,adoptable,2021-08-22T10:15:04+0000,2021-08-22T10:15:04+0000,,adoptions@thecatterycc.org,(361) 854-6369,1237 Saratoga,,Corpus Christi,TX,78414,US,/v2/animals/52742366,/v2/types/cat,/v2/organizations/tx1135,,,,,,,,,,,,,,,,,
52742370,TX1135,https://www.petfinder.com/cat/bounce-52742370/tx/corpus-christi/the-cattery-tx1135/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Medium Hair,,false,false,,,,Baby,Female,Small,,true,false,false,false,true,,,,Bounce,,S2021600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742370/1/?bust=1629627970&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742370/1/?bust=1629627970&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742370/1/?bust=1629627970&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742370/1/?bust=1629627970,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742370/1/?bust=1629627970&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742370/1/?bust=1629627970&width=450,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742370/1/?bust=1629627970&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742370/1/?bust=1629627970,adoptable,2021-08-22T10:15:04+0000,2021-08-22T10:15:04+0000,,adoptions@thecatterycc.org,(361) 854-6369,1237 Saratoga,,Corpus Christi,TX,78414,US,/v2/animals/52742370,/v2/types/cat,/v2/organizations/tx1135,,,,,,,,,,,,,,,,,
52742365,TX1135,https://www.petfinder.com/cat/indigo-52742365/tx/corpus-christi/the-cattery-tx1135/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,false,false,,,,Baby,Male,Small,,true,false,false,false,true,,,,Indigo,,S2021470,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742365/1/?bust=1629627967&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742365/1/?bust=1629627967&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742365/1/?bust=1629627967&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742365/1/?bust=1629627967,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742365/1/?bust=1629627967&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742365/1/?bust=1629627967&width=450,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742365/1/?bust=1629627967&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742365/1/?bust=1629627967,adoptable,2021-08-22T10:15:04+0000,2021-08-22T10:15:04+0000,,adoptions@thecatterycc.org,(361) 854-6369,1237 Saratoga,,Corpus Christi,TX,78414,US,/v2/animals/52742365,/v2/types/cat,/v2/organizations/tx1135,,,,,,,,,,,,,,,,,
52742367,TX1135,https://www.petfinder.com/cat/bb-52742367/tx/corpus-christi/the-cattery-tx1135/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,false,false,,,,Adult,Female,Small,,true,false,false,false,true,,,,BB,,S2021448,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742367/1/?bust=1629627999&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742367/1/?bust=1629627999&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742367/1/?bust=1629627999&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742367/1/?bust=1629627999,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742367/1/?bust=1629627999&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742367/1/?bust=1629627999&width=450,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742367/1/?bust=1629627999&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742367/1/?bust=1629627999,adoptable,2021-08-22T10:15:04+0000,2021-08-22T10:15:04+0000,,adoptions@thecatterycc.org,(361) 854-6369,1237 Saratoga,,Corpus Christi,TX,78414,US,/v2/animals/52742367,/v2/types/cat,/v2/organizations/tx1135,,,,,,,,,,,,,,,,,
52742369,TX1135,https://www.petfinder.com/cat/tati-52742369/tx/corpus-christi/the-cattery-tx1135/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,false,false,,,,Adult,Female,Medium,,true,false,false,false,true,,,,Tati,,S2018010,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742369/1/?bust=1629628024&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742369/1/?bust=1629628024&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742369/1/?bust=1629628024&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742369/1/?bust=1629628024,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742369/1/?bust=1629628024&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742369/1/?bust=1629628024&width=450,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742369/1/?bust=1629628024&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742369/1/?bust=1629628024,adoptable,2021-08-22T10:15:04+0000,2021-08-22T10:15:04+0000,,adoptions@thecatterycc.org,(361) 854-6369,1237 Saratoga,,Corpus Christi,TX,78414,US,/v2/animals/52742369,/v2/types/cat,/v2/organizations/tx1135,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742369/2/?bust=1629628005&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742369/2/?bust=1629628005&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742369/2/?bust=1629628005&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742369/2/?bust=1629628005,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742369/3/?bust=1629628009&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742369/3/?bust=1629628009&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742369/3/?bust=1629628009&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742369/3/?bust=1629628009,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742369/4/?bust=1629628036&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742369/4/?bust=1629628036&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742369/4/?bust=1629628036&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742369/4/?bust=1629628036,,,,,
52742363,MO11,https://www.petfinder.com/dog/sasquatch-anderson-cooper-52742363/mo/washburn/haven-of-the-ozarks-animal-sanctuary-mo11/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Australian Shepherd,,true,false,,,,Young,Male,Medium,,true,true,,false,true,,,,Sasquatch (Anderson Cooper),Sasquatch is another of our pups found down the road in a horrible make-shift cage. These puppies were incredibly shy...,D20038,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742363/1/?bust=1629627934&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742363/1/?bust=1629627934&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742363/1/?bust=1629627934&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742363/1/?bust=1629627934,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742363/1/?bust=1629627934&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742363/1/?bust=1629627934&width=450,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742363/1/?bust=1629627934&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742363/1/?bust=1629627934,adoptable,2021-08-22T10:13:13+0000,2021-08-22T10:13:13+0000,,havenozarksanctuary@gmail.com,(417) 835-3647,9617 Farm Road 2190,,Washburn,MO,65772,US,/v2/animals/52742363,/v2/types/dog,/v2/organizations/mo11,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742363/2/?bust=1629627993&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742363/2/?bust=1629627993&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742363/2/?bust=1629627993&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742363/2/?bust=1629627993,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742363/3/?bust=1629628029&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742363/3/?bust=1629628029&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742363/3/?bust=1629628029&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742363/3/?bust=1629628029,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742363/4/?bust=1629628017&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742363/4/?bust=1629628017&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742363/4/?bust=1629628017&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742363/4/?bust=1629628017,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742363/5/?bust=1629628020&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742363/5/?bust=1629628020&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742363/5/?bust=1629628020&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742363/5/?bust=1629628020,
52742362,TN492,https://www.petfinder.com/dog/burke-52742362/tn/camden/benton-county-animal-shelter-tn492/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Pit Bull Terrier,,false,false,,,,Adult,Male,Medium,,false,false,,false,false,,,,Burke,,F081921108,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742362/1/?bust=1629628032&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742362/1/?bust=1629628032&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742362/1/?bust=1629628032&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742362/1/?bust=1629628032,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742362/1/?bust=1629628032&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742362/1/?bust=1629628032&width=450,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742362/1/?bust=1629628032&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742362/1/?bust=1629628032,adoptable,2021-08-22T10:13:12+0000,2021-08-22T10:13:12+0000,,BCAS@bentoncountytn.gov,(731) 584-3152,915 Divider Natchez Trace,,Camden,TN,38320,US,/v2/animals/52742362,/v2/types/dog,/v2/organizations/tn492,,,,,,,,,,,,,,,,,
52742361,FL746,https://www.petfinder.com/cat/rudolf-52742361/fl/sebastian/h-dot-al-dot-o-no-kill-rescue-fl746/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,false,false,,,,Adult,Male,Large,,true,false,true,false,true,,,,Rudolf,Looking for a distinguished gentleman to add love to your home life? Look no further. Our handsome Rudolf is all...,C2019785,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742361/1/?bust=1629627925&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742361/1/?bust=1629627925&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742361/1/?bust=1629627925&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742361/1/?bust=1629627925,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742361/1/?bust=1629627925&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742361/1/?bust=1629627925&width=450,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742361/1/?bust=1629627925&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742361/1/?bust=1629627925,adoptable,2021-08-22T10:12:01+0000,2021-08-22T10:12:01+0000,,halonokillrescue@gmail.com,(772) 589-7297,710 Jackson St,,Sebastian,FL,32958,US,/v2/animals/52742361,/v2/types/cat,/v2/organizations/fl746,,,,,,,,,,,,,,,,,
52742359,MO523,https://www.petfinder.com/cat/clark-aka-clark-kent-52742359/mo/ballwin/st-louis-pet-rescue-mo523/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,false,false,,,,Baby,Male,Small,,false,false,false,false,false,,,,Clark aka Clark Kent,"Hi! I&amp;#39;m Clark Kent looking for a forever home with a sibling. We are a bonded group, so I&amp;#39;d like...",C-21-03-234,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742359/1/?bust=1629627908&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742359/1/?bust=1629627908&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742359/1/?bust=1629627908&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742359/1/?bust=1629627908,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742359/1/?bust=1629627908&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742359/1/?bust=1629627908&width=450,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742359/1/?bust=1629627908&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742359/1/?bust=1629627908,adoptable,2021-08-22T10:11:52+0000,2021-08-22T10:11:52+0000,,contact@stlpetrescue.com,(314) 827-5543,,,Ballwin,MO,63011,US,/v2/animals/52742359,/v2/types/cat,/v2/organizations/mo523,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742359/2/?bust=1629627890&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742359/2/?bust=1629627890&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742359/2/?bust=1629627890&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742359/2/?bust=1629627890,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742359/3/?bust=1629627833&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742359/3/?bust=1629627833&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742359/3/?bust=1629627833&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52742359/3/?bust=1629627833,,,,,,,,,
