id,organization_id,url,type,species,breeds/primary,breeds/secondary,breeds/mixed,breeds/unknown,colors/primary,colors/secondary,colors/tertiary,age,gender,size,coat,attributes/spayed_neutered,attributes/house_trained,attributes/declawed,attributes/special_needs,attributes/shots_current,environment/children,environment/dogs,environment/cats,name,description,organization_animal_id,photos/0/small,photos/0/medium,photos/0/large,photos/0/full,primary_photo_cropped/small,primary_photo_cropped/medium,primary_photo_cropped/large,primary_photo_cropped/full,status,status_changed_at,published_at,distance,contact/email,contact/phone,contact/address/address1,contact/address/address2,contact/address/city,contact/address/state,contact/address/postcode,contact/address/country,_links/self/href,_links/type/href,_links/organization/href,photos/1/small,photos/1/medium,photos/1/large,photos/1/full,photos/2/small,photos/2/medium,photos/2/large,photos/2/full,primary_photo_cropped
52742348,MS24,https:\/\/www.petfinder.com\/cat\/mandi-52742348\/ms\/gautier\/jackson-county-animal-shelter-ms24\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,,,,,,Baby,Female,Small,,,,,,,,,,Mandi,By adopting me today you will save the life of two pets -- you&amp;#39;ll save me and that will make...,N2021184,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742348\/1\/?bust=1629627715&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742348\/1\/?bust=1629627715&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742348\/1\/?bust=1629627715&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742348\/1\/?bust=1629627715,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742348\/1\/?bust=1629627715&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742348\/1\/?bust=1629627715&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742348\/1\/?bust=1629627715&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742348\/1\/?bust=1629627715,adoptable,2021-08-22T10:09:15+0000,2021-08-22T10:09:15+0000,,Marion_Mallette@co.jackson.ms.us,(228) 497-6350,4400 Audubon Lane,,Gautier,MS,39553,US,\/v2\/animals\/52742348,\/v2\/types\/cat,\/v2\/organizations\/ms24,,,,,,,,,
52742344,MS24,https:\/\/www.petfinder.com\/cat\/dandi-52742344\/ms\/gautier\/jackson-county-animal-shelter-ms24\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,,,,,,Baby,Female,Small,,,,,,,,,,Dandi,By adopting me today you will save the life of two pets -- you&amp;#39;ll save me and that will make...,N2021183,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742344\/1\/?bust=1629627712&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742344\/1\/?bust=1629627712&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742344\/1\/?bust=1629627712&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742344\/1\/?bust=1629627712,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742344\/1\/?bust=1629627712&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742344\/1\/?bust=1629627712&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742344\/1\/?bust=1629627712&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742344\/1\/?bust=1629627712,adoptable,2021-08-22T10:09:15+0000,2021-08-22T10:09:15+0000,,Marion_Mallette@co.jackson.ms.us,(228) 497-6350,4400 Audubon Lane,,Gautier,MS,39553,US,\/v2\/animals\/52742344,\/v2\/types\/cat,\/v2\/organizations\/ms24,,,,,,,,,
52742346,MS24,https:\/\/www.petfinder.com\/cat\/sandi-52742346\/ms\/gautier\/jackson-county-animal-shelter-ms24\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,,,,,,Baby,Female,Small,,,,,,,,,,Sandi,By adopting me today you will save the life of two pets -- you&amp;#39;ll save me and that will make...,N2021185,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742346\/1\/?bust=1629627747&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742346\/1\/?bust=1629627747&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742346\/1\/?bust=1629627747&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742346\/1\/?bust=1629627747,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742346\/1\/?bust=1629627747&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742346\/1\/?bust=1629627747&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742346\/1\/?bust=1629627747&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742346\/1\/?bust=1629627747,adoptable,2021-08-22T10:09:15+0000,2021-08-22T10:09:15+0000,,Marion_Mallette@co.jackson.ms.us,(228) 497-6350,4400 Audubon Lane,,Gautier,MS,39553,US,\/v2\/animals\/52742346,\/v2\/types\/cat,\/v2\/organizations\/ms24,,,,,,,,,
52742347,MS24,https:\/\/www.petfinder.com\/cat\/randi-52742347\/ms\/gautier\/jackson-county-animal-shelter-ms24\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,,,,,,Baby,Male,Small,,,,,,,,,,Randi,By adopting me today you will save the life of two pets -- you&amp;#39;ll save me and that will make...,N2021186,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742347\/1\/?bust=1629627779&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742347\/1\/?bust=1629627779&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742347\/1\/?bust=1629627779&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742347\/1\/?bust=1629627779,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742347\/1\/?bust=1629627779&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742347\/1\/?bust=1629627779&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742347\/1\/?bust=1629627779&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742347\/1\/?bust=1629627779,adoptable,2021-08-22T10:09:15+0000,2021-08-22T10:09:15+0000,,Marion_Mallette@co.jackson.ms.us,(228) 497-6350,4400 Audubon Lane,,Gautier,MS,39553,US,\/v2\/animals\/52742347,\/v2\/types\/cat,\/v2\/organizations\/ms24,,,,,,,,,
52742345,MS24,https:\/\/www.petfinder.com\/cat\/cookie-52742345\/ms\/gautier\/jackson-county-animal-shelter-ms24\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,,,,,,Adult,Male,Medium,,,,,,,,,,Cookie,By adopting me today you will save the life of two pets -- you&amp;#39;ll save me and that will make...,O2021499,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742345\/1\/?bust=1629627780&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742345\/1\/?bust=1629627780&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742345\/1\/?bust=1629627780&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742345\/1\/?bust=1629627780,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742345\/1\/?bust=1629627780&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742345\/1\/?bust=1629627780&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742345\/1\/?bust=1629627780&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742345\/1\/?bust=1629627780,adoptable,2021-08-22T10:09:15+0000,2021-08-22T10:09:15+0000,,Marion_Mallette@co.jackson.ms.us,(228) 497-6350,4400 Audubon Lane,,Gautier,MS,39553,US,\/v2\/animals\/52742345,\/v2\/types\/cat,\/v2\/organizations\/ms24,,,,,,,,,
52742343,CT291,https:\/\/www.petfinder.com\/cat\/28-pumpkin-52742343\/ct\/windsor\/connecticut-cat-connection-ct291\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,,,,,,Adult,Male,Medium,,,,,,,,,,28-Pumpkin,"If you are looking for a playful and attention seeking cat, you will want to meet Pumpkin. He is 3...",S2021058,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742343\/1\/?bust=1629627728&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742343\/1\/?bust=1629627728&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742343\/1\/?bust=1629627728&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742343\/1\/?bust=1629627728,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742343\/1\/?bust=1629627728&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742343\/1\/?bust=1629627728&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742343\/1\/?bust=1629627728&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742343\/1\/?bust=1629627728,adoptable,2021-08-22T10:08:42+0000,2021-08-22T10:08:42+0000,,adoptions@ctcatconnection.org,,40 Stevens Mill Rd,,Windsor,CT,06095,US,\/v2\/animals\/52742343,\/v2\/types\/cat,\/v2\/organizations\/ct291,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742343\/2\/?bust=1629627708&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742343\/2\/?bust=1629627708&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742343\/2\/?bust=1629627708&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742343\/2\/?bust=1629627708,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742343\/3\/?bust=1629627716&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742343\/3\/?bust=1629627716&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742343\/3\/?bust=1629627716&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742343\/3\/?bust=1629627716,
52742340,OH1191,https:\/\/www.petfinder.com\/cat\/bodie-52742340\/oh\/port-clinton\/the-humane-society-of-ottawa-county-oh1191\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,,,,,,Baby,Male,Small,,,,,,,,,,Bodie,,S2021041,,,,,,,,,adoptable,2021-08-22T10:08:29+0000,2021-08-22T10:08:29+0000,,HSOCpets@gmail.com,(419) 734-5191,2424 E. Sand Rd.,,Port Clinton,OH,43452,US,\/v2\/animals\/52742340,\/v2\/types\/cat,\/v2\/organizations\/oh1191,,,,,,,,,
52742341,OH1191,https:\/\/www.petfinder.com\/cat\/brady-52742341\/oh\/port-clinton\/the-humane-society-of-ottawa-county-oh1191\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,,,,,,Baby,Male,Small,,,,,,,,,,Brady,,S2021042,,,,,,,,,adoptable,2021-08-22T10:08:29+0000,2021-08-22T10:08:29+0000,,HSOCpets@gmail.com,(419) 734-5191,2424 E. Sand Rd.,,Port Clinton,OH,43452,US,\/v2\/animals\/52742341,\/v2\/types\/cat,\/v2\/organizations\/oh1191,,,,,,,,,
52742342,OH1191,https:\/\/www.petfinder.com\/cat\/big-ben-52742342\/oh\/port-clinton\/the-humane-society-of-ottawa-county-oh1191\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Medium Hair,,,,,,,Young,Male,Large,,,,,,,,,,(Big) Ben,,S2021045,,,,,,,,,adoptable,2021-08-22T10:08:29+0000,2021-08-22T10:08:29+0000,,HSOCpets@gmail.com,(419) 734-5191,2424 E. Sand Rd.,,Port Clinton,OH,43452,US,\/v2\/animals\/52742342,\/v2\/types\/cat,\/v2\/organizations\/oh1191,,,,,,,,,
52742333,NJ44,https:\/\/www.petfinder.com\/cat\/gray-52742333\/nj\/vineland\/south-jersey-regional-animal-shelter-nj44\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,,,,,,Baby,Male,Small,,,,,,,,,,Gray,For more information about this animal or our adoption process please visit our website at SouthJerseyRegionalAnimalShelter.org,S49547a,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742333\/1\/?bust=1629627623&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742333\/1\/?bust=1629627623&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742333\/1\/?bust=1629627623&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742333\/1\/?bust=1629627623,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742333\/1\/?bust=1629627623&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742333\/1\/?bust=1629627623&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742333\/1\/?bust=1629627623&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742333\/1\/?bust=1629627623,adoptable,2021-08-22T10:08:12+0000,2021-08-22T10:08:12+0000,,adoptions@southjerseyregionalanimalshelter.org,(856) 691-1500,1244 North Delsea Drive,,Vineland,NJ,08360,US,\/v2\/animals\/52742333,\/v2\/types\/cat,\/v2\/organizations\/nj44,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742333\/2\/?bust=1629627662&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742333\/2\/?bust=1629627662&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742333\/2\/?bust=1629627662&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742333\/2\/?bust=1629627662,,,,,
