id,organization_id,url,type,species,breeds/primary,breeds/secondary,breeds/mixed,breeds/unknown,colors/primary,colors/secondary,colors/tertiary,age,gender,size,coat,attributes/spayed_neutered,attributes/house_trained,attributes/declawed,attributes/special_needs,attributes/shots_current,environment/children,environment/dogs,environment/cats,name,description,organization_animal_id,primary_photo_cropped,status,status_changed_at,published_at,distance,contact/email,contact/phone,contact/address/address1,contact/address/address2,contact/address/city,contact/address/state,contact/address/postcode,contact/address/country,_links/self/href,_links/type/href,_links/organization/href,photos/0/small,photos/0/medium,photos/0/large,photos/0/full,primary_photo_cropped/small,primary_photo_cropped/medium,primary_photo_cropped/large,primary_photo_cropped/full,tags/0,tags/1,tags/2,tags/3,tags/4,photos/1/small,photos/1/medium,photos/1/large,photos/1/full,photos/2/small,photos/2/medium,photos/2/large,photos/2/full,photos/3/small,photos/3/medium,photos/3/large,photos/3/full,photos/4/small,photos/4/medium,photos/4/large,photos/4/full,photos/5/small,photos/5/medium,photos/5/large,photos/5/full,videos/0/embed,tags/5,tags/6
52739355,CA611,https:\/\/www.petfinder.com\/small-furry\/shirley-52739355\/ca\/napa\/napa-county-animal-shelter-ca611\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Small & Furry,Guinea Pig,Guinea Pig,,,,,,,Adult,Female,Medium,,,,,,,,,,Shirley,Primary Color: Black Secondary Color: Brown,39288,,adoptable,2021-08-21T21:16:10+0000,2021-08-21T21:16:10+0000,,animal.shelter@countyofnapa.org,(707) 253-4382,942 Hartle Ct.,,Napa,CA,94559,US,\/v2\/animals\/52739355,\/v2\/types\/small-furry,\/v2\/organizations\/ca611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52739354,CA912,https:\/\/www.petfinder.com\/dog\/socks-52739354\/ca\/milpitas\/humane-society-silicon-valley-ca912\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Mixed Breed,,,,,,,Baby,Female,Small,,,,,,,,,,Socks,"Socks is beauty and brains! This clever girl is shy at first, but after a bit she&amp;#39;ll show you how...",188416,,adoptable,2021-08-21T21:16:08+0000,2021-08-21T21:16:08+0000,,adoptions@hssv.org,(408) 262-2133,901 Ames Ave.,,Milpitas,CA,95035,US,\/v2\/animals\/52739354,\/v2\/types\/dog,\/v2\/organizations\/ca912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52739352,AZ583,https:\/\/www.petfinder.com\/dog\/daisy-52739352\/az\/scottsdale\/better-days-rescue-az583\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Australian Shepherd,Labrador Retriever,,,,,,Young,Female,Medium,,,,,,,,,,DAISY,"You can fill out an adoption application online on our official website.

**Daisy will be placed in the Phoenix metro...",15715370-D200013,,adoptable,2021-08-21T21:16:06+0000,2021-08-21T21:16:06+0000,,info@betterdaysrescue.org,,P.O. Box 5374,,Scottsdale,AZ,85261,US,\/v2\/animals\/52739352,\/v2\/types\/dog,\/v2\/organizations\/az583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52739353,CA1074,https:\/\/www.petfinder.com\/cat\/wavy-52739353\/ca\/mission-hills\/best-friends-lifesaving-center-ca1074\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,,,Black & White \/ Tuxedo,,,Adult,Female,Medium,,,,,,,,,,Wavy,,17124730,,adoptable,2021-08-21T21:16:06+0000,2021-08-21T21:16:06+0000,,AdoptLA@bestfriends.org,(818) 643-3989,15321 Brand Boulevard,,Mission Hills,CA,91345,US,\/v2\/animals\/52739353,\/v2\/types\/cat,\/v2\/organizations\/ca1074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52739350,AL484,https:\/\/www.petfinder.com\/cat\/marco-star-52739350\/al\/huntsville\/cattyshack-inc-al484\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,,,White,Orange \/ Red,,Baby,Male,Small,,,,,,,,,,Marco*,"Outgoing, spunky and cuddly, Marco is the perfect mix of kitten and pre-teen. He enjoys playing with any of the...",CTYS-A-221,,adoptable,2021-08-21T21:15:47+0000,2021-08-21T21:15:47+0000,,info@cattyshackhuntsville.org,(256) 203-4284,,,Huntsville,AL,35805,US,\/v2\/animals\/52739350,\/v2\/types\/cat,\/v2\/organizations\/al484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52739349,AL484,https:\/\/www.petfinder.com\/cat\/polo-star-52739349\/al\/huntsville\/cattyshack-inc-al484\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,,,Orange \/ Red,White,,Baby,Male,Medium,,,,,,,,,,Polo*,This is Polo! He is a very cuddly little guy. Also likes to play until he&amp;#39;s out of breath! Please...,CTYS-A-222,,adoptable,2021-08-21T21:15:46+0000,2021-08-21T21:15:46+0000,,info@cattyshackhuntsville.org,(256) 203-4284,,,Huntsville,AL,35805,US,\/v2\/animals\/52739349,\/v2\/types\/cat,\/v2\/organizations\/al484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52739348,AZ180,https:\/\/www.petfinder.com\/dog\/red-52739348\/az\/casa-grande\/valley-humane-society-inc-az180\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Australian Cattle Dog \/ Blue Heeler,,,,Merle (Red),,,Baby,Female,Medium,Short,,,,,,,,,Red,"Red is a happy and playful Red Heeler, just 4 months old.  She loves to play with humans and cuddle...",,,adoptable,2021-08-21T21:15:30+0000,2021-08-21T21:15:30+0000,,vhsmail@valleyhumane.net,(520) 836-0904,15699 W. Aniceto Rd.,PO Box 10480,Casa Grande,AZ,85230,US,\/v2\/animals\/52739348,\/v2\/types\/dog,\/v2\/organizations\/az180,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739348\/1\/?bust=1629580529&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739348\/1\/?bust=1629580529&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739348\/1\/?bust=1629580529&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739348\/1\/?bust=1629580529,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739348\/1\/?bust=1629580529&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739348\/1\/?bust=1629580529&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739348\/1\/?bust=1629580529&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739348\/1\/?bust=1629580529,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52739347,GA336,https:\/\/www.petfinder.com\/cat\/macaroni-and-cheese-m-f-pair-52739347\/ga\/lawrenceville\/society-of-humane-friends-of-ga-inc-ga336\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,Tabby,,,Orange & White,Tabby (Orange \/ Red),,Baby,Female,Medium,Short,,,,,,,,,Macaroni and Cheese (M\/F pair),Who doesn’t love Mac and Cheese? Ten-week-old Macaroni and his sister Cheese are a perfect pair who cannot be separated....,,,adoptable,2021-08-21T21:15:20+0000,2021-08-21T21:15:20+0000,,sohfga@gmail.com,,,,Lawrenceville,GA,30046,US,\/v2\/animals\/52739347,\/v2\/types\/cat,\/v2\/organizations\/ga336,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739347\/1\/?bust=1629580517&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739347\/1\/?bust=1629580517&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739347\/1\/?bust=1629580517&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739347\/1\/?bust=1629580517,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739347\/1\/?bust=1629580517&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739347\/1\/?bust=1629580517&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739347\/1\/?bust=1629580517&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739347\/1\/?bust=1629580517,Friendly,Affectionate,Funny,Independent,Curious,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739347\/2\/?bust=1629580518&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739347\/2\/?bust=1629580518&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739347\/2\/?bust=1629580518&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739347\/2\/?bust=1629580518,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739347\/3\/?bust=1629580518&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739347\/3\/?bust=1629580518&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739347\/3\/?bust=1629580518&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739347\/3\/?bust=1629580518,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739347\/4\/?bust=1629580519&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739347\/4\/?bust=1629580519&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739347\/4\/?bust=1629580519&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739347\/4\/?bust=1629580519,,,,,,,,,,,
52739346,TX2339,https:\/\/www.petfinder.com\/cat\/jade-52739346\/tx\/austin\/new-hope-animal-rescue-nfp-tx2339\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Tortoiseshell,Calico,,,Calico,Tortoiseshell,White,Adult,Female,Medium,Short,,,,,,,,,Jade,"I am SO AFFECTIONATE, playful, social, a real cuddle bug and I love my tiny stuffed gorilla and cat tower....",,,adoptable,2021-08-21T21:14:48+0000,2021-08-21T21:14:48+0000,,contact@newhopesaveslives.org,,P.O. Box 40443,,Austin,TX,78704,US,\/v2\/animals\/52739346,\/v2\/types\/cat,\/v2\/organizations\/tx2339,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739346\/1\/?bust=1629580486&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739346\/1\/?bust=1629580486&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739346\/1\/?bust=1629580486&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739346\/1\/?bust=1629580486,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739346\/1\/?bust=1629580486&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739346\/1\/?bust=1629580486&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739346\/1\/?bust=1629580486&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739346\/1\/?bust=1629580486,Affectionate,Playful,Social,Cuddle bug,Brave,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739346\/2\/?bust=1629580486&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739346\/2\/?bust=1629580486&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739346\/2\/?bust=1629580486&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739346\/2\/?bust=1629580486,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739346\/3\/?bust=1629580487&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739346\/3\/?bust=1629580487&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739346\/3\/?bust=1629580487&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739346\/3\/?bust=1629580487,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739346\/4\/?bust=1629580487&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739346\/4\/?bust=1629580487&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739346\/4\/?bust=1629580487&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739346\/4\/?bust=1629580487,,,,,,,,,,,
52739345,NJ892,https:\/\/www.petfinder.com\/dog\/calypso-52739345\/nj\/collingswood\/woof-love-animal-rescue-inc-nj892\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Australian Shepherd,Border Collie,,,Yellow \/ Tan \/ Blond \/ Fawn,White \/ Cream,,Baby,Female,Medium,Short,,,,,,,,,Calypso,Meet Calypso! She’s a 9 week old sweetheart who weighs in at about 8 lbs. Her looks suggest that she...,,,adoptable,2021-08-21T21:14:26+0000,2021-08-21T21:14:26+0000,,info4WoofLoveRescue@gmail.com,,,,Collingswood,NJ,08108,US,\/v2\/animals\/52739345,\/v2\/types\/dog,\/v2\/organizations\/nj892,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739345\/1\/?bust=1629580465&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739345\/1\/?bust=1629580465&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739345\/1\/?bust=1629580465&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739345\/1\/?bust=1629580465,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739345\/1\/?bust=1629580465&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739345\/1\/?bust=1629580465&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739345\/1\/?bust=1629580465&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739345\/1\/?bust=1629580465,,,,,,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739345\/2\/?bust=1629580465&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739345\/2\/?bust=1629580465&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739345\/2\/?bust=1629580465&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739345\/2\/?bust=1629580465,,,,,,,,,,,,,,,,,,,
