id,organization_id,url,type,species,breeds/primary,breeds/secondary,breeds/mixed,breeds/unknown,colors/primary,colors/secondary,colors/tertiary,age,gender,size,coat,attributes/spayed_neutered,attributes/house_trained,attributes/declawed,attributes/special_needs,attributes/shots_current,environment/children,environment/dogs,environment/cats,tags/0,tags/1,tags/2,tags/3,tags/4,tags/5,tags/6,name,description,organization_animal_id,photos/0/small,photos/0/medium,photos/0/large,photos/0/full,primary_photo_cropped/small,primary_photo_cropped/medium,primary_photo_cropped/large,primary_photo_cropped/full,status,status_changed_at,published_at,distance,contact/email,contact/phone,contact/address/address1,contact/address/address2,contact/address/city,contact/address/state,contact/address/postcode,contact/address/country,_links/self/href,_links/type/href,_links/organization/href,photos/1/small,photos/1/medium,photos/1/large,photos/1/full,photos/2/small,photos/2/medium,photos/2/large,photos/2/full,photos/3/small,photos/3/medium,photos/3/large,photos/3/full,photos/4/small,photos/4/medium,photos/4/large,photos/4/full,photos/5/small,photos/5/medium,photos/5/large,photos/5/full,primary_photo_cropped
52739336,PA413,https:\/\/www.petfinder.com\/dog\/gia-52739336\/pa\/saint-marys\/elk-county-humane-society-pa413\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Catahoula Leopard Dog,,,,Gray \/ Blue \/ Silver,,,Young,Female,Medium,Short,,,,,,,,,Friendly,Affectionate,Gentle,Quiet,Anxious,Smart,Loyal,Gia,"Gia is a 2 year old, catahoula mix.

Nothing bothers this sweet girl.  Gia is very calm and tolerant of...",,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739336\/1\/?bust=1629580254&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739336\/1\/?bust=1629580254&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739336\/1\/?bust=1629580254&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739336\/1\/?bust=1629580254,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739336\/1\/?bust=1629580254&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739336\/1\/?bust=1629580254&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739336\/1\/?bust=1629580254&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739336\/1\/?bust=1629580254,adoptable,2021-08-21T21:10:56+0000,2021-08-21T21:10:56+0000,,management@echumanesociety.org,(814) 834-3247,1029 E. Eschbach Road,,Saint Marys,PA,15857,US,\/v2\/animals\/52739336,\/v2\/types\/dog,\/v2\/organizations\/pa413,,,,,,,,,,,,,,,,,,,,,
52739334,NY392,https:\/\/www.petfinder.com\/cat\/harry-52739334\/ny\/syracuse\/cny-cat-coalition-ny392\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Siamese,Snowshoe,,,Cream \/ Ivory,Chocolate Point,,Baby,Male,Medium,Short,,,,,,,,,,,,,,,,Harry,Harry is an active and friendly 4- month-old Siamese\/snowshoe (has white feet). He and his 9 siblings were rescued from...,,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739334\/1\/?bust=1629580241&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739334\/1\/?bust=1629580241&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739334\/1\/?bust=1629580241&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739334\/1\/?bust=1629580241,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739334\/1\/?bust=1629580241&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739334\/1\/?bust=1629580241&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739334\/1\/?bust=1629580241&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739334\/1\/?bust=1629580241,adoptable,2021-08-21T21:10:46+0000,2021-08-21T21:10:46+0000,,cnycc@outlook.com,(315) 289-2287,PO Box 6182,,Syracuse,NY,13217,US,\/v2\/animals\/52739334,\/v2\/types\/cat,\/v2\/organizations\/ny392,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739334\/2\/?bust=1629580242&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739334\/2\/?bust=1629580242&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739334\/2\/?bust=1629580242&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739334\/2\/?bust=1629580242,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739334\/3\/?bust=1629580243&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739334\/3\/?bust=1629580243&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739334\/3\/?bust=1629580243&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739334\/3\/?bust=1629580243,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739334\/4\/?bust=1629580244&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739334\/4\/?bust=1629580244&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739334\/4\/?bust=1629580244&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739334\/4\/?bust=1629580244,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739334\/5\/?bust=1629580244&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739334\/5\/?bust=1629580244&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739334\/5\/?bust=1629580244&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739334\/5\/?bust=1629580244,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739334\/6\/?bust=1629580245&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739334\/6\/?bust=1629580245&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739334\/6\/?bust=1629580245&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739334\/6\/?bust=1629580245,
52739331,NY1505,https:\/\/www.petfinder.com\/rabbit\/booboo-52739331\/ny\/gansevoort\/hop-on-home-rabbit-sanctuary-inc-ny1505\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Rabbit,Rabbit,Bunny Rabbit,,,,,,,Baby,Female,Medium,,,,,,,,,,,,,,,,,BooBoo,,HOH-A-105,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739331\/1\/?bust=1629580828&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739331\/1\/?bust=1629580828&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739331\/1\/?bust=1629580828&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739331\/1\/?bust=1629580828,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739331\/1\/?bust=1629580828&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739331\/1\/?bust=1629580828&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739331\/1\/?bust=1629580828&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739331\/1\/?bust=1629580828,adoptable,2021-08-21T21:10:09+0000,2021-08-21T21:10:09+0000,,info@hoponhome.org,,,,Gansevoort,NY,12831,US,\/v2\/animals\/52739331,\/v2\/types\/rabbit,\/v2\/organizations\/ny1505,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739331\/2\/?bust=1629580835&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739331\/2\/?bust=1629580835&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739331\/2\/?bust=1629580835&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739331\/2\/?bust=1629580835,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739331\/3\/?bust=1629580841&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739331\/3\/?bust=1629580841&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739331\/3\/?bust=1629580841&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739331\/3\/?bust=1629580841,,,,,,,,,,,,,
52739333,NY1505,https:\/\/www.petfinder.com\/rabbit\/roscoe-52739333\/ny\/gansevoort\/hop-on-home-rabbit-sanctuary-inc-ny1505\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Rabbit,Rabbit,Polish,,,,,,,Adult,Male,Medium,,,,,,,,,,,,,,,,,Roscoe,"Looking for a little bunny with a big personality? Roscoe weighs in at 2lbs!

He is 4 yrs old and...",HOH-A-91,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739333\/1\/?bust=1629580828&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739333\/1\/?bust=1629580828&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739333\/1\/?bust=1629580828&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739333\/1\/?bust=1629580828,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739333\/1\/?bust=1629580828&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739333\/1\/?bust=1629580828&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739333\/1\/?bust=1629580828&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739333\/1\/?bust=1629580828,adoptable,2021-08-21T21:10:09+0000,2021-08-21T21:10:09+0000,,info@hoponhome.org,,,,Gansevoort,NY,12831,US,\/v2\/animals\/52739333,\/v2\/types\/rabbit,\/v2\/organizations\/ny1505,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739333\/2\/?bust=1629580835&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739333\/2\/?bust=1629580835&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739333\/2\/?bust=1629580835&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739333\/2\/?bust=1629580835,,,,,,,,,,,,,,,,,
52739332,NY1505,https:\/\/www.petfinder.com\/rabbit\/hector-52739332\/ny\/gansevoort\/hop-on-home-rabbit-sanctuary-inc-ny1505\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Rabbit,Rabbit,New Zealand,,,,,,,Young,Male,Medium,,,,,,,,,,,,,,,,,Hector,Meet Hector. This inquisitive little guy is neutered and 10 months old. He is a bit timid at first and...,HOH-A-45,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739332\/1\/?bust=1629580827&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739332\/1\/?bust=1629580827&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739332\/1\/?bust=1629580827&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739332\/1\/?bust=1629580827,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739332\/1\/?bust=1629580827&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739332\/1\/?bust=1629580827&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739332\/1\/?bust=1629580827&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739332\/1\/?bust=1629580827,adoptable,2021-08-21T21:10:09+0000,2021-08-21T21:10:09+0000,,info@hoponhome.org,,,,Gansevoort,NY,12831,US,\/v2\/animals\/52739332,\/v2\/types\/rabbit,\/v2\/organizations\/ny1505,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739332\/2\/?bust=1629580836&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739332\/2\/?bust=1629580836&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739332\/2\/?bust=1629580836&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739332\/2\/?bust=1629580836,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739332\/3\/?bust=1629580829&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739332\/3\/?bust=1629580829&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739332\/3\/?bust=1629580829&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739332\/3\/?bust=1629580829,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739332\/4\/?bust=1629580830&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739332\/4\/?bust=1629580830&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739332\/4\/?bust=1629580830&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739332\/4\/?bust=1629580830,,,,,,,,,
52739329,MI252,https:\/\/www.petfinder.com\/cat\/gizmo-52739329\/mi\/sault-sainte-marie\/chippewa-county-animal-control-shelter-mi252\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Medium Hair,,,,Black,,,Young,Male,Medium,Medium,,,,,,,,,Friendly,,,,,,,Gizmo,"NOTE: Having a little problem posting pictures, please check back. Gizmo came to the shelter with his brother Komanji, and...",,,,,,,,,,adoptable,2021-08-21T21:10:06+0000,2021-08-21T21:10:06+0000,,ccanimalshelter@att.net,(906) 632-2519,3660 South Mackinac Trail,,Sault Sainte Marie,MI,49783,US,\/v2\/animals\/52739329,\/v2\/types\/cat,\/v2\/organizations\/mi252,,,,,,,,,,,,,,,,,,,,,
52739330,NJ892,https:\/\/www.petfinder.com\/dog\/nyx-52739330\/nj\/collingswood\/woof-love-animal-rescue-inc-nj892\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Border Collie,Australian Shepherd,,,"Tricolor (Brown, Black, & White)",,,Baby,Male,Medium,Short,,,,,,,,,,,,,,,,Nyx,Meet Nyx! This confident little man is a 9 week old pup that weighs in at about 8 lbs. His...,,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739330\/1\/?bust=1629580201&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739330\/1\/?bust=1629580201&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739330\/1\/?bust=1629580201&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739330\/1\/?bust=1629580201,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739330\/1\/?bust=1629580201&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739330\/1\/?bust=1629580201&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739330\/1\/?bust=1629580201&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739330\/1\/?bust=1629580201,adoptable,2021-08-21T21:10:03+0000,2021-08-21T21:10:03+0000,,info4WoofLoveRescue@gmail.com,,,,Collingswood,NJ,08108,US,\/v2\/animals\/52739330,\/v2\/types\/dog,\/v2\/organizations\/nj892,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739330\/2\/?bust=1629580201&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739330\/2\/?bust=1629580201&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739330\/2\/?bust=1629580201&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739330\/2\/?bust=1629580201,,,,,,,,,,,,,,,,,
52739327,NE04,https:\/\/www.petfinder.com\/cat\/fleur-52739327\/ne\/lincoln\/the-cat-house-ne04\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,,,Torbie,,,Adult,Female,Medium,Short,,,,,,,,,,,,,,,,Fleur,"Fleur is an exceptionally affectionate cat!  She adores dogs, but may not be the best choice with small human children....",,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739327\/1\/?bust=1629580119&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739327\/1\/?bust=1629580119&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739327\/1\/?bust=1629580119&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739327\/1\/?bust=1629580119,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739327\/1\/?bust=1629580119&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739327\/1\/?bust=1629580119&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739327\/1\/?bust=1629580119&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739327\/1\/?bust=1629580119,adoptable,2021-08-21T21:08:40+0000,2021-08-21T21:08:40+0000,,adoptions@thecathouse.org,(402) 441-9593,P O Box 23145,,Lincoln,NE,68542,US,\/v2\/animals\/52739327,\/v2\/types\/cat,\/v2\/organizations\/ne04,,,,,,,,,,,,,,,,,,,,,
52739325,NY392,https:\/\/www.petfinder.com\/cat\/liam-52739325\/ny\/syracuse\/cny-cat-coalition-ny392\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Siamese,Snowshoe,,,Cream \/ Ivory,Chocolate Point,,Baby,Male,Medium,Short,,,,,,,,,,,,,,,,Liam,Liam is a very social and active 4- month-old boy who is a gorgeous seal point Siamese\/snowshoe (has white feet)....,,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739325\/1\/?bust=1629580046&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739325\/1\/?bust=1629580046&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739325\/1\/?bust=1629580046&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739325\/1\/?bust=1629580046,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739325\/1\/?bust=1629580046&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739325\/1\/?bust=1629580046&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739325\/1\/?bust=1629580046&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739325\/1\/?bust=1629580046,adoptable,2021-08-21T21:07:30+0000,2021-08-21T21:07:30+0000,,cnycc@outlook.com,(315) 289-2287,PO Box 6182,,Syracuse,NY,13217,US,\/v2\/animals\/52739325,\/v2\/types\/cat,\/v2\/organizations\/ny392,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739325\/2\/?bust=1629580047&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739325\/2\/?bust=1629580047&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739325\/2\/?bust=1629580047&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739325\/2\/?bust=1629580047,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739325\/3\/?bust=1629580048&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739325\/3\/?bust=1629580048&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739325\/3\/?bust=1629580048&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739325\/3\/?bust=1629580048,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739325\/4\/?bust=1629580048&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739325\/4\/?bust=1629580048&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739325\/4\/?bust=1629580048&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739325\/4\/?bust=1629580048,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739325\/5\/?bust=1629580049&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739325\/5\/?bust=1629580049&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739325\/5\/?bust=1629580049&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739325\/5\/?bust=1629580049,,,,,
52739323,QC06,https:\/\/www.petfinder.com\/dog\/roxy-52739323\/qc\/montreal\/spca-montreal-qc06\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Mixed Breed,,,,,,,Adult,Female,Large,,,,,,,,,,,,,,,,,Roxy,"Roxy - 48342565

Disponible pour adoption humanitaire (snior et suivis medicaux) \/ Available for humanitarian adoption (senior and medical follow...",48342565,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739323\/1\/?bust=1629580681&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739323\/1\/?bust=1629580681&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739323\/1\/?bust=1629580681&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739323\/1\/?bust=1629580681,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739323\/1\/?bust=1629580681&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739323\/1\/?bust=1629580681&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739323\/1\/?bust=1629580681&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739323\/1\/?bust=1629580681,adoptable,2021-08-21T21:07:03+0000,2021-08-21T21:07:03+0000,,spcapetfinderteam@gmail.com,514-735-2711,5215 Jean-Talon Ouest,,Montreal,QC,H4P 1X4,CA,\/v2\/animals\/52739323,\/v2\/types\/dog,\/v2\/organizations\/qc06,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739323\/2\/?bust=1629580668&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739323\/2\/?bust=1629580668&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739323\/2\/?bust=1629580668&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739323\/2\/?bust=1629580668,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739323\/3\/?bust=1629580681&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739323\/3\/?bust=1629580681&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739323\/3\/?bust=1629580681&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739323\/3\/?bust=1629580681,,,,,,,,,,,,,
