id,organization_id,url,type,species,breeds/primary,breeds/secondary,breeds/mixed,breeds/unknown,colors/primary,colors/secondary,colors/tertiary,age,gender,size,coat,attributes/spayed_neutered,attributes/house_trained,attributes/declawed,attributes/special_needs,attributes/shots_current,environment/children,environment/dogs,environment/cats,name,description,organization_animal_id,primary_photo_cropped,status,status_changed_at,published_at,distance,contact/email,contact/phone,contact/address/address1,contact/address/address2,contact/address/city,contact/address/state,contact/address/postcode,contact/address/country,_links/self/href,_links/type/href,_links/organization/href,photos/0/small,photos/0/medium,photos/0/large,photos/0/full,photos/1/small,photos/1/medium,photos/1/large,photos/1/full,photos/2/small,photos/2/medium,photos/2/large,photos/2/full,primary_photo_cropped/small,primary_photo_cropped/medium,primary_photo_cropped/large,primary_photo_cropped/full
52739315,NM25,https:\/\/www.petfinder.com\/cat\/oscar-g-52739315\/nm\/ruidoso\/humane-society-of-lincoln-county-nm25\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,,,,,,Adult,Male,Medium,,,,,,,,,,Oscar G,,48230404,,adoptable,2021-08-21T21:06:47+0000,2021-08-21T21:06:47+0000,,sheltermgr@hslcnm.org,(575) 257-9841,422 Gavilan Canyon Road,,Ruidoso,NM,88345,US,\/v2\/animals\/52739315,\/v2\/types\/cat,\/v2\/organizations\/nm25,,,,,,,,,,,,,,,,
52739311,KY18,https:\/\/www.petfinder.com\/dog\/wild-one-52739311\/ky\/bowling-green\/bowling-green-warren-county-humane-society-ky18\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Australian Cattle Dog \/ Blue Heeler,Mixed Breed,,,,,,Young,Male,Medium,,,,,,,,,,Wild One,,48498171,,adoptable,2021-08-21T21:06:44+0000,2021-08-21T21:06:44+0000,,LorriC143@aol.com,(270) 783-9404,1924 Louisville Road,P. O. Box 1456,Bowling Green,KY,42102,US,\/v2\/animals\/52739311,\/v2\/types\/dog,\/v2\/organizations\/ky18,,,,,,,,,,,,,,,,
52739310,WA06,https:\/\/www.petfinder.com\/dog\/chestnut-52739310\/wa\/bellevue\/seattle-humane-the-humane-society-for-seattle-king-county-wa06\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Dachshund,Mixed Breed,,,,,,Adult,Male,Small,,,,,,,,,,Chestnut,"What my friends at Seattle Humane say about me:
 I love to play fetch!
 I am treat motivated! You can...",48437978,,adoptable,2021-08-21T21:06:43+0000,2021-08-21T21:06:43+0000,,humane@seattlehumane.org,(425) 641-0080  ,13212 SE Eastgate Way,,Bellevue,WA,98005,US,\/v2\/animals\/52739310,\/v2\/types\/dog,\/v2\/organizations\/wa06,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739310\/1\/?bust=1629580652&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739310\/1\/?bust=1629580652&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739310\/1\/?bust=1629580652&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739310\/1\/?bust=1629580652,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739310\/2\/?bust=1629580675&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739310\/2\/?bust=1629580675&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739310\/2\/?bust=1629580675&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739310\/2\/?bust=1629580675,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739310\/3\/?bust=1629580679&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739310\/3\/?bust=1629580679&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739310\/3\/?bust=1629580679&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739310\/3\/?bust=1629580679,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739310\/1\/?bust=1629580652&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739310\/1\/?bust=1629580652&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739310\/1\/?bust=1629580652&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739310\/1\/?bust=1629580652
52739308,TX219,https:\/\/www.petfinder.com\/dog\/black-jack-52739308\/tx\/houston\/houston-humane-society-tx219\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Border Collie,Mixed Breed,,,,,,Adult,Male,Medium,,,,,,,,,,BLACK JACK,,46372385,,adoptable,2021-08-21T21:06:41+0000,2021-08-21T21:06:41+0000,,adoptions@houstonhumane.org,713-433-6421,14700 Almeda Road,PO Box 450528,Houston,TX,77053,US,\/v2\/animals\/52739308,\/v2\/types\/dog,\/v2\/organizations\/tx219,,,,,,,,,,,,,,,,
52739306,TX38,https:\/\/www.petfinder.com\/dog\/48498213-52739306\/tx\/bryan\/aggieland-humane-society-tx38\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,German Shepherd Dog,Mixed Breed,,,,,,Adult,Male,Large,,,,,,,,,,48498213,,48498213,,adoptable,2021-08-21T21:06:41+0000,2021-08-21T21:06:41+0000,,adopt@aggielandhumane.org,(979) 775-5755,5359 Leonard Road,,Bryan,TX,77801,US,\/v2\/animals\/52739306,\/v2\/types\/dog,\/v2\/organizations\/tx38,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739306\/1\/?bust=1629580657&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739306\/1\/?bust=1629580657&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739306\/1\/?bust=1629580657&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739306\/1\/?bust=1629580657,,,,,,,,,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739306\/1\/?bust=1629580657&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739306\/1\/?bust=1629580657&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739306\/1\/?bust=1629580657&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739306\/1\/?bust=1629580657
52739307,TX219,https:\/\/www.petfinder.com\/dog\/stan-52739307\/tx\/houston\/houston-humane-society-tx219\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Dachshund,Mixed Breed,,,,,,Adult,Male,Small,,,,,,,,,,STAN,,48351387,,adoptable,2021-08-21T21:06:40+0000,2021-08-21T21:06:40+0000,,adoptions@houstonhumane.org,713-433-6421,14700 Almeda Road,PO Box 450528,Houston,TX,77053,US,\/v2\/animals\/52739307,\/v2\/types\/dog,\/v2\/organizations\/tx219,,,,,,,,,,,,,,,,
52739309,MO579,https:\/\/www.petfinder.com\/cat\/kiara-52739309\/mo\/kansas-city\/kc-pet-project-mo579\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,,,,,,Adult,Female,Medium,,,,,,,,,,Kiara,,48339167,,adoptable,2021-08-21T21:06:39+0000,2021-08-21T21:06:39+0000,,contact@kcpetproject.org,(816) 683-1383,7077 Elmwood Ave.,,Kansas City,MO,64129,US,\/v2\/animals\/52739309,\/v2\/types\/cat,\/v2\/organizations\/mo579,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739309\/1\/?bust=1629580675&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739309\/1\/?bust=1629580675&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739309\/1\/?bust=1629580675&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739309\/1\/?bust=1629580675,,,,,,,,,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739309\/1\/?bust=1629580675&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739309\/1\/?bust=1629580675&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739309\/1\/?bust=1629580675&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739309\/1\/?bust=1629580675
52739305,TX2292,https:\/\/www.petfinder.com\/cat\/cello-52739305\/tx\/longview\/longview-animal-care-and-adoption-center-tx2292\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Medium Hair,Domestic Short Hair,,,,,,Baby,Male,Large,,,,,,,,,,Cello,,48497851,,adoptable,2021-08-21T21:06:39+0000,2021-08-21T21:06:39+0000,,animals@longviewtexas.gov,(903) 297-7387,303 H.G. Mosley Pkwy,,Longview,TX,75604,US,\/v2\/animals\/52739305,\/v2\/types\/cat,\/v2\/organizations\/tx2292,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739305\/1\/?bust=1629580676&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739305\/1\/?bust=1629580676&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739305\/1\/?bust=1629580676&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739305\/1\/?bust=1629580676,,,,,,,,,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739305\/1\/?bust=1629580676&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739305\/1\/?bust=1629580676&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739305\/1\/?bust=1629580676&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739305\/1\/?bust=1629580676
52739304,TX2292,https:\/\/www.petfinder.com\/cat\/viola-52739304\/tx\/longview\/longview-animal-care-and-adoption-center-tx2292\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,,,,,,Baby,Female,Medium,,,,,,,,,,Viola,,48497848,,adoptable,2021-08-21T21:06:39+0000,2021-08-21T21:06:39+0000,,animals@longviewtexas.gov,(903) 297-7387,303 H.G. Mosley Pkwy,,Longview,TX,75604,US,\/v2\/animals\/52739304,\/v2\/types\/cat,\/v2\/organizations\/tx2292,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739304\/1\/?bust=1629580666&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739304\/1\/?bust=1629580666&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739304\/1\/?bust=1629580666&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739304\/1\/?bust=1629580666,,,,,,,,,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739304\/1\/?bust=1629580666&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739304\/1\/?bust=1629580666&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739304\/1\/?bust=1629580666&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739304\/1\/?bust=1629580666
52739297,MN423,https:\/\/www.petfinder.com\/dog\/sundance-52739297\/mn\/golden-valley\/animal-humane-society-golden-valley-mn423\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Retriever,Mixed Breed,,,,,,Adult,Male,Medium,,,,,,,,,,Sundance,,48444141,,adoptable,2021-08-21T21:06:32+0000,2021-08-21T21:06:32+0000,,info@animalhumanesociety.org,(952) 435-7738,845 Meadow Lane N,,Golden Valley,MN,55422,US,\/v2\/animals\/52739297,\/v2\/types\/dog,\/v2\/organizations\/mn423,,,,,,,,,,,,,,,,
