id,organization_id,url,type,species,breeds/primary,breeds/secondary,breeds/mixed,breeds/unknown,colors/primary,colors/secondary,colors/tertiary,age,gender,size,coat,attributes/spayed_neutered,attributes/house_trained,attributes/declawed,attributes/special_needs,attributes/shots_current,environment/children,environment/dogs,environment/cats,name,description,organization_animal_id,primary_photo_cropped,status,status_changed_at,published_at,distance,contact/email,contact/phone,contact/address/address1,contact/address/address2,contact/address/city,contact/address/state,contact/address/postcode,contact/address/country,_links/self/href,_links/type/href,_links/organization/href,photos/0/small,photos/0/medium,photos/0/large,photos/0/full,photos/1/small,photos/1/medium,photos/1/large,photos/1/full,primary_photo_cropped/small,primary_photo_cropped/medium,primary_photo_cropped/large,primary_photo_cropped/full
52739297,MN423,https:\/\/www.petfinder.com\/dog\/sundance-52739297\/mn\/golden-valley\/animal-humane-society-golden-valley-mn423\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Retriever,Mixed Breed,,,,,,Adult,Male,Medium,,,,,,,,,,Sundance,,48444141,,adoptable,2021-08-21T21:06:32+0000,2021-08-21T21:06:32+0000,,info@animalhumanesociety.org,(952) 435-7738,845 Meadow Lane N,,Golden Valley,MN,55422,US,\/v2\/animals\/52739297,\/v2\/types\/dog,\/v2\/organizations\/mn423,,,,,,,,,,,,
52739293,GA423,https:\/\/www.petfinder.com\/dog\/vera-52739293\/ga\/chamblee\/dekalb-county-animal-services-ga423\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Mixed Breed,,,,,,,Adult,Female,Large,,,,,,,,,,Vera,,36608939,,adoptable,2021-08-21T21:06:30+0000,2021-08-21T21:06:30+0000,,adoption@dekalbanimalservices.com,(404) 294-2165,3280 Chamblee Dunwoody Rd,,Chamblee,GA,30341,US,\/v2\/animals\/52739293,\/v2\/types\/dog,\/v2\/organizations\/ga423,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739293\/1\/?bust=1629580642&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739293\/1\/?bust=1629580642&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739293\/1\/?bust=1629580642&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739293\/1\/?bust=1629580642,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739293\/2\/?bust=1629580673&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739293\/2\/?bust=1629580673&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739293\/2\/?bust=1629580673&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739293\/2\/?bust=1629580673,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739293\/1\/?bust=1629580642&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739293\/1\/?bust=1629580642&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739293\/1\/?bust=1629580642&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739293\/1\/?bust=1629580642
52739294,GA423,https:\/\/www.petfinder.com\/rabbit\/maybelline-52739294\/ga\/chamblee\/dekalb-county-animal-services-ga423\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Rabbit,Rabbit,Bunny Rabbit,American,,,,,,Adult,Female,Medium,,,,,,,,,,Maybelline,,48495664,,adoptable,2021-08-21T21:06:30+0000,2021-08-21T21:06:30+0000,,adoption@dekalbanimalservices.com,(404) 294-2165,3280 Chamblee Dunwoody Rd,,Chamblee,GA,30341,US,\/v2\/animals\/52739294,\/v2\/types\/rabbit,\/v2\/organizations\/ga423,,,,,,,,,,,,
52739286,NY494,https:\/\/www.petfinder.com\/cat\/48271996-52739286\/ny\/fairport\/lollypop-farm-humane-society-of-greater-rochester-ny494\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,,,,,,Baby,Male,Small,,,,,,,,,,48271996,,48271996,,adoptable,2021-08-21T21:06:26+0000,2021-08-21T21:06:26+0000,,adoptions@lollypop.org,(585) 223-1330,99 Victor Road,,Fairport,NY,14450,US,\/v2\/animals\/52739286,\/v2\/types\/cat,\/v2\/organizations\/ny494,,,,,,,,,,,,
52739287,NY494,https:\/\/www.petfinder.com\/cat\/48271734-52739287\/ny\/fairport\/lollypop-farm-humane-society-of-greater-rochester-ny494\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,,,,,,Baby,Male,Medium,,,,,,,,,,48271734,,48271734,,adoptable,2021-08-21T21:06:26+0000,2021-08-21T21:06:26+0000,,adoptions@lollypop.org,(585) 223-1330,99 Victor Road,,Fairport,NY,14450,US,\/v2\/animals\/52739287,\/v2\/types\/cat,\/v2\/organizations\/ny494,,,,,,,,,,,,
52739288,NY494,https:\/\/www.petfinder.com\/cat\/48491231-52739288\/ny\/fairport\/lollypop-farm-humane-society-of-greater-rochester-ny494\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,,,,,,Adult,Female,Medium,,,,,,,,,,48491231,,48491231,,adoptable,2021-08-21T21:06:26+0000,2021-08-21T21:06:26+0000,,adoptions@lollypop.org,(585) 223-1330,99 Victor Road,,Fairport,NY,14450,US,\/v2\/animals\/52739288,\/v2\/types\/cat,\/v2\/organizations\/ny494,,,,,,,,,,,,
52739289,NY494,https:\/\/www.petfinder.com\/cat\/48271730-52739289\/ny\/fairport\/lollypop-farm-humane-society-of-greater-rochester-ny494\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,,,,,,Baby,Female,Medium,,,,,,,,,,48271730,,48271730,,adoptable,2021-08-21T21:06:26+0000,2021-08-21T21:06:26+0000,,adoptions@lollypop.org,(585) 223-1330,99 Victor Road,,Fairport,NY,14450,US,\/v2\/animals\/52739289,\/v2\/types\/cat,\/v2\/organizations\/ny494,,,,,,,,,,,,
52739290,NY494,https:\/\/www.petfinder.com\/cat\/graydon-michael-52739290\/ny\/fairport\/lollypop-farm-humane-society-of-greater-rochester-ny494\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,,,,,,Baby,Male,Small,,,,,,,,,,Graydon Michael,,48485376,,adoptable,2021-08-21T21:06:26+0000,2021-08-21T21:06:26+0000,,adoptions@lollypop.org,(585) 223-1330,99 Victor Road,,Fairport,NY,14450,US,\/v2\/animals\/52739290,\/v2\/types\/cat,\/v2\/organizations\/ny494,,,,,,,,,,,,
52739291,NY494,https:\/\/www.petfinder.com\/cat\/48271722-52739291\/ny\/fairport\/lollypop-farm-humane-society-of-greater-rochester-ny494\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,,,,,,Baby,Female,Medium,,,,,,,,,,48271722,,48271722,,adoptable,2021-08-21T21:06:26+0000,2021-08-21T21:06:26+0000,,adoptions@lollypop.org,(585) 223-1330,99 Victor Road,,Fairport,NY,14450,US,\/v2\/animals\/52739291,\/v2\/types\/cat,\/v2\/organizations\/ny494,,,,,,,,,,,,
52739292,NY494,https:\/\/www.petfinder.com\/cat\/48271718-52739292\/ny\/fairport\/lollypop-farm-humane-society-of-greater-rochester-ny494\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,,,,,,Baby,Male,Medium,,,,,,,,,,48271718,,48271718,,adoptable,2021-08-21T21:06:26+0000,2021-08-21T21:06:26+0000,,adoptions@lollypop.org,(585) 223-1330,99 Victor Road,,Fairport,NY,14450,US,\/v2\/animals\/52739292,\/v2\/types\/cat,\/v2\/organizations\/ny494,,,,,,,,,,,,
