id,organization_id,url,type,species,breeds/primary,breeds/secondary,breeds/mixed,breeds/unknown,colors/primary,colors/secondary,colors/tertiary,age,gender,size,coat,attributes/spayed_neutered,attributes/house_trained,attributes/declawed,attributes/special_needs,attributes/shots_current,environment/children,environment/dogs,environment/cats,name,description,organization_animal_id,photos/0/small,photos/0/medium,photos/0/large,photos/0/full,primary_photo_cropped/small,primary_photo_cropped/medium,primary_photo_cropped/large,primary_photo_cropped/full,status,status_changed_at,published_at,distance,contact/email,contact/phone,contact/address/address1,contact/address/address2,contact/address/city,contact/address/state,contact/address/postcode,contact/address/country,_links/self/href,_links/type/href,_links/organization/href,primary_photo_cropped,photos/1/small,photos/1/medium,photos/1/large,photos/1/full,tags/0,tags/1,tags/2,tags/3,photos/2/small,photos/2/medium,photos/2/large,photos/2/full,photos/3/small,photos/3/medium,photos/3/large,photos/3/full,photos/4/small,photos/4/medium,photos/4/large,photos/4/full,photos/5/small,photos/5/medium,photos/5/large,photos/5/full
52739272,FL1397,https:\/\/www.petfinder.com\/cat\/sophie-52739272\/fl\/orlando\/pet-alliance-of-greater-orlando-fl1397\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,,,,,,Senior,Female,Medium,,,,,,,,,,Sophie,,47936308,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739272\/1\/?bust=1629580587&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739272\/1\/?bust=1629580587&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739272\/1\/?bust=1629580587&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739272\/1\/?bust=1629580587,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739272\/1\/?bust=1629580587&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739272\/1\/?bust=1629580587&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739272\/1\/?bust=1629580587&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739272\/1\/?bust=1629580587,adoptable,2021-08-21T21:06:13+0000,2021-08-21T21:06:13+0000,,info@petallianceorlando.org,(407) 351-7722,2727 Conroy Road,,Orlando,FL,32839,US,\/v2\/animals\/52739272,\/v2\/types\/cat,\/v2\/organizations\/fl1397,,,,,,,,,,,,,,,,,,,,,,,,,
52739268,AZ09,https:\/\/www.petfinder.com\/dog\/dewey-52739268\/az\/phoenix\/halo-animal-rescue-az09\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Dutch Shepherd,Mixed Breed,,,,,,Adult,Male,Medium,,,,,,,,,,Dewey,,48477429,,,,,,,,,adoptable,2021-08-21T21:06:11+0000,2021-08-21T21:06:11+0000,,,(602) 971-9222,3227 E Bell Road Suite D151,,Phoenix,AZ,85032,US,\/v2\/animals\/52739268,\/v2\/types\/dog,\/v2\/organizations\/az09,,,,,,,,,,,,,,,,,,,,,,,,,
52739269,AZ09,https:\/\/www.petfinder.com\/dog\/sawyer-52739269\/az\/phoenix\/halo-animal-rescue-az09\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Dutch Shepherd,Mixed Breed,,,,,,Adult,Male,Medium,,,,,,,,,,Sawyer,"Hey there, I&amp;#39;m Sawyer. I&amp;#39;ve made my way to HALO after staying at Barb&amp;#39;s Rescue in Mexico. I&amp;#39;m currently 35lbs...",48477420,,,,,,,,,adoptable,2021-08-21T21:06:11+0000,2021-08-21T21:06:11+0000,,,(602) 971-9222,3227 E Bell Road Suite D151,,Phoenix,AZ,85032,US,\/v2\/animals\/52739269,\/v2\/types\/dog,\/v2\/organizations\/az09,,,,,,,,,,,,,,,,,,,,,,,,,
52739266,AZ09,https:\/\/www.petfinder.com\/dog\/iris-52739266\/az\/phoenix\/halo-animal-rescue-az09\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Shepherd,Mixed Breed,,,,,,Adult,Female,Medium,,,,,,,,,,Iris,"Hello, my name is Iris. I&amp;#39;m a young gal who resembles a shepherd mix and I currently weigh about twenty-eight...",48477376,,,,,,,,,adoptable,2021-08-21T21:06:10+0000,2021-08-21T21:06:10+0000,,,(602) 971-9222,3227 E Bell Road Suite D151,,Phoenix,AZ,85032,US,\/v2\/animals\/52739266,\/v2\/types\/dog,\/v2\/organizations\/az09,,,,,,,,,,,,,,,,,,,,,,,,,
52739267,AZ09,https:\/\/www.petfinder.com\/dog\/hoover-52739267\/az\/phoenix\/halo-animal-rescue-az09\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Shepherd,Mixed Breed,,,,,,Adult,Male,Medium,,,,,,,,,,Hoover,,48477348,,,,,,,,,adoptable,2021-08-21T21:06:10+0000,2021-08-21T21:06:10+0000,,,(602) 971-9222,3227 E Bell Road Suite D151,,Phoenix,AZ,85032,US,\/v2\/animals\/52739267,\/v2\/types\/dog,\/v2\/organizations\/az09,,,,,,,,,,,,,,,,,,,,,,,,,
52739270,CA628,https:\/\/www.petfinder.com\/dog\/helga-52739270\/ca\/madera\/madera-county-animal-control-ca628\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Shepherd,Mixed Breed,,,,,,Adult,Female,Large,,,,,,,,,,Helga,,48498149,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739270\/1\/?bust=1629580605&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739270\/1\/?bust=1629580605&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739270\/1\/?bust=1629580605&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739270\/1\/?bust=1629580605,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739270\/1\/?bust=1629580605&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739270\/1\/?bust=1629580605&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739270\/1\/?bust=1629580605&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739270\/1\/?bust=1629580605,adoptable,2021-08-21T21:06:10+0000,2021-08-21T21:06:10+0000,,AnimalControl2@Madera-County.com,(559) 675-7891,14269 Road 28,,Madera,CA,93638,US,\/v2\/animals\/52739270,\/v2\/types\/dog,\/v2\/organizations\/ca628,,,,,,,,,,,,,,,,,,,,,,,,,
52739263,AZ7,https:\/\/www.petfinder.com\/cat\/christy-52739263\/az\/lake-havasu-city\/western-arizona-humane-society-az7\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,,,Tabby (Brown \/ Chocolate),Tortoiseshell,,Adult,Female,Large,Short,,,,,,,,,Christy,,,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739263\/1\/?bust=1629579932&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739263\/1\/?bust=1629579932&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739263\/1\/?bust=1629579932&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739263\/1\/?bust=1629579932,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739263\/1\/?bust=1629579932&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739263\/1\/?bust=1629579932&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739263\/1\/?bust=1629579932&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739263\/1\/?bust=1629579932,adoptable,2021-08-21T21:05:34+0000,2021-08-21T21:05:34+0000,,adoptions@westernarizonahumane.org,(928) 855-5083,2610 Sweetwater Ave,,Lake Havasu City,AZ,86406,US,\/v2\/animals\/52739263,\/v2\/types\/cat,\/v2\/organizations\/az7,,,,,,,,,,,,,,,,,,,,,,,,,
52739262,MO589,https:\/\/www.petfinder.com\/dog\/thicket-limerick-52739262\/mo\/kansas-city\/unleashed-pet-rescue-and-adoption-mo589\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Basset Hound,,,,Yellow \/ Tan \/ Blond \/ Fawn,White \/ Cream,,Baby,Female,Small,,,,,,,,,,Thicket Limerick,My adoption fee is $350.,UPR-A-31320,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739262\/1\/?bust=1629580576&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739262\/1\/?bust=1629580576&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739262\/1\/?bust=1629580576&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739262\/1\/?bust=1629580576,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739262\/1\/?bust=1629580576&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739262\/1\/?bust=1629580576&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739262\/1\/?bust=1629580576&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739262\/1\/?bust=1629580576,adoptable,2021-08-21T21:05:31+0000,2021-08-21T21:05:31+0000,,unleashedadoptions@gmail.com,(913) 831-7387,5918 Broadmoor,,Kansas City,MO,64118,US,\/v2\/animals\/52739262,\/v2\/types\/dog,\/v2\/organizations\/mo589,,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739262\/2\/?bust=1629580572&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739262\/2\/?bust=1629580572&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739262\/2\/?bust=1629580572&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739262\/2\/?bust=1629580572,,,,,,,,,,,,,,,,,,,,
52739260,MO589,https:\/\/www.petfinder.com\/dog\/forza-tribe-52739260\/mo\/kansas-city\/unleashed-pet-rescue-and-adoption-mo589\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Pit Bull Terrier,,,,White \/ Cream,Yellow \/ Tan \/ Blond \/ Fawn,,Baby,Male,Large,,,,,,,,,,Forza Tribe,My adoption fee is $350,UPR-A-31637,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739260\/1\/?bust=1629580567&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739260\/1\/?bust=1629580567&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739260\/1\/?bust=1629580567&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739260\/1\/?bust=1629580567,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739260\/1\/?bust=1629580567&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739260\/1\/?bust=1629580567&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739260\/1\/?bust=1629580567&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739260\/1\/?bust=1629580567,adoptable,2021-08-21T21:05:30+0000,2021-08-21T21:05:30+0000,,unleashedadoptions@gmail.com,(913) 831-7387,5918 Broadmoor,,Kansas City,MO,64118,US,\/v2\/animals\/52739260,\/v2\/types\/dog,\/v2\/organizations\/mo589,,,,,,,,,,,,,,,,,,,,,,,,,
52739261,MO589,https:\/\/www.petfinder.com\/cat\/plum-belini-flockle-52739261\/mo\/kansas-city\/unleashed-pet-rescue-and-adoption-mo589\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,,,Black,White,,Baby,Female,Small,,,,,,,,,,Plum Belini Flockle,My adoption fee is $200!,UPR-A-31574,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739261\/1\/?bust=1629580562&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739261\/1\/?bust=1629580562&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739261\/1\/?bust=1629580562&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739261\/1\/?bust=1629580562,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739261\/1\/?bust=1629580562&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739261\/1\/?bust=1629580562&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739261\/1\/?bust=1629580562&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739261\/1\/?bust=1629580562,adoptable,2021-08-21T21:05:30+0000,2021-08-21T21:05:30+0000,,unleashedadoptions@gmail.com,(913) 831-7387,5918 Broadmoor,,Kansas City,MO,64118,US,\/v2\/animals\/52739261,\/v2\/types\/cat,\/v2\/organizations\/mo589,,,,,,,,,,,,,,,,,,,,,,,,,
