id,organization_id,url,type,species,breeds/primary,breeds/secondary,breeds/mixed,breeds/unknown,colors/primary,colors/secondary,colors/tertiary,age,gender,size,coat,attributes/spayed_neutered,attributes/house_trained,attributes/declawed,attributes/special_needs,attributes/shots_current,environment/children,environment/dogs,environment/cats,name,description,organization_animal_id,photos/0/small,photos/0/medium,photos/0/large,photos/0/full,primary_photo_cropped/small,primary_photo_cropped/medium,primary_photo_cropped/large,primary_photo_cropped/full,status,status_changed_at,published_at,distance,contact/email,contact/phone,contact/address/address1,contact/address/address2,contact/address/city,contact/address/state,contact/address/postcode,contact/address/country,_links/self/href,_links/type/href,_links/organization/href,tags/0,tags/1,tags/2,photos/1/small,photos/1/medium,photos/1/large,photos/1/full,photos/2/small,photos/2/medium,photos/2/large,photos/2/full,photos/3/small,photos/3/medium,photos/3/large,photos/3/full,photos/4/small,photos/4/medium,photos/4/large,photos/4/full,photos/5/small,photos/5/medium,photos/5/large,photos/5/full,tags/3,tags/4,tags/5,tags/6,tags/7,tags/8,primary_photo_cropped
52739245,CA24,https:\/\/www.petfinder.com\/dog\/chopstix-52739245\/ca\/mission-viejo\/mission-viejo-animal-services-center-ca24\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Chihuahua,,,,,,,Adult,Male,Small,,,,,,,,,,Chopstix,,,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739245\/1\/?bust=1629579915&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739245\/1\/?bust=1629579915&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739245\/1\/?bust=1629579915&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739245\/1\/?bust=1629579915,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739245\/1\/?bust=1629579915&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739245\/1\/?bust=1629579915&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739245\/1\/?bust=1629579915&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739245\/1\/?bust=1629579915,adoptable,2021-08-21T21:05:16+0000,2021-08-21T21:05:16+0000,,ask-shelter@cityofmissionviejo.org,(949) 470-3045 ,28095 Hillcrest,www.cmvas.org,Mission Viejo,CA,92692,US,\/v2\/animals\/52739245,\/v2\/types\/dog,\/v2\/organizations\/ca24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52739244,NE04,https:\/\/www.petfinder.com\/cat\/franco-52739244\/ne\/lincoln\/the-cat-house-ne04\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,,,Tabby (Brown \/ Chocolate),White,,Baby,Male,Medium,Short,,,,,,,,,Franco,Franco is the dinner-time leader of his litter.  He is pursuing a career as a professional leg-weaver and bathroom escort....,,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739244\/1\/?bust=1629579878&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739244\/1\/?bust=1629579878&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739244\/1\/?bust=1629579878&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739244\/1\/?bust=1629579878,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739244\/1\/?bust=1629579878&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739244\/1\/?bust=1629579878&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739244\/1\/?bust=1629579878&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739244\/1\/?bust=1629579878,adoptable,2021-08-21T21:04:39+0000,2021-08-21T21:04:39+0000,,adoptions@thecathouse.org,(402) 441-9593,P O Box 23145,,Lincoln,NE,68542,US,\/v2\/animals\/52739244,\/v2\/types\/cat,\/v2\/organizations\/ne04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52739243,VA815,https:\/\/www.petfinder.com\/dog\/ruthie-52739243\/va\/fredericksburg\/compassion-animal-rescue-va815\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Mixed Breed,,,,White \/ Cream,Gray \/ Blue \/ Silver,,Baby,Female,Medium,Short,,,,,,,,,Ruthie,My name is Ruthie and am one of the TWELVE  &quot;R Team&quot; puppies.  My mom is Rose and she had...,B178,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739243\/1\/?bust=1629579873&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739243\/1\/?bust=1629579873&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739243\/1\/?bust=1629579873&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739243\/1\/?bust=1629579873,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739243\/1\/?bust=1629579873&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739243\/1\/?bust=1629579873&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739243\/1\/?bust=1629579873&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739243\/1\/?bust=1629579873,adoptable,2021-08-21T21:04:37+0000,2021-08-21T21:04:37+0000,,Care@CompassionAnimalRescue.com,(540) 642-4359,,,Fredericksburg,VA,22408,US,\/v2\/animals\/52739243,\/v2\/types\/dog,\/v2\/organizations\/va815,Affectionate,Gentle,Playful,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739243\/2\/?bust=1629579874&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739243\/2\/?bust=1629579874&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739243\/2\/?bust=1629579874&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739243\/2\/?bust=1629579874,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739243\/3\/?bust=1629579874&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739243\/3\/?bust=1629579874&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739243\/3\/?bust=1629579874&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739243\/3\/?bust=1629579874,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739243\/4\/?bust=1629579875&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739243\/4\/?bust=1629579875&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739243\/4\/?bust=1629579875&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739243\/4\/?bust=1629579875,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739243\/5\/?bust=1629579875&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739243\/5\/?bust=1629579875&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739243\/5\/?bust=1629579875&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739243\/5\/?bust=1629579875,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739243\/6\/?bust=1629579876&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739243\/6\/?bust=1629579876&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739243\/6\/?bust=1629579876&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739243\/6\/?bust=1629579876,,,,,,,
52739242,CA12,https:\/\/www.petfinder.com\/dog\/maggie-52739242\/ca\/carlsbad\/animal-rescue-resource-foundation-arrf-ca12\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Chihuahua,Terrier,,,Yellow \/ Tan \/ Blond \/ Fawn,White \/ Cream,,Adult,Female,Small,,,,,,,,,,Maggie,THIS IS A COURTESY LISTING. PLEASE DO NOT CONTACT ARRF. We do not know these pets personally. To meet see...,,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739242\/1\/?bust=1629579869&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739242\/1\/?bust=1629579869&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739242\/1\/?bust=1629579869&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739242\/1\/?bust=1629579869,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739242\/1\/?bust=1629579869&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739242\/1\/?bust=1629579869&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739242\/1\/?bust=1629579869&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739242\/1\/?bust=1629579869,adoptable,2021-08-21T21:04:30+0000,2021-08-21T21:04:30+0000,,arrfsandiegoweb@gmail.com,,,,Carlsbad,CA,92011,US,\/v2\/animals\/52739242,\/v2\/types\/dog,\/v2\/organizations\/ca12,Friendly,Affectionate,Gentle,,,,,,,,,,,,,,,,,,,,,Playful,Smart,,,,,
52739241,IL274,https:\/\/www.petfinder.com\/dog\/roma-52739241\/il\/hillside\/magnificent-mutts-rescue-il274\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Mixed Breed,,,,,,,Adult,Female,Medium,,,,,,,,,,Roma,***Thank you for your interest in Magnificent Mutts and Meows. As an all foster based rescue all meets will be...,17145151,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739241\/1\/?bust=1629580471&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739241\/1\/?bust=1629580471&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739241\/1\/?bust=1629580471&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739241\/1\/?bust=1629580471,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739241\/1\/?bust=1629580471&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739241\/1\/?bust=1629580471&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739241\/1\/?bust=1629580471&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739241\/1\/?bust=1629580471,adoptable,2021-08-21T21:04:26+0000,2021-08-21T21:04:26+0000,,magmuttsrescue@aol.com,,,,Hillside,IL,60162,US,\/v2\/animals\/52739241,\/v2\/types\/dog,\/v2\/organizations\/il274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52739239,CA24,https:\/\/www.petfinder.com\/dog\/pringles-52739239\/ca\/mission-viejo\/mission-viejo-animal-services-center-ca24\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Terrier,,,,,,,Adult,Male,Small,,,,,,,,,,Pringles,,,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739239\/1\/?bust=1629579850&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739239\/1\/?bust=1629579850&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739239\/1\/?bust=1629579850&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739239\/1\/?bust=1629579850,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739239\/1\/?bust=1629579850&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739239\/1\/?bust=1629579850&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739239\/1\/?bust=1629579850&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739239\/1\/?bust=1629579850,adoptable,2021-08-21T21:04:12+0000,2021-08-21T21:04:12+0000,,ask-shelter@cityofmissionviejo.org,(949) 470-3045 ,28095 Hillcrest,www.cmvas.org,Mission Viejo,CA,92692,US,\/v2\/animals\/52739239,\/v2\/types\/dog,\/v2\/organizations\/ca24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52739238,TX953,https:\/\/www.petfinder.com\/dog\/hooper-52739238\/tx\/manchaca\/austin-dog-rescue-tx953\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Australian Shepherd,,,,"Tricolor (Brown, Black, & White)",,,Senior,Male,Large,Long,,,,,,,,,Hooper,"Please visit our website at: www.austindog.org for full details about Hooper and the most current, up-to-date status of all of...",,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739238\/1\/?bust=1629579843&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739238\/1\/?bust=1629579843&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739238\/1\/?bust=1629579843&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739238\/1\/?bust=1629579843,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739238\/1\/?bust=1629579843&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739238\/1\/?bust=1629579843&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739238\/1\/?bust=1629579843&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739238\/1\/?bust=1629579843,adoptable,2021-08-21T21:04:06+0000,2021-08-21T21:04:06+0000,,Adoptions@austindog.org,,,,Manchaca,TX,78652,US,\/v2\/animals\/52739238,\/v2\/types\/dog,\/v2\/organizations\/tx953,Friendly,Affectionate,Loyal,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739238\/2\/?bust=1629579843&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739238\/2\/?bust=1629579843&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739238\/2\/?bust=1629579843&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739238\/2\/?bust=1629579843,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739238\/3\/?bust=1629579844&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739238\/3\/?bust=1629579844&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739238\/3\/?bust=1629579844&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739238\/3\/?bust=1629579844,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739238\/4\/?bust=1629579845&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739238\/4\/?bust=1629579845&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739238\/4\/?bust=1629579845&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739238\/4\/?bust=1629579845,,,,,,,,,Gentle,Smart,Quiet,Dignified,,,
52739237,NJ892,https:\/\/www.petfinder.com\/dog\/baby-52739237\/nj\/collingswood\/woof-love-animal-rescue-inc-nj892\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Great Pyrenees,Labrador Retriever,,,White \/ Cream,Yellow \/ Tan \/ Blond \/ Fawn,,Baby,Female,Large,Short,,,,,,,,,Baby,"&quot;Nobody puts Baby in a corner&quot;, and really, who would want to?  
This sweet and sassy girl loves to play...",,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739237\/1\/?bust=1629579807&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739237\/1\/?bust=1629579807&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739237\/1\/?bust=1629579807&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739237\/1\/?bust=1629579807,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739237\/1\/?bust=1629579807&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739237\/1\/?bust=1629579807&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739237\/1\/?bust=1629579807&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739237\/1\/?bust=1629579807,adoptable,2021-08-21T21:03:30+0000,2021-08-21T21:03:30+0000,,info4WoofLoveRescue@gmail.com,,,,Collingswood,NJ,08108,US,\/v2\/animals\/52739237,\/v2\/types\/dog,\/v2\/organizations\/nj892,,,,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739237\/2\/?bust=1629579808&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739237\/2\/?bust=1629579808&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739237\/2\/?bust=1629579808&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739237\/2\/?bust=1629579808,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739237\/3\/?bust=1629579809&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739237\/3\/?bust=1629579809&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739237\/3\/?bust=1629579809&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739237\/3\/?bust=1629579809,,,,,,,,,,,,,,,,,,,
52739236,CO441,https:\/\/www.petfinder.com\/dog\/bopeep-52739236\/co\/windsor\/big-bones-canine-rescue-co441\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Mastiff,Mixed Breed,,,,,,Baby,Female,Large,,,,,,,,,,BoPeep,&amp;#34;I&amp;#39;d give anything to be loved the way you have.&amp;#34; may be a heart-warming quote from Bo Peep in Toy...,1410,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739236\/1\/?bust=1629580430&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739236\/1\/?bust=1629580430&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739236\/1\/?bust=1629580430&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739236\/1\/?bust=1629580430,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739236\/1\/?bust=1629580430&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739236\/1\/?bust=1629580430&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739236\/1\/?bust=1629580430&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739236\/1\/?bust=1629580430,adoptable,2021-08-21T21:03:19+0000,2021-08-21T21:03:19+0000,,inquiry@bigbonescaninerescue.com,(970) 310-3616,,,Windsor,CO,80550,US,\/v2\/animals\/52739236,\/v2\/types\/dog,\/v2\/organizations\/co441,,,,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739236\/2\/?bust=1629580425&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739236\/2\/?bust=1629580425&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739236\/2\/?bust=1629580425&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739236\/2\/?bust=1629580425,,,,,,,,,,,,,,,,,,,,,,,
52739235,AZ7,https:\/\/www.petfinder.com\/cat\/mrs-pickles-52739235\/az\/lake-havasu-city\/western-arizona-humane-society-az7\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Siamese,Snowshoe,,,Black,White,,Adult,Female,Large,Short,,,,,,,,,Mrs Pickles,,,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739235\/1\/?bust=1629579797&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739235\/1\/?bust=1629579797&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739235\/1\/?bust=1629579797&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739235\/1\/?bust=1629579797,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739235\/1\/?bust=1629579797&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739235\/1\/?bust=1629579797&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739235\/1\/?bust=1629579797&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739235\/1\/?bust=1629579797,adoptable,2021-08-21T21:03:18+0000,2021-08-21T21:03:18+0000,,adoptions@westernarizonahumane.org,(928) 855-5083,2610 Sweetwater Ave,,Lake Havasu City,AZ,86406,US,\/v2\/animals\/52739235,\/v2\/types\/cat,\/v2\/organizations\/az7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
