dog_ID,dog_name,url_petfinder,dog_age,dog_gender,dog_size,dog_coat,published_at,distance_miles_from_07090,breed_ID,breed,colors.primary,attributes.spayed_neutered,attributes.house_trained,attributes.special_needs,attributes.shots_current,environment.children,environment.dogs,environment.cats,contact.email,contact.phone,contact.address.address1,contact.address.city,contact.address.state,contact.address.postcode
50796417,Hogan,https://www.petfinder.com/dog/hogan-50796417/nj/garwood/jersey-pits-rescue-inc-nj928/?referrer_id=10a3b4e4-0162-4590-8cfa-32d4f76ade1f,Senior,Male,Large,Short,2021-03-09T04:58:20+0000,1.0243,170,Mixed Breed,Gray / Blue / Silver,TRUE,TRUE,FALSE,TRUE,,TRUE,,jerseypitsrescue@gmail.com,,,Garwood,NJ,7027
49463289,Kane,https://www.petfinder.com/dog/kane-49463289/nj/garwood/jersey-pits-rescue-inc-nj928/?referrer_id=10a3b4e4-0162-4590-8cfa-32d4f76ade1f,Adult,Male,Large,Short,2021-03-09T04:29:51+0000,1.0243,170,Mixed Breed,Gray / Blue / Silver,TRUE,TRUE,FALSE,TRUE,,,,jerseypitsrescue@gmail.com,,,Garwood,NJ,7027
50796241,Wrinkles,https://www.petfinder.com/dog/wrinkles-50796241/nj/garwood/jersey-pits-rescue-inc-nj928/?referrer_id=10a3b4e4-0162-4590-8cfa-32d4f76ade1f,Adult,Female,Large,Short,2021-03-09T04:46:23+0000,1.0243,170,Mixed Breed,Gray / Blue / Silver,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,jerseypitsrescue@gmail.com,,,Garwood,NJ,7027
52045887,Carly,https://www.petfinder.com/dog/carly-52045887/nj/cranford/best-friend-dog-and-animal-adoption-inc-nj70/?referrer_id=10a3b4e4-0162-4590-8cfa-32d4f76ade1f,Baby,Female,Medium,Short,2021-06-21T10:35:32+0000,2.1022,246,Staffordshire Bull Terrier,Black,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,bestfrienddogadopt@gmail.com,,P.O Box 335,Cranford,NJ,7016
51738308,Cindy,https://www.petfinder.com/dog/cindy-51738308/nj/cranford/best-friend-dog-and-animal-adoption-inc-nj70/?referrer_id=10a3b4e4-0162-4590-8cfa-32d4f76ade1f,Senior,Female,Large,Short,2021-05-31T14:04:37+0000,2.1022,90,English Bulldog,Golden,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,bestfrienddogadopt@gmail.com,,P.O Box 335,Cranford,NJ,7016
52516498,Gamo (Courtesy Post),https://www.petfinder.com/dog/gamo-courtesy-post-52516498/nj/cranford/best-friend-dog-and-animal-adoption-inc-nj70/?referrer_id=10a3b4e4-0162-4590-8cfa-32d4f76ade1f,Adult,Male,Large,Short,2021-07-30T02:31:05+0000,2.1022,194,Pit Bull Terrier,White / Cream,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,,bestfrienddogadopt@gmail.com,,P.O Box 335,Cranford,NJ,7016
51189469,Meatball,https://www.petfinder.com/dog/meatball-51189469/nj/cranford/best-friend-dog-and-animal-adoption-inc-nj70/?referrer_id=10a3b4e4-0162-4590-8cfa-32d4f76ade1f,Adult,Male,Large,Short,2021-04-12T11:41:55+0000,2.1022,194,Pit Bull Terrier,White / Cream,TRUE,TRUE,FALSE,TRUE,TRUE,,,bestfrienddogadopt@gmail.com,,P.O Box 335,Cranford,NJ,7016
52745450,Chico,https://www.petfinder.com/dog/chico-52745450/nj/cranford/best-friend-dog-and-animal-adoption-inc-nj70/?referrer_id=10a3b4e4-0162-4590-8cfa-32d4f76ade1f,Baby,Male,Medium,Short,2021-08-22T20:14:39+0000,2.1022,67,Chihuahua,Black,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,bestfrienddogadopt@gmail.com,,P.O Box 335,Cranford,NJ,7016
51996549,Canal,https://www.petfinder.com/dog/canal-51996549/nj/cranford/traveling4paws-nj684/?referrer_id=10a3b4e4-0162-4590-8cfa-32d4f76ade1f,Young,Female,Medium,Medium,2021-06-17T16:39:13+0000,2.146,78,Collie,,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,,traveling4pawsadopt@gmail.com,,,Cranford,NJ,7016
51997902,Dulce,https://www.petfinder.com/dog/dulce-51997902/nj/cranford/traveling4paws-nj684/?referrer_id=10a3b4e4-0162-4590-8cfa-32d4f76ade1f,Young,Female,Medium,Short,2021-06-17T16:41:38+0000,2.146,78,Collie,,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,traveling4pawsadopt@gmail.com,,,Cranford,NJ,7016
52089995,Shadow,https://www.petfinder.com/dog/shadow-52089995/nj/cranford/best-friend-dog-and-animal-adoption-inc-nj70/?referrer_id=10a3b4e4-0162-4590-8cfa-32d4f76ade1f,Senior,Female,Medium,Short,2021-06-24T01:51:11+0000,2.146,12,American Staffordshire Terrier,Black,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,bestfrienddogadopt@gmail.com,,P.O Box 335,Cranford,NJ,7016
52456594,Fog,https://www.petfinder.com/dog/fog-52456594/nj/cranford/traveling4paws-nj684/?referrer_id=10a3b4e4-0162-4590-8cfa-32d4f76ade1f,Senior,Female,Large,Short,2021-07-23T23:44:40+0000,2.146,128,Hound,Red / Chestnut / Orange,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,traveling4pawsadopt@gmail.com,,,Cranford,NJ,7016
52634930,Princess,https://www.petfinder.com/dog/princess-52634930/nj/cranford/traveling4paws-nj684/?referrer_id=10a3b4e4-0162-4590-8cfa-32d4f76ade1f,Senior,Female,Large,Short,2021-08-12T00:15:28+0000,2.146,152,Labrador Retriever,,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,traveling4pawsadopt@gmail.com,,,Cranford,NJ,7016
52679213,Piper,https://www.petfinder.com/dog/piper-52679213/nj/cranford/traveling4paws-nj684/?referrer_id=10a3b4e4-0162-4590-8cfa-32d4f76ade1f,Young,Female,Medium,Short,2021-08-16T13:36:16+0000,2.146,128,Hound,"Tricolor (Brown, Black, & White)",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,traveling4pawsadopt@gmail.com,,,Cranford,NJ,7016
