breed_id,breed_name,breed_char_size,breed_char_kid_friendly,breed_char_dog_friendly,breed_char_low_shedding,breed_char_easy_to_groom,breed_char_high_energy,breed_char_good_health,breed_char_low_barking,breed_char_intelligence,breed_char_easy_to_train,breed_char_tolerates_hot,breed_char_tolerates_cold
1,Affenpinscher,1,1,1,5,3,4,4,4,4,2,3,3
2,Afghan Hound,4,5,5,2,1,5,3,4,4,1,5,5
3,Airedale Terrier,3,4,4,4,2,5,3,2,5,4,3,3
5,Akita,4,1,1,1,1,4,4,1,3,2,2,5
6,Alaskan Malamute,4,3,3,1,1,5,4,1,4,4,2,5
92,American English Coonhound,3,5,5,3,5,5,4,1,4,5,4,4
9,American Eskimo Dog,2,5,5,1,3,5,5,2,4,5,3,5
10,American Foxhound,3,5,5,3,5,5,5,1,3,2,4,4
194,American Pit Bull Terrier,3,5,5,2,5,4,4,3,4,4,3,2
13,American Water Spaniel,3,5,5,3,3,5,3,3,3,4,4,2
14,Anatolian Shepherd Dog,5,2,2,4,4,3,3,4,4,4,3,5
15,Appenzeller Sennenhunde,3,5,5,3,5,4,4,1,4,4,4,5
17,Australian Cattle Dog,3,3,3,3,4,5,5,4,5,5,4,4
19,Australian Shepherd,3,4,4,3,1,5,2,2,5,5,4,4
20,Australian Terrier,1,3,3,5,5,5,5,1,4,3,4,3
21,Basenji,2,5,5,5,5,5,2,5,4,1,4,1
22,Basset Hound,2,5,5,2,5,2,1,2,4,2,2,2
23,Beagle,2,5,5,3,4,4,1,1,4,1,4,2
24,Bearded Collie,3,4,4,2,2,4,3,3,4,5,3,4
26,Bedlington Terrier,3,4,4,1,1,4,4,3,5,3,3,4
28,Belgian Malinois,4,4,4,4,5,5,4,4,5,5,4,4
29,Belgian Sheepdog,4,5,5,1,3,5,3,5,5,5,3,4
30,Belgian Tervuren,4,3,3,2,3,5,3,1,5,5,3,4
32,Bernese Mountain Dog,5,5,5,1,3,4,1,2,4,4,1,5
33,Bichon Frise,2,4,4,4,1,5,4,4,4,5,4,3
34,Black and Tan Coonhound,3,5,5,1,4,5,5,1,5,2,4,4
37,Black Russian Terrier,5,5,5,4,2,4,3,3,4,4,3,4
38,Bloodhound,4,5,5,2,1,5,3,2,4,3,3,3
40,Bluetick Coonhound,3,5,5,4,5,5,4,2,4,2,3,3
42,Bolognese,1,5,5,5,1,3,5,2,4,5,3,2
43,Border Collie,3,4,4,3,3,5,2,4,5,5,4,4
44,Border Terrier,2,4,4,3,2,4,4,5,5,3,3,4
45,Borzoi,5,3,3,1,4,2,4,4,4,3,3,4
46,Boston Terrier,2,5,5,4,5,4,4,3,4,4,2,3
47,Bouvier des Flandres,4,5,5,5,2,4,3,2,4,5,2,4
48,Boxer,3,4,4,2,5,5,2,3,4,4,1,2
49,Boykin Spaniel,3,5,5,2,1,5,2,3,4,4,4,3
50,Briard,4,5,5,5,1,4,3,2,4,4,3,4
51,Brittany,3,5,5,3,3,5,4,3,5,3,3,4
52,Brussels Griffon,1,1,1,3,3,5,3,2,4,3,2,1
53,Bull Terrier,2,5,5,3,5,4,4,5,4,5,4,1
90,Bulldog,2,4,4,3,5,2,4,2,2,3,1,1
