breed_ID,breed_name,animal_type
1,Affenpinscher,Dog
2,Afghan Hound,Dog
3,Airedale Terrier,Dog
4,Akbash,Dog
5,Akita,Dog
6,Alaskan Malamute,Dog
7,American Bulldog,Dog
8,American Bully,Dog
9,American Eskimo Dog,Dog
10,American Foxhound,Dog
11,American Hairless Terrier,Dog
12,American Staffordshire Terrier,Dog
13,American Water Spaniel,Dog
14,Anatolian Shepherd,Dog
15,Appenzell Mountain Dog,Dog
16,Aussiedoodle,Dog
17,Australian Cattle Dog / Blue Heeler,Dog
18,Australian Kelpie,Dog
19,Australian Shepherd,Dog
20,Australian Terrier,Dog
21,Basenji,Dog
22,Basset Hound,Dog
23,Beagle,Dog
24,Bearded Collie,Dog
25,Beauceron,Dog
26,Bedlington Terrier,Dog
27,Belgian Shepherd / Laekenois,Dog
28,Belgian Shepherd / Malinois,Dog
29,Belgian Shepherd / Sheepdog,Dog
30,Belgian Shepherd / Tervuren,Dog
31,Bernedoodle,Dog
32,Bernese Mountain Dog,Dog
33,Bichon Frise,Dog
34,Black and Tan Coonhound,Dog
35,Black Labrador Retriever,Dog
36,Black Mouth Cur,Dog
37,Black Russian Terrier,Dog
38,Bloodhound,Dog
39,Blue Lacy,Dog
40,Bluetick Coonhound,Dog
41,Boerboel,Dog
42,Bolognese,Dog
43,Border Collie,Dog
44,Border Terrier,Dog
45,Borzoi,Dog
46,Boston Terrier,Dog
47,Bouvier des Flandres,Dog
48,Boxer,Dog
49,Boykin Spaniel,Dog
50,Briard,Dog
51,Brittany Spaniel,Dog
52,Brussels Griffon,Dog
53,Bull Terrier,Dog
54,Bullmastiff,Dog
55,Cairn Terrier,Dog
56,Canaan Dog,Dog
57,Cane Corso,Dog
58,Cardigan Welsh Corgi,Dog
59,Carolina Dog,Dog
60,Catahoula Leopard Dog,Dog
61,Cattle Dog,Dog
62,Caucasian Sheepdog / Caucasian Ovtcharka,Dog
63,Cavachon,Dog
64,Cavalier King Charles Spaniel,Dog
65,Cavapoo,Dog
66,Chesapeake Bay Retriever,Dog
67,Chihuahua,Dog
68,Chinese Crested Dog,Dog
69,Chinese Foo Dog,Dog
70,Chinook,Dog
71,Chiweenie,Dog
72,Chocolate Labrador Retriever,Dog
73,Chow Chow,Dog
74,Cirneco dell'Etna,Dog
75,Clumber Spaniel,Dog
76,Cockapoo,Dog
77,Cocker Spaniel,Dog
78,Collie,Dog
79,Coonhound,Dog
80,Corgi,Dog
81,Coton de Tulear,Dog
82,Curly-Coated Retriever,Dog
83,Dachshund,Dog
84,Dalmatian,Dog
85,Dandie Dinmont Terrier,Dog
86,Doberman Pinscher,Dog
87,Dogo Argentino,Dog
88,Dogue de Bordeaux,Dog
89,Dutch Shepherd,Dog
90,English Bulldog,Dog
91,English Cocker Spaniel,Dog
92,English Coonhound,Dog
93,English Foxhound,Dog
94,English Pointer,Dog
95,English Setter,Dog
96,English Shepherd,Dog
97,English Springer Spaniel,Dog
98,English Toy Spaniel,Dog
99,Entlebucher,Dog
100,Eskimo Dog,Dog
101,Feist,Dog
102,Field Spaniel,Dog
103,Fila Brasileiro,Dog
104,Finnish Lapphund,Dog
105,Finnish Spitz,Dog
106,Flat-Coated Retriever,Dog
107,Fox Terrier,Dog
108,Foxhound,Dog
109,French Bulldog,Dog
110,Galgo Spanish Greyhound,Dog
111,German Pinscher,Dog
112,German Shepherd Dog,Dog
113,German Shorthaired Pointer,Dog
114,German Spitz,Dog
115,German Wirehaired Pointer,Dog
116,Giant Schnauzer,Dog
117,Glen of Imaal Terrier,Dog
118,Golden Retriever,Dog
119,Goldendoodle,Dog
120,Gordon Setter,Dog
121,Great Dane,Dog
122,Great Pyrenees,Dog
123,Greater Swiss Mountain Dog,Dog
124,Greyhound,Dog
125,Hamiltonstovare,Dog
126,Harrier,Dog
127,Havanese,Dog
128,Hound,Dog
129,Hovawart,Dog
130,Husky,Dog
131,Ibizan Hound,Dog
132,Icelandic Sheepdog,Dog
133,Illyrian Sheepdog,Dog
134,Irish Setter,Dog
135,Irish Terrier,Dog
136,Irish Water Spaniel,Dog
137,Irish Wolfhound,Dog
138,Italian Greyhound,Dog
139,Jack Russell Terrier,Dog
140,Japanese Chin,Dog
141,Jindo,Dog
142,Kai Dog,Dog
143,Karelian Bear Dog,Dog
144,Keeshond,Dog
145,Kerry Blue Terrier,Dog
146,Kishu,Dog
147,Klee Kai,Dog
148,Komondor,Dog
149,Kuvasz,Dog
150,Kyi Leo,Dog
151,Labradoodle,Dog
152,Labrador Retriever,Dog
153,Lakeland Terrier,Dog
154,Lancashire Heeler,Dog
155,Leonberger,Dog
156,Lhasa Apso,Dog
157,Lowchen,Dog
158,Lurcher,Dog
159,Maltese,Dog
160,Maltipoo,Dog
161,Manchester Terrier,Dog
162,Maremma Sheepdog,Dog
163,Mastiff,Dog
164,McNab,Dog
165,Miniature Bull Terrier,Dog
166,Miniature Dachshund,Dog
167,Miniature Pinscher,Dog
168,Miniature Poodle,Dog
169,Miniature Schnauzer,Dog
170,Mixed Breed,Dog
171,Morkie,Dog
172,Mountain Cur,Dog
173,Mountain Dog,Dog
174,Munsterlander,Dog
175,Neapolitan Mastiff,Dog
176,New Guinea Singing Dog,Dog
177,Newfoundland Dog,Dog
178,Norfolk Terrier,Dog
179,Norwegian Buhund,Dog
180,Norwegian Elkhound,Dog
181,Norwegian Lundehund,Dog
182,Norwich Terrier,Dog
183,Nova Scotia Duck Tolling Retriever,Dog
184,Old English Sheepdog,Dog
185,Otterhound,Dog
186,Papillon,Dog
187,Parson Russell Terrier,Dog
188,Patterdale Terrier / Fell Terrier,Dog
189,Pekingese,Dog
190,Pembroke Welsh Corgi,Dog
191,Peruvian Inca Orchid,Dog
192,Petit Basset Griffon Vendeen,Dog
193,Pharaoh Hound,Dog
194,Pit Bull Terrier,Dog
195,Plott Hound,Dog
196,Pointer,Dog
197,Polish Lowland Sheepdog,Dog
198,Pomeranian,Dog
199,Pomsky,Dog
200,Poodle,Dog
201,Portuguese Podengo,Dog
202,Portuguese Water Dog,Dog
203,Presa Canario,Dog
204,Pug,Dog
205,Puggle,Dog
206,Puli,Dog
207,Pumi,Dog
208,Pyrenean Shepherd,Dog
209,Rat Terrier,Dog
210,Redbone Coonhound,Dog
211,Retriever,Dog
212,Rhodesian Ridgeback,Dog
213,Rottweiler,Dog
214,Rough Collie,Dog
215,Saint Bernard,Dog
216,Saluki,Dog
217,Samoyed,Dog
218,Sarplaninac,Dog
219,Schipperke,Dog
220,Schnauzer,Dog
221,Schnoodle,Dog
222,Scottish Deerhound,Dog
223,Scottish Terrier,Dog
224,Sealyham Terrier,Dog
225,Setter,Dog
226,Shar-Pei,Dog
227,Sheep Dog,Dog
228,Sheepadoodle,Dog
229,Shepherd,Dog
230,Shetland Sheepdog / Sheltie,Dog
231,Shiba Inu,Dog
232,Shih poo,Dog
233,Shih Tzu,Dog
234,Shollie,Dog
235,Siberian Husky,Dog
236,Silky Terrier,Dog
237,Skye Terrier,Dog
238,Sloughi,Dog
239,Smooth Collie,Dog
240,Smooth Fox Terrier,Dog
241,South Russian Ovtcharka,Dog
242,Spaniel,Dog
243,Spanish Water Dog,Dog
244,Spinone Italiano,Dog
245,Spitz,Dog
246,Staffordshire Bull Terrier,Dog
247,Standard Poodle,Dog
248,Standard Schnauzer,Dog
249,Sussex Spaniel,Dog
250,Swedish Vallhund,Dog
251,Tennessee Treeing Brindle,Dog
252,Terrier,Dog
253,Thai Ridgeback,Dog
254,Tibetan Mastiff,Dog
255,Tibetan Spaniel,Dog
256,Tibetan Terrier,Dog
257,Tosa Inu,Dog
258,Toy Fox Terrier,Dog
259,Toy Manchester Terrier,Dog
260,Treeing Walker Coonhound,Dog
261,Vizsla,Dog
262,Weimaraner,Dog
263,Welsh Springer Spaniel,Dog
264,Welsh Terrier,Dog
265,West Highland White Terrier / Westie,Dog
266,Wheaten Terrier,Dog
267,Whippet,Dog
268,White German Shepherd,Dog
269,Wire Fox Terrier,Dog
270,Wirehaired Dachshund,Dog
271,Wirehaired Pointing Griffon,Dog
272,Wirehaired Terrier,Dog
273,Xoloitzcuintli / Mexican Hairless,Dog
274,Yellow Labrador Retriever,Dog
275,Yorkshire Terrier,Dog
