Breed,Breed_clean,BreedID,Weight Male,Weight Female
Affenpinschers,Affenpinscher,1,7-10 pounds,7-10 pounds
Afghan Hounds,Afghan Hound,2,50-60 pounds,50-60 pounds
Airedale Terriers,Airedale Terrier,3,50-70 pounds,50-70 pounds
Akitas,Akita,5,100-130 pounds,70-100 pounds
Alaskan Malamutes,Alaskan Malamute,6,85 pounds,75 pounds
American English Coonhounds,Coonhound,71,45-65 pounds,45-65 pounds
American Eskimo Dogs,American Eskimo Dog,8,"6-10 pounds (toy), 10-20 pounds (miniature), 25-35 pounds (standard)","6-10 pounds (toy), 10-20 pounds (miniature), 25-35 pounds (standard)"
American Foxhounds,Foxhound,99,65-70 pounds,60-65 pounds
American Hairless Terriers,American Hairless Terrier,9,12-16 pounds,12-16 pounds
American Staffordshire Terriers,American Staffordshire Terrier,10,55-70 pounds,40-55 pounds
Anatolian Shepherd Dogs,Anatolian Shepherd,12,110-150 pounds,80-120 pounds
Australian Cattle Dogs,Australian Cattle Dog/Blue Heeler,14,35-50 pounds,35-50 pounds
Australian Shepherds,Australian Shepherd,16,50-65 pounds,40-55 pounds
Australian Terriers,Australian Terrier,17,12-18 pounds,12-18 pounds
Basenjis,Basenji,18,24 pounds,22 pounds
Basset Hounds,Basset Hound,19,40-65 pounds,40-65 pounds
Beagles,Beagle,20,"under 20 pounds (13 inches & under), 20-30 pounds (13-15 inches)","under 20 pounds (13 inches & under), 20-30 pounds (13-15 inches)"
Bearded Collies,Bearded Collie,21,45-55 pounds,45-55 pounds
Beaucerons,Beauceron,22,70-110 pounds,70-110 pounds
Bedlington Terriers,Bedlington Terrier,23,17-23 pounds,17-23 pounds
Belgian Malinois,Belgian Shepherd Malinois,26,60-80 pounds,40-60 pounds
Belgian Sheepdogs,Belgian Shepherd Dog Sheepdog,24,55-75 pounds,45-60 pounds
Belgian Tervuren,Belgian Shepherd Tervuren,27,55-75 pounds,45-60 pounds
Bergamasco,Bergamasco,N/A,70-84 pounds,57-71 pounds
Berger Picards,Berger Picard,N/A,50-70 pounds,50-70 pounds
Bernese Mountain Dogs,Bernese Mountain Dog,28,80-115 pounds,70-95 pounds
Bichons Frises,Bichon Frise,29,12-18 pounds,12-18 pounds
Black and Tan Coonhounds,Black and Tan Coonhound,30,65-110 pounds,65-110 pounds
Black Russian Terriers,Black Russian Terrier,33,80-130 pounds,80-130 pounds
Bloodhounds,Bloodhound,34,90-110 pounds,80-100 pounds
Bluetick Coonhounds,Bluetick Coonhound,36,55-80 pounds,45-65 pounds
Boerboels,Boerboel,37,150-200 pounds,150-200 pounds
Border Collies,Border Collie,39,30-55 pounds,30-55 pounds
Border Terriers,Border Terrier,40,13-15.5 pounds,11.5-14 pounds
Borzois,Borzoi,41,75-105 pounds,60-85 pounds
Boston Terriers,Boston Terrier,42,12-25 pounds,12-25 pounds
Bouviers des Flandres,Bouvier des Flanders,43,70-110 pounds,70-110 pounds
Boxers,Boxer,44,65-80 pounds,15 pounds less than male
Briards,Briard,46,55-100 pounds,55-100 pounds
Brittanys,Brittany Spaniel,47,30-40 pounds,30-40 pounds
Brussels Griffons,Brussels Griffon,48,8-10 pounds,8-10 pounds
Bull Terriers,Bull Terrier,49,50-70 pounds,50-70 pounds
Bulldogs,English Bulldog,82,50 pounds,40 pounds
Bullmastiffs,Bullmastiff,50,110-130 pounds,100-120 pounds
Cairn Terriers,Cairn Terrier,51,14 pounds,13 pounds
Canaan Dogs,Canaan Dog,52,45-55 pounds,35-45 pounds
Cane Corso,Cane Corso Mastiff,53,Proportionate to height,Proportionate to height
Cardigan Welsh Corgis,Welsh Corgi,228,30-38 pounds,25-34 pounds
Cavalier King Charles Spaniels,Cavalier King Charles Spaniel,58,13-18 pounds,13-18 pounds
Cesky Terriers,Cesky Terrier,N/A,14-24 pounds,14-24 pounds
Chihuahuas,Chihuahua,60,not exceeding 6 pounds,not exceeding 6 pounds
Chinese Crested,Chinese Crested Dog,61,8-12 pounds,8-12 pounds
Chinese Shar-Pei,Shar Pei,200,45-60 pounds,45-60 pounds
Chinooks,Chinook,63,55-90 pounds,50-65 pounds
Chow Chows,Chow Chow,65,45-70 pounds,45-70 pounds
Cirnechi dell'Etna,Cirneco dell'Etna,66,22-26 pounds,17-22 pounds
Collies,Collie,70,60-75 pounds,50-65 pounds
Coton de Tulear,Coton de Tulear,73,9-15 pounds,8-13 pounds
Dachshunds,Dachshund,75,"16-32 pounds (standard), 11 pounds & under (miniature)","16-32 pounds (standard), 11 pounds & under (miniature)"
Dalmatians,Dalmatian,76,45-70 pounds,45-70 pounds
Dandie Dinmont Terriers,Dandi Dinmont Terrier,77,18-24 pounds,18-24 pounds
Doberman Pinschers,Doberman Pinscher,78,75-100 pounds,60-90 pounds
Dogues de Bordeaux,Dogue de Bordeaux,80,110 pounds & up,99 pounds & up
English Foxhounds,Foxhound,99,60-75 pounds,60-75 pounds
English Toy Spaniels,English Toy Spaniel,89,8-14 pounds,8-14 pounds
Entlebucher Mountain Dogs,Entlebucher,90,55-65 pounds,55-65 pounds
Finnish Lapphunds,Finnish Lapphund,95,33-53 pounds,33-53 pounds
Finnish Spitz,Finnish Spitz,96,25-33 pounds,20-28 pounds
Fox Terriers (Wire),Fox Terrier,98,18 pounds in show condition,two pounds less than male
French Bulldogs,French Bulldog,100,under 28 pounds,under 28 pounds
German Pinschers,German Pinscher,102,25-45 pounds,25-45 pounds
German Shepherd Dogs,German Shepherd Dog,103,65-90 pounds,50-70 pounds
Giant Schnauzers,Giant Schnauzer,107,60-85 pounds,55-75 pounds
Glen of Imaal Terriers,Glen of Imaal Terrier,108,32-40 pounds,32-40 pounds
Great Danes,Great Dane,111,140-175 pounds,110-140 pounds
Great Pyrenees,Great Pyrenees,112,100 pounds & up,85 pounds & up
Greater Swiss Mountain Dogs,Greater Swiss Mountain Dog,113,115-140 pounds,85-110 pounds
Greyhounds,Greyhound,114,65-70 pounds,60-65 pounds
Harriers,Harrier,115,45-60 pounds,45-60 pounds
Havanese,Havanese,116,7-13 pounds,7-13 pounds
Ibizan Hounds,Ibizan Hound,120,50 pounds,45 pounds
Icelandic Sheepdogs,Icelandic Sheepdog,N/A,30 pounds,25 pounds
Irish Terriers,Irish Terrier,123,27 pounds,25 pounds
Irish Wolfhounds,Irish Wolfhound,125,120 pounds,105 pounds
Italian Greyhounds,Italian Greyhound,126,7-14 pounds,7-14 pounds
Japanese Chin,Japanese Chin,130,7-11 pounds,7-11 pounds
Keeshonden,Keeshond,134,35-45 pounds,35-45 pounds
Kerry Blue Terriers,Kerry Blue Terrier,135,33-40 pounds,females weigh slightly less than males
Komondorok,Komondor,138,100 pounds or more,80 pounds or more
Kuvaszok,Kuvasz,139,100-115 pounds,70-90 pounds
Lagotti Romagnoli,Lagotti Romagnoli,N/A,28.5-35 pounds,24-31 pounds
Lakeland Terriers,Lakeland Terrier,142,17 pounds,slightly smaller
Leonbergers,Leonberger,144,110-170 pounds,90-140 pounds
