,breed_id,breed_name,breed.char.size,breed.char.kid_friendly,breed.char.dog_friendy,breed.char.low_shedding,breed.char.easy_to_groom,breed.char.high_energy,breed.char.good_health,breed.char.low_barking,breed.char.intelligence,breed.char.easy_to_train,breed.char.tolerates_hot,breed.char.tolerates_cold
0,1.0,Affenpinscher,1,1,1,5,3,4,4,4.0,4,2,3,3
1,2.0,Afghan Hound,4,5,5,2,1,5,3,4.0,4,1,5,5
2,3.0,Airedale Terrier,3,4,4,4,2,5,3,2.0,5,4,3,3
3,5.0,Akita,4,1,1,1,1,4,4,1.0,3,2,2,5
4,6.0,Alaskan Malamute,4,3,3,1,1,5,4,1.0,4,4,2,5
5,92.0,American English Coonhound,3,5,5,3,5,5,4,1.0,4,5,4,4
6,9.0,American Eskimo Dog,2,5,5,1,3,5,5,2.0,4,5,3,5
7,10.0,American Foxhound,3,5,5,3,5,5,5,1.0,3,2,4,4
8,194.0,American Pit Bull Terrier,3,5,5,2,5,4,4,3.0,4,4,3,2
9,13.0,American Water Spaniel,3,5,5,3,3,5,3,3.0,3,4,4,2
10,14.0,Anatolian Shepherd Dog,5,2,2,4,4,3,3,4.0,4,4,3,5
11,15.0,Appenzeller Sennenhunde,3,5,5,3,5,4,4,1.0,4,4,4,5
12,17.0,Australian Cattle Dog,3,3,3,3,4,5,5,4.0,5,5,4,4
13,19.0,Australian Shepherd,3,4,4,3,1,5,2,2.0,5,5,4,4
14,20.0,Australian Terrier,1,3,3,5,5,5,5,1.0,4,3,4,3
15,21.0,Basenji,2,5,5,5,5,5,2,5.0,4,1,4,1
16,22.0,Basset Hound,2,5,5,2,5,2,1,2.0,4,2,2,2
17,23.0,Beagle,2,5,5,3,4,4,1,1.0,4,1,4,2
18,24.0,Bearded Collie,3,4,4,2,2,4,3,3.0,4,5,3,4
19,26.0,Bedlington Terrier,3,4,4,1,1,4,4,3.0,5,3,3,4
20,28.0,Belgian Malinois,4,4,4,4,5,5,4,4.0,5,5,4,4
21,29.0,Belgian Sheepdog,4,5,5,1,3,5,3,5.0,5,5,3,4
22,30.0,Belgian Tervuren,4,3,3,2,3,5,3,1.0,5,5,3,4
23,32.0,Bernese Mountain Dog,5,5,5,1,3,4,1,2.0,4,4,1,5
24,33.0,Bichon Frise,2,4,4,4,1,5,4,4.0,4,5,4,3
25,34.0,Black and Tan Coonhound,3,5,5,1,4,5,5,1.0,5,2,4,4
26,37.0,Black Russian Terrier,5,5,5,4,2,4,3,3.0,4,4,3,4
27,38.0,Bloodhound,4,5,5,2,1,5,3,2.0,4,3,3,3
28,40.0,Bluetick Coonhound,3,5,5,4,5,5,4,2.0,4,2,3,3
29,42.0,Bolognese,1,5,5,5,1,3,5,2.0,4,5,3,2
30,43.0,Border Collie,3,4,4,3,3,5,2,4.0,5,5,4,4
31,44.0,Border Terrier,2,4,4,3,2,4,4,5.0,5,3,3,4
32,45.0,Borzoi,5,3,3,1,4,2,4,4.0,4,3,3,4
33,46.0,Boston Terrier,2,5,5,4,5,4,4,3.0,4,4,2,3
34,47.0,Bouvier des Flandres,4,5,5,5,2,4,3,2.0,4,5,2,4
35,48.0,Boxer,3,4,4,2,5,5,2,3.0,4,4,1,2
36,49.0,Boykin Spaniel,3,5,5,2,1,5,2,3.0,4,4,4,3
37,50.0,Briard,4,5,5,5,1,4,3,2.0,4,4,3,4
38,51.0,Brittany,3,5,5,3,3,5,4,3.0,5,3,3,4
39,52.0,Brussels Griffon,1,1,1,3,3,5,3,2.0,4,3,2,1
40,53.0,Bull Terrier,2,5,5,3,5,4,4,5.0,4,5,4,1
41,90.0,Bulldog,2,4,4,3,5,2,4,2.0,2,3,1,1
42,54.0,Bullmastiff,5,5,5,5,5,2,2,2.0,3,3,2,4
43,55.0,Cairn Terrier,1,5,5,3,5,5,4,2.0,5,2,4,4
44,56.0,Canaan Dog,3,2,2,5,5,4,5,3.0,4,5,5,3
45,57.0,Cane Corso,4,2,2,3,5,4,3,3.0,5,4,4,3
46,58.0,Cardigan Welsh Corgi,2,4,4,2,3,3,4,4.0,5,4,3,4
47,60.0,Catahoula Leopard Dog,4,3,3,3,5,4,3,3.0,3,2,3,3
48,64.0,Cavalier King Charles Spaniel,2,5,5,3,4,3,4,3.0,4,4,2,3
49,66.0,Chesapeake Bay Retriever,3,3,3,1,5,5,4,3.0,4,3,4,4
50,67.0,Chihuahua,1,5,5,4,5,3,2,3.0,4,4,2,1
51,68.0,Chinese Crested,2,5,5,4,2,2,5,3.0,3,4,3,1
52,226.0,Chinese Shar-Pei,3,2,2,1,5,2,1,1.0,2,3,1,2
53,70.0,Chinook,4,5,5,1,2,3,4,4.0,5,4,4,5
54,73.0,Chow Chow,4,1,1,5,1,2,2,5.0,1,2,2,5
55,75.0,Clumber Spaniel,3,3,3,1,1,3,2,5.0,3,4,2,5
56,76.0,Cockapoo,2,4,4,5,3,3,2,4.0,4,4,4,4
57,77.0,Cocker Spaniel,2,3,3,3,1,4,4,3.0,4,5,3,4
58,78.0,Collie,3,5,5,1,2,3,3,2.0,4,4,3,4
59,81.0,Coton de Tulear,1,5,5,5,2,3,5,4.0,4,3,3,3
60,82.0,Curly-Coated Retriever,3,5,5,3,3,5,2,3.0,5,4,4,4
61,83.0,Dachshund,1,5,5,3,3,3,2,1.0,4,2,3,1
62,84.0,Dalmatian,3,4,4,1,5,5,4,4.0,4,4,4,3
63,85.0,Dandie Dinmont Terrier,1,4,4,3,2,3,3,4.0,3,2,3,3
64,86.0,Doberman Pinscher,4,3,3,2,5,3,1,5.0,5,5,4,1
65,88.0,Dogue de Bordeaux,4,5,5,3,5,2,2,4.0,3,2,2,3
66,91.0,English Cocker Spaniel,2,5,5,3,3,5,4,2.0,5,4,3,4
67,93.0,English Foxhound,3,4,4,3,5,5,4,2.0,3,3,3,3
68,95.0,English Setter,3,5,5,3,3,4,3,2.0,5,3,3,4
69,97.0,English Springer Spaniel,3,5,5,3,2,5,3,3.0,5,5,4,3
70,98.0,English Toy Spaniel,2,1,1,1,4,3,2,3.0,3,3,2,2
71,99.0,Entlebucher Mountain Dog,3,5,5,3,5,5,3,1.0,4,3,2,4
72,102.0,Field Spaniel,2,5,5,3,4,5,3,4.0,5,5,4,3
73,104.0,Finnish Lapphund,3,5,5,3,4,5,4,3.0,5,5,2,5
74,105.0,Finnish Spitz,3,5,5,2,2,5,4,1.0,4,3,3,5
75,106.0,Flat-Coated Retriever,3,5,5,3,4,5,4,2.0,5,4,4,4
76,107.0,Fox Terrier,2,4,4,4,2,5,4,3.0,5,5,4,3
77,109.0,French Bulldog,2,4,4,3,5,3,2,3.0,3,4,1,2
78,111.0,German Pinscher,3,3,3,3,5,5,4,3.0,5,4,4,3
79,112.0,German Shepherd Dog,4,5,5,1,5,5,4,2.0,5,5,3,4
80,113.0,German Shorthaired Pointer,3,5,5,4,5,5,3,3.0,5,5,4,2
81,115.0,German Wirehaired Pointer,4,3,3,4,4,5,4,3.0,5,4,4,3
82,116.0,Giant Schnauzer,4,3,3,2,2,5,4,2.0,4,5,2,4
83,117.0,Glen of Imaal Terrier,1,5,5,5,5,4,5,2.0,4,4,4,3
84,118.0,Golden Retriever,3,5,5,1,2,5,2,3.0,5,5,3,3
85,119.0,Goldendoodle,4,5,5,4,4,4,3,3.0,5,4,3,3
86,120.0,Gordon Setter,3,3,3,1,2,5,4,1.0,5,5,3,4
87,121.0,Great Dane,5,5,5,1,5,5,4,2.0,3,5,3,2
88,122.0,Great Pyrenees,5,4,4,1,4,5,2,1.0,4,1,3,5
89,123.0,Greater Swiss Mountain Dog,5,5,5,3,5,5,2,2.0,3,3,1,5
90,124.0,Greyhound,4,5,5,2,5,5,4,4.0,5,5,5,1
91,126.0,Harrier,3,5,5,3,5,5,5,2.0,4,2,4,3
92,127.0,Havanese,2,4,4,4,1,3,3,4.0,4,5,4,3
93,131.0,Ibizan Hound,3,5,5,3,5,5,4,4.0,4,3,4,1
94,132.0,Icelandic Sheepdog,3,4,4,1,1,4,3,5.0,4,3,3,5
95,225.0,Irish Red and White Setter,3,4,4,3,3,5,2,3.0,4,4,3,4
96,134.0,Irish Setter,4,5,5,2,3,5,2,2.0,5,4,3,4
97,135.0,Irish Terrier,3,5,5,2,2,5,5,2.0,4,1,4,4
98,136.0,Irish Water Spaniel,3,5,5,5,3,5,2,2.0,4,5,4,4
99,137.0,Irish Wolfhound,5,5,5,3,3,2,1,5.0,4,3,2,4
100,138.0,Italian Greyhound,2,5,5,4,5,4,3,3.0,3,3,3,1
101,139.0,Jack Russell Terrier,2,4,4,3,3,5,4,2.0,5,4,3,4
102,140.0,Japanese Chin,1,3,3,3,3,2,3,3.0,3,3,2,3
103,141.0,Korean Jindo Dog,3,3,3,1,1,4,4,,5,2,2,5
104,144.0,Keeshond,3,5,5,1,3,4,3,2.0,4,4,3,5
105,145.0,Kerry Blue Terrier,3,4,4,5,2,4,3,2.0,4,4,3,4
106,148.0,Komondor,4,3,3,3,2,2,2,1.0,4,4,3,4
107,149.0,Kuvasz,5,1,1,2,4,4,4,3.0,4,2,2,5
108,151.0,Labradoodle,4,4,4,3,4,5,4,4.0,4,4,4,5
109,152.0,Labrador Retriever,4,5,5,1,5,5,3,2.0,5,5,3,3
110,153.0,Lakeland Terrier,2,4,4,4,2,5,5,4.0,4,2,4,4
111,154.0,Lancashire Heeler,1,3,3,3,4,4,4,4.0,4,3,3,3
112,155.0,Leonberger,5,4,4,1,4,4,1,3.0,3,2,1,5
113,156.0,Lhasa Apso,1,4,4,3,1,4,3,2.0,4,3,2,3
114,157.0,Lowchen,1,5,5,3,3,4,5,2.0,4,5,3,3
115,159.0,Maltese,1,3,3,4,2,3,3,4.0,4,4,3,1
116,160.0,Maltipoo,2,4,4,5,3,3,2,1.0,4,5,3,2
117,161.0,Manchester Terrier,2,3,3,3,5,4,2,2.0,4,2,3,1
118,163.0,Mastiff,5,5,5,3,3,3,3,4.0,2,3,1,4
119,167.0,Miniature Pinscher,1,3,3,4,5,4,3,5.0,3,3,3,1
120,169.0,Miniature Schnauzer,2,3,3,4,2,5,3,3.0,4,5,4,4
121,175.0,Neapolitan Mastiff,5,4,4,3,3,3,2,5.0,3,3,2,1
122,177.0,Newfoundland,5,5,5,1,2,3,1,2.0,4,5,2,5
123,178.0,Norfolk Terrier,1,4,4,5,4,4,5,3.0,4,5,4,4
124,179.0,Norwegian Buhund,3,5,5,3,2,4,4,2.0,3,4,2,5
125,180.0,Norwegian Elkhound,3,4,4,1,3,5,4,2.0,4,2,3,5
126,181.0,Norwegian Lundehund,3,5,5,1,4,4,3,5.0,5,4,3,5
127,182.0,Norwich Terrier,1,5,5,4,2,5,4,2.0,4,4,4,4
128,183.0,Nova Scotia Duck Tolling Retriever,3,5,5,3,5,5,4,2.0,5,4,4,4
129,184.0,Old English Sheepdog,4,4,4,1,1,4,4,5.0,4,3,2,4
130,185.0,Otterhound,4,5,5,2,2,5,4,4.0,4,2,3,4
131,186.0,Papillon,1,3,3,4,3,4,3,4.0,4,5,4,2
132,189.0,Pekingese,1,2,2,2,1,2,2,2.0,4,3,1,4
133,190.0,Pembroke Welsh Corgi,2,4,4,1,4,4,3,4.0,5,5,3,4
134,192.0,Petit Basset Griffon Vendeen,2,5,5,2,2,5,3,1.0,4,1,3,4
135,193.0,Pharaoh Hound,3,5,5,4,4,2,5,2.0,4,3,5,1
136,195.0,Plott,3,3,3,4,5,4,5,5.0,3,4,4,2
137,196.0,Pointer,3,5,5,3,5,5,3,3.0,5,5,4,2
138,197.0,Polish Lowland Sheepdog,3,4,4,5,1,4,4,4.0,4,4,4,4
139,198.0,Pomeranian,1,2,2,2,2,3,3,1.0,4,4,2,4
140,200.0,Poodle,4,5,5,5,1,4,2,4.0,5,5,4,3
141,202.0,Portuguese Water Dog,3,5,5,5,2,5,4,3.0,5,4,3,4
142,204.0,Pug,2,4,4,1,5,3,1,4.0,2,3,1,2
143,205.0,Puggle,2,5,5,3,5,3,4,2.0,3,2,3,3
144,206.0,Puli,3,5,5,5,1,5,5,2.0,4,2,3,4
145,208.0,Pyrenean Shepherd,2,5,5,3,3,4,2,1.0,4,2,3,4
146,209.0,Rat Terrier,1,5,5,2,5,5,4,5.0,4,5,4,1
147,210.0,Redbone Coonhound,3,5,5,4,5,4,3,2.0,4,3,2,3
148,212.0,Rhodesian Ridgeback,4,4,4,5,5,4,4,5.0,4,2,3,3
149,213.0,Rottweiler,3,4,4,2,5,4,2,2.0,5,4,3,2
150,215.0,Saint Bernard,5,5,5,2,2,3,2,5.0,4,2,1,5
151,216.0,Saluki,4,4,4,4,4,5,4,5.0,4,4,3,2
152,217.0,Samoyed,3,5,5,1,1,5,3,3.0,3,3,1,5
153,219.0,Schipperke,1,5,5,3,5,5,4,2.0,4,2,2,3
154,221.0,Schnoodle,4,5,5,4,4,4,3,4.0,5,4,4,2
155,222.0,Scottish Deerhound,5,4,4,1,2,5,3,5.0,3,2,4,4
156,223.0,Scottish Terrier,2,4,4,4,2,4,4,2.0,4,1,3,4
157,224.0,Sealyham Terrier,2,4,4,2,1,4,5,4.0,4,3,3,4
158,230.0,Shetland Sheepdog,1,5,5,1,2,4,4,5.0,5,5,3,4
159,231.0,Shiba Inu,2,3,3,2,4,4,3,2.0,4,2,3,4
160,233.0,Shih Tzu,1,4,4,3,1,2,3,4.0,4,3,1,3
161,235.0,Siberian Husky,3,5,5,3,2,5,4,1.0,3,2,3,5
162,236.0,Silky Terrier,1,3,3,4,4,4,4,2.0,4,4,4,1
163,237.0,Skye Terrier,2,4,4,3,3,3,5,2.0,4,2,4,4
164,238.0,Sloughi,4,5,5,3,5,5,3,4.0,4,3,3,2
165,266.0,Soft Coated Wheaten Terrier,3,5,5,4,3,4,4,3.0,4,4,3,2
166,246.0,Staffordshire Bull Terrier,2,5,5,3,5,3,3,3.0,3,2,1,3
167,248.0,Standard Schnauzer,3,4,4,5,2,5,5,4.0,5,3,4,4
168,249.0,Sussex Spaniel,2,5,5,3,4,2,4,2.0,5,3,5,5
169,250.0,Swedish Vallhund,3,4,4,5,5,5,4,5.0,5,5,3,4
170,254.0,Tibetan Mastiff,5,5,5,4,4,4,3,4.0,5,1,2,5
171,255.0,Tibetan Spaniel,1,5,5,3,4,3,5,2.0,4,4,2,1
172,256.0,Tibetan Terrier,2,5,5,1,1,5,5,4.0,4,4,4,4
173,258.0,Toy Fox Terrier,1,4,4,2,5,5,5,2.0,4,3,3,2
174,251.0,Treeing Tennessee Brindle,3,4,4,2,5,4,4,5.0,4,3,3,3
175,260.0,Treeing Walker Coonhound,4,4,4,3,5,4,4,1.0,4,2,3,3
176,261.0,Vizsla,3,5,5,4,5,5,4,1.0,4,5,4,1
177,262.0,Weimaraner,4,4,4,2,5,5,3,4.0,5,4,4,3
178,263.0,Welsh Springer Spaniel,3,5,5,3,4,5,4,1.0,5,5,4,4
179,264.0,Welsh Terrier,2,5,5,4,2,5,5,2.0,5,3,2,2
180,265.0,West Highland White Terrier,2,4,4,2,3,4,3,2.0,4,4,3,4
181,267.0,Whippet,3,5,5,4,5,5,4,5.0,4,4,4,1
182,271.0,Wirehaired Pointing Griffon,3,5,5,5,3,5,4,2.0,5,5,3,4
183,273.0,Xoloitzcuintli,3,3,3,1,5,3,5,1.0,5,3,3,3
184,275.0,Yorkshire Terrier,1,2,2,4,1,5,4,3.0,3,3,2,2
