,breed_ID,breed_name,animal_type
0,1,Affenpinscher,Dog
1,2,Afghan Hound,Dog
2,3,Airedale Terrier,Dog
3,4,Akbash,Dog
4,5,Akita,Dog
5,6,Alaskan Malamute,Dog
6,7,American Bulldog,Dog
7,8,American Bully,Dog
8,9,American Eskimo Dog,Dog
9,10,American Foxhound,Dog
10,11,American Hairless Terrier,Dog
11,12,American Staffordshire Terrier,Dog
12,13,American Water Spaniel,Dog
13,14,Anatolian Shepherd,Dog
14,15,Appenzell Mountain Dog,Dog
15,16,Aussiedoodle,Dog
16,17,Australian Cattle Dog / Blue Heeler,Dog
17,18,Australian Kelpie,Dog
18,19,Australian Shepherd,Dog
19,20,Australian Terrier,Dog
20,21,Basenji,Dog
21,22,Basset Hound,Dog
22,23,Beagle,Dog
23,24,Bearded Collie,Dog
24,25,Beauceron,Dog
25,26,Bedlington Terrier,Dog
26,27,Belgian Shepherd / Laekenois,Dog
27,28,Belgian Shepherd / Malinois,Dog
28,29,Belgian Shepherd / Sheepdog,Dog
29,30,Belgian Shepherd / Tervuren,Dog
30,31,Bernedoodle,Dog
31,32,Bernese Mountain Dog,Dog
32,33,Bichon Frise,Dog
33,34,Black and Tan Coonhound,Dog
34,35,Black Labrador Retriever,Dog
35,36,Black Mouth Cur,Dog
36,37,Black Russian Terrier,Dog
37,38,Bloodhound,Dog
38,39,Blue Lacy,Dog
39,40,Bluetick Coonhound,Dog
40,41,Boerboel,Dog
41,42,Bolognese,Dog
42,43,Border Collie,Dog
43,44,Border Terrier,Dog
44,45,Borzoi,Dog
45,46,Boston Terrier,Dog
46,47,Bouvier des Flandres,Dog
47,48,Boxer,Dog
48,49,Boykin Spaniel,Dog
49,50,Briard,Dog
50,51,Brittany Spaniel,Dog
51,52,Brussels Griffon,Dog
52,53,Bull Terrier,Dog
53,54,Bullmastiff,Dog
54,55,Cairn Terrier,Dog
55,56,Canaan Dog,Dog
56,57,Cane Corso,Dog
57,58,Cardigan Welsh Corgi,Dog
58,59,Carolina Dog,Dog
59,60,Catahoula Leopard Dog,Dog
60,61,Cattle Dog,Dog
61,62,Caucasian Sheepdog / Caucasian Ovtcharka,Dog
62,63,Cavachon,Dog
63,64,Cavalier King Charles Spaniel,Dog
64,65,Cavapoo,Dog
65,66,Chesapeake Bay Retriever,Dog
66,67,Chihuahua,Dog
67,68,Chinese Crested Dog,Dog
68,69,Chinese Foo Dog,Dog
69,70,Chinook,Dog
70,71,Chiweenie,Dog
71,72,Chocolate Labrador Retriever,Dog
72,73,Chow Chow,Dog
73,74,Cirneco dell'Etna,Dog
74,75,Clumber Spaniel,Dog
75,76,Cockapoo,Dog
76,77,Cocker Spaniel,Dog
77,78,Collie,Dog
78,79,Coonhound,Dog
79,80,Corgi,Dog
80,81,Coton de Tulear,Dog
81,82,Curly-Coated Retriever,Dog
82,83,Dachshund,Dog
83,84,Dalmatian,Dog
84,85,Dandie Dinmont Terrier,Dog
85,86,Doberman Pinscher,Dog
86,87,Dogo Argentino,Dog
87,88,Dogue de Bordeaux,Dog
88,89,Dutch Shepherd,Dog
89,90,English Bulldog,Dog
90,91,English Cocker Spaniel,Dog
91,92,English Coonhound,Dog
